Rainfall - (MM), Year, Statistics, Country, ISO3
144.4, 1911, Aug Average, Thailand, THA
277.0, 1911, Sep Average, Thailand, THA
155.8, 1911, Oct Average, Thailand, THA
49.6, 1911, Nov Average, Thailand, THA
34.8, 1911, Dec Average, Thailand, THA
14.7, 1912, Jan Average, Thailand, THA
7.9, 1912, Feb Average, Thailand, THA
41.3, 1912, Mar Average, Thailand, THA
64.1, 1912, Apr Average, Thailand, THA
169.1, 1912, May Average, Thailand, THA
173.1, 1912, Jun Average, Thailand, THA
277.1, 1912, Jul Average, Thailand, THA
276.5, 1912, Aug Average, Thailand, THA
185.3, 1912, Sep Average, Thailand, THA
135.6, 1912, Oct Average, Thailand, THA
122.5, 1912, Nov Average, Thailand, THA
26.4, 1912, Dec Average, Thailand, THA
25.5, 1913, Jan Average, Thailand, THA
21.8, 1913, Feb Average, Thailand, THA
11.5, 1913, Mar Average, Thailand, THA
51.0, 1913, Apr Average, Thailand, THA
223.7, 1913, May Average, Thailand, THA
170.9, 1913, Jun Average, Thailand, THA
209.3, 1913, Jul Average, Thailand, THA
235.5, 1913, Aug Average, Thailand, THA
220.2, 1913, Sep Average, Thailand, THA
132.8, 1913, Oct Average, Thailand, THA
133.3, 1913, Nov Average, Thailand, THA
43.3, 1913, Dec Average, Thailand, THA
20.4, 1914, Jan Average, Thailand, THA
10.1, 1914, Feb Average, Thailand, THA
61.3, 1914, Mar Average, Thailand, THA
61.0, 1914, Apr Average, Thailand, THA
167.5, 1914, May Average, Thailand, THA
209.8, 1914, Jun Average, Thailand, THA
238.5, 1914, Jul Average, Thailand, THA
223.6, 1914, Aug Average, Thailand, THA
197.6, 1914, Sep Average, Thailand, THA
154.5, 1914, Oct Average, Thailand, THA
95.8, 1914, Nov Average, Thailand, THA
47.0, 1914, Dec Average, Thailand, THA
6.3, 1915, Jan Average, Thailand, THA
3.1, 1915, Feb Average, Thailand, THA
30.3, 1915, Mar Average, Thailand, THA
92.6, 1915, Apr Average, Thailand, THA
172.6, 1915, May Average, Thailand, THA
209.9, 1915, Jun Average, Thailand, THA
177.1, 1915, Jul Average, Thailand, THA
225.6, 1915, Aug Average, Thailand, THA
272.1, 1915, Sep Average, Thailand, THA
272.1, 1915, Oct Average, Thailand, THA
101.7, 1915, Nov Average, Thailand, THA
28.0, 1915, Dec Average, Thailand, THA
13.3, 1916, Jan Average, Thailand, THA
17.1, 1916, Feb Average, Thailand, THA
77.3, 1916, Mar Average, Thailand, THA
53.1, 1916, Apr Average, Thailand, THA
181.3, 1916, May Average, Thailand, THA
223.3, 1916, Jun Average, Thailand, THA
220.4, 1916, Jul Average, Thailand, THA
289.9, 1916, Aug Average, Thailand, THA
276.1, 1916, Sep Average, Thailand, THA
183.8, 1916, Oct Average, Thailand, THA
75.2, 1916, Nov Average, Thailand, THA
33.9, 1916, Dec Average, Thailand, THA
11.8, 1917, Jan Average, Thailand, THA
4.9, 1917, Feb Average, Thailand, THA
29.3, 1917, Mar Average, Thailand, THA
26.6, 1917, Apr Average, Thailand, THA
127.5, 1917, May Average, Thailand, THA
245.3, 1917, Jun Average, Thailand, THA
196.5, 1917, Jul Average, Thailand, THA
299.8, 1917, Aug Average, Thailand, THA
314.6, 1917, Sep Average, Thailand, THA
237.9, 1917, Oct Average, Thailand, THA
76.1, 1917, Nov Average, Thailand, THA
49.3, 1917, Dec Average, Thailand, THA
6.9, 1918, Jan Average, Thailand, THA
26.6, 1918, Feb Average, Thailand, THA
35.4, 1918, Mar Average, Thailand, THA
91.3, 1918, Apr Average, Thailand, THA
211.8, 1918, May Average, Thailand, THA
192.1, 1918, Jun Average, Thailand, THA
105.1, 1918, Jul Average, Thailand, THA
255.6, 1918, Aug Average, Thailand, THA
287.6, 1918, Sep Average, Thailand, THA
102.8, 1918, Oct Average, Thailand, THA
80.1, 1918, Nov Average, Thailand, THA
38.6, 1918, Dec Average, Thailand, THA
