Rainfall - (MM), Year, Statistics, Country, ISO3
48.3, 1953, Feb Average, Thailand, THA
42.2, 1953, Mar Average, Thailand, THA
110.0, 1953, Apr Average, Thailand, THA
209.5, 1953, May Average, Thailand, THA
254.1, 1953, Jun Average, Thailand, THA
242.1, 1953, Jul Average, Thailand, THA
207.4, 1953, Aug Average, Thailand, THA
271.4, 1953, Sep Average, Thailand, THA
163.3, 1953, Oct Average, Thailand, THA
111.0, 1953, Nov Average, Thailand, THA
26.6, 1953, Dec Average, Thailand, THA
23.3, 1954, Jan Average, Thailand, THA
16.9, 1954, Feb Average, Thailand, THA
45.9, 1954, Mar Average, Thailand, THA
72.9, 1954, Apr Average, Thailand, THA
223.6, 1954, May Average, Thailand, THA
182.3, 1954, Jun Average, Thailand, THA
186.4, 1954, Jul Average, Thailand, THA
266.2, 1954, Aug Average, Thailand, THA
314.6, 1954, Sep Average, Thailand, THA
134.9, 1954, Oct Average, Thailand, THA
31.9, 1954, Nov Average, Thailand, THA
25.6, 1954, Dec Average, Thailand, THA
16.9, 1955, Jan Average, Thailand, THA
11.3, 1955, Feb Average, Thailand, THA
38.4, 1955, Mar Average, Thailand, THA
110.8, 1955, Apr Average, Thailand, THA
173.5, 1955, May Average, Thailand, THA
279.8, 1955, Jun Average, Thailand, THA
188.8, 1955, Jul Average, Thailand, THA
243.2, 1955, Aug Average, Thailand, THA
253.3, 1955, Sep Average, Thailand, THA
117.8, 1955, Oct Average, Thailand, THA
92.2, 1955, Nov Average, Thailand, THA
16.2, 1955, Dec Average, Thailand, THA
11.9, 1956, Jan Average, Thailand, THA
27.5, 1956, Feb Average, Thailand, THA
39.0, 1956, Mar Average, Thailand, THA
129.0, 1956, Apr Average, Thailand, THA
230.1, 1956, May Average, Thailand, THA
218.6, 1956, Jun Average, Thailand, THA
246.1, 1956, Jul Average, Thailand, THA
268.3, 1956, Aug Average, Thailand, THA
291.5, 1956, Sep Average, Thailand, THA
139.8, 1956, Oct Average, Thailand, THA
59.9, 1956, Nov Average, Thailand, THA
33.5, 1956, Dec Average, Thailand, THA
9.6, 1957, Jan Average, Thailand, THA
15.3, 1957, Feb Average, Thailand, THA
73.5, 1957, Mar Average, Thailand, THA
84.9, 1957, Apr Average, Thailand, THA
125.2, 1957, May Average, Thailand, THA
205.6, 1957, Jun Average, Thailand, THA
214.5, 1957, Jul Average, Thailand, THA
237.4, 1957, Aug Average, Thailand, THA
305.8, 1957, Sep Average, Thailand, THA
181.4, 1957, Oct Average, Thailand, THA
49.4, 1957, Nov Average, Thailand, THA
23.9, 1957, Dec Average, Thailand, THA
19.2, 1958, Jan Average, Thailand, THA
17.8, 1958, Feb Average, Thailand, THA
35.5, 1958, Mar Average, Thailand, THA
57.9, 1958, Apr Average, Thailand, THA
129.3, 1958, May Average, Thailand, THA
223.5, 1958, Jun Average, Thailand, THA
192.4, 1958, Jul Average, Thailand, THA
264.9, 1958, Aug Average, Thailand, THA
272.6, 1958, Sep Average, Thailand, THA
160.3, 1958, Oct Average, Thailand, THA
47.4, 1958, Nov Average, Thailand, THA
7.6, 1958, Dec Average, Thailand, THA
6.2, 1959, Jan Average, Thailand, THA
20.9, 1959, Feb Average, Thailand, THA
54.0, 1959, Mar Average, Thailand, THA
80.2, 1959, Apr Average, Thailand, THA
210.0, 1959, May Average, Thailand, THA
149.6, 1959, Jun Average, Thailand, THA
282.5, 1959, Jul Average, Thailand, THA
202.0, 1959, Aug Average, Thailand, THA
347.3, 1959, Sep Average, Thailand, THA
131.2, 1959, Oct Average, Thailand, THA
54.8, 1959, Nov Average, Thailand, THA
33.8, 1959, Dec Average, Thailand, THA
14.4, 1960, Jan Average, Thailand, THA
13.1, 1960, Feb Average, Thailand, THA
36.3, 1960, Mar Average, Thailand, THA
37.3, 1960, Apr Average, Thailand, THA
177.4, 1960, May Average, Thailand, THA
167.8, 1960, Jun Average, Thailand, THA
227.8, 1960, Jul Average, Thailand, THA
257.5, 1960, Aug Average, Thailand, THA
252.7, 1960, Sep Average, Thailand, THA
205.6, 1960, Oct Average, Thailand, THA
82.3, 1960, Nov Average, Thailand, THA
28.0, 1960, Dec Average, Thailand, THA
16.6, 1961, Jan Average, Thailand, THA
26.9, 1961, Feb Average, Thailand, THA
50.7, 1961, Mar Average, Thailand, THA
107.7, 1961, Apr Average, Thailand, THA
239.3, 1961, May Average, Thailand, THA
220.6, 1961, Jun Average, Thailand, THA
182.2, 1961, Jul Average, Thailand, THA
265.1, 1961, Aug Average, Thailand, THA
278.0, 1961, Sep Average, Thailand, THA
192.5, 1961, Oct Average, Thailand, THA
60.4, 1961, Nov Average, Thailand, THA
47.3, 1961, Dec Average, Thailand, THA
12.7, 1962, Jan Average, Thailand, THA
6.5, 1962, Feb Average, Thailand, THA
32.9, 1962, Mar Average, Thailand, THA
82.1, 1962, Apr Average, Thailand, THA
173.7, 1962, May Average, Thailand, THA
151.6, 1962, Jun Average, Thailand, THA
237.1, 1962, Jul Average, Thailand, THA
275.3, 1962, Aug Average, Thailand, THA
322.3, 1962, Sep Average, Thailand, THA
171.1, 1962, Oct Average, Thailand, THA
48.1, 1962, Nov Average, Thailand, THA
23.8, 1962, Dec Average, Thailand, THA
9.6, 1963, Jan Average, Thailand, THA
7.6, 1963, Feb Average, Thailand, THA
35.7, 1963, Mar Average, Thailand, THA
54.2, 1963, Apr Average, Thailand, THA
108.6, 1963, May Average, Thailand, THA
224.0, 1963, Jun Average, Thailand, THA
233.6, 1963, Jul Average, Thailand, THA
261.9, 1963, Aug Average, Thailand, THA
292.4, 1963, Sep Average, Thailand, THA
235.8, 1963, Oct Average, Thailand, THA
122.1, 1963, Nov Average, Thailand, THA
27.1, 1963, Dec Average, Thailand, THA
15.5, 1964, Jan Average, Thailand, THA
18.6, 1964, Feb Average, Thailand, THA
31.6, 1964, Mar Average, Thailand, THA
77.8, 1964, Apr Average, Thailand, THA
296.2, 1964, May Average, Thailand, THA
154.5, 1964, Jun Average, Thailand, THA
221.4, 1964, Jul Average, Thailand, THA
227.1, 1964, Aug Average, Thailand, THA
301.6, 1964, Sep Average, Thailand, THA
194.7, 1964, Oct Average, Thailand, THA
72.7, 1964, Nov Average, Thailand, THA
30.6, 1964, Dec Average, Thailand, THA
6.9, 1965, Jan Average, Thailand, THA
37.7, 1965, Feb Average, Thailand, THA
36.1, 1965, Mar Average, Thailand, THA
80.9, 1965, Apr Average, Thailand, THA
209.1, 1965, May Average, Thailand, THA
196.7, 1965, Jun Average, Thailand, THA
155.5, 1965, Jul Average, Thailand, THA
281.5, 1965, Aug Average, Thailand, THA
267.8, 1965, Sep Average, Thailand, THA
150.5, 1965, Oct Average, Thailand, THA
71.4, 1965, Nov Average, Thailand, THA
51.0, 1965, Dec Average, Thailand, THA
22.7, 1966, Jan Average, Thailand, THA
24.1, 1966, Feb Average, Thailand, THA
40.5, 1966, Mar Average, Thailand, THA
59.1, 1966, Apr Average, Thailand, THA
321.8, 1966, May Average, Thailand, THA
176.5, 1966, Jun Average, Thailand, THA
208.8, 1966, Jul Average, Thailand, THA
308.1, 1966, Aug Average, Thailand, THA
229.0, 1966, Sep Average, Thailand, THA
163.3, 1966, Oct Average, Thailand, THA
90.8, 1966, Nov Average, Thailand, THA
57.0, 1966, Dec Average, Thailand, THA
37.5, 1967, Jan Average, Thailand, THA
13.6, 1967, Feb Average, Thailand, THA
11.9, 1967, Mar Average, Thailand, THA
101.5, 1967, Apr Average, Thailand, THA
188.4, 1967, May Average, Thailand, THA
157.4, 1967, Jun Average, Thailand, THA
193.6, 1967, Jul Average, Thailand, THA
209.6, 1967, Aug Average, Thailand, THA
293.1, 1967, Sep Average, Thailand, THA
116.4, 1967, Oct Average, Thailand, THA
72.8, 1967, Nov Average, Thailand, THA
11.6, 1967, Dec Average, Thailand, THA
7.9, 1968, Jan Average, Thailand, THA
22.4, 1968, Feb Average, Thailand, THA
22.8, 1968, Mar Average, Thailand, THA
120.2, 1968, Apr Average, Thailand, THA
198.4, 1968, May Average, Thailand, THA
236.2, 1968, Jun Average, Thailand, THA
192.4, 1968, Jul Average, Thailand, THA
213.0, 1968, Aug Average, Thailand, THA
229.4, 1968, Sep Average, Thailand, THA
113.0, 1968, Oct Average, Thailand, THA
40.1, 1968, Nov Average, Thailand, THA
26.9, 1968, Dec Average, Thailand, THA
37.6, 1969, Jan Average, Thailand, THA
7.1, 1969, Feb Average, Thailand, THA
44.3, 1969, Mar Average, Thailand, THA
62.6, 1969, Apr Average, Thailand, THA
184.7, 1969, May Average, Thailand, THA
229.0, 1969, Jun Average, Thailand, THA
223.4, 1969, Jul Average, Thailand, THA
218.9, 1969, Aug Average, Thailand, THA
309.8, 1969, Sep Average, Thailand, THA
161.2, 1969, Oct Average, Thailand, THA
80.3, 1969, Nov Average, Thailand, THA
22.0, 1969, Dec Average, Thailand, THA
17.1, 1970, Jan Average, Thailand, THA
16.7, 1970, Feb Average, Thailand, THA
54.4, 1970, Mar Average, Thailand, THA
101.7, 1970, Apr Average, Thailand, THA
232.5, 1970, May Average, Thailand, THA
296.0, 1970, Jun Average, Thailand, THA
221.7, 1970, Jul Average, Thailand, THA
318.6, 1970, Aug Average, Thailand, THA
277.9, 1970, Sep Average, Thailand, THA
130.5, 1970, Oct Average, Thailand, THA
74.6, 1970, Nov Average, Thailand, THA
60.4, 1970, Dec Average, Thailand, THA
5.0, 1971, Jan Average, Thailand, THA
23.8, 1971, Feb Average, Thailand, THA
35.9, 1971, Mar Average, Thailand, THA
68.5, 1971, Apr Average, Thailand, THA
228.6, 1971, May Average, Thailand, THA
216.9, 1971, Jun Average, Thailand, THA
218.8, 1971, Jul Average, Thailand, THA
315.5, 1971, Aug Average, Thailand, THA
226.0, 1971, Sep Average, Thailand, THA
154.1, 1971, Oct Average, Thailand, THA
48.7, 1971, Nov Average, Thailand, THA
43.3, 1971, Dec Average, Thailand, THA
3.6, 1972, Jan Average, Thailand, THA
19.0, 1972, Feb Average, Thailand, THA
37.9, 1972, Mar Average, Thailand, THA
122.0, 1972, Apr Average, Thailand, THA
79.8, 1972, May Average, Thailand, THA
232.0, 1972, Jun Average, Thailand, THA
183.1, 1972, Jul Average, Thailand, THA
210.0, 1972, Aug Average, Thailand, THA
276.8, 1972, Sep Average, Thailand, THA
180.5, 1972, Oct Average, Thailand, THA
116.5, 1972, Nov Average, Thailand, THA
46.7, 1972, Dec Average, Thailand, THA
6.6, 1973, Jan Average, Thailand, THA
3.8, 1973, Feb Average, Thailand, THA
58.7, 1973, Mar Average, Thailand, THA
43.0, 1973, Apr Average, Thailand, THA
189.7, 1973, May Average, Thailand, THA
202.6, 1973, Jun Average, Thailand, THA
238.9, 1973, Jul Average, Thailand, THA
233.7, 1973, Aug Average, Thailand, THA
295.6, 1973, Sep Average, Thailand, THA
109.4, 1973, Oct Average, Thailand, THA
110.0, 1973, Nov Average, Thailand, THA
37.8, 1973, Dec Average, Thailand, THA
8.9, 1974, Jan Average, Thailand, THA
10.0, 1974, Feb Average, Thailand, THA
55.0, 1974, Mar Average, Thailand, THA
134.5, 1974, Apr Average, Thailand, THA
180.0, 1974, May Average, Thailand, THA
160.1, 1974, Jun Average, Thailand, THA
198.7, 1974, Jul Average, Thailand, THA
293.7, 1974, Aug Average, Thailand, THA
232.5, 1974, Sep Average, Thailand, THA
209.7, 1974, Oct Average, Thailand, THA
116.3, 1974, Nov Average, Thailand, THA
30.7, 1974, Dec Average, Thailand, THA
65.4, 1975, Jan Average, Thailand, THA
24.4, 1975, Feb Average, Thailand, THA
34.1, 1975, Mar Average, Thailand, THA
39.6, 1975, Apr Average, Thailand, THA
231.1, 1975, May Average, Thailand, THA
214.5, 1975, Jun Average, Thailand, THA
210.8, 1975, Jul Average, Thailand, THA
292.2, 1975, Aug Average, Thailand, THA
239.4, 1975, Sep Average, Thailand, THA
181.1, 1975, Oct Average, Thailand, THA
84.7, 1975, Nov Average, Thailand, THA
40.4, 1975, Dec Average, Thailand, THA
1.4, 1976, Jan Average, Thailand, THA
18.7, 1976, Feb Average, Thailand, THA
36.9, 1976, Mar Average, Thailand, THA
82.0, 1976, Apr Average, Thailand, THA
210.0, 1976, May Average, Thailand, THA
143.3, 1976, Jun Average, Thailand, THA
242.3, 1976, Jul Average, Thailand, THA
281.4, 1976, Aug Average, Thailand, THA
259.4, 1976, Sep Average, Thailand, THA
191.4, 1976, Oct Average, Thailand, THA
66.5, 1976, Nov Average, Thailand, THA
14.7, 1976, Dec Average, Thailand, THA
22.6, 1977, Jan Average, Thailand, THA
11.7, 1977, Feb Average, Thailand, THA
26.6, 1977, Mar Average, Thailand, THA
76.6, 1977, Apr Average, Thailand, THA
154.2, 1977, May Average, Thailand, THA
116.6, 1977, Jun Average, Thailand, THA
181.0, 1977, Jul Average, Thailand, THA
244.9, 1977, Aug Average, Thailand, THA
278.9, 1977, Sep Average, Thailand, THA
128.1, 1977, Oct Average, Thailand, THA
58.9, 1977, Nov Average, Thailand, THA
24.1, 1977, Dec Average, Thailand, THA
25.1, 1978, Jan Average, Thailand, THA
35.9, 1978, Feb Average, Thailand, THA
24.7, 1978, Mar Average, Thailand, THA
84.1, 1978, Apr Average, Thailand, THA
204.2, 1978, May Average, Thailand, THA
186.4, 1978, Jun Average, Thailand, THA
322.0, 1978, Jul Average, Thailand, THA
232.8, 1978, Aug Average, Thailand, THA
302.2, 1978, Sep Average, Thailand, THA
105.5, 1978, Oct Average, Thailand, THA
29.3, 1978, Nov Average, Thailand, THA
16.3, 1978, Dec Average, Thailand, THA
4.6, 1979, Jan Average, Thailand, THA
14.5, 1979, Feb Average, Thailand, THA
3.5, 1979, Mar Average, Thailand, THA
95.5, 1979, Apr Average, Thailand, THA
186.7, 1979, May Average, Thailand, THA
244.0, 1979, Jun Average, Thailand, THA
152.9, 1979, Jul Average, Thailand, THA
201.1, 1979, Aug Average, Thailand, THA
238.9, 1979, Sep Average, Thailand, THA
57.5, 1979, Oct Average, Thailand, THA
39.0, 1979, Nov Average, Thailand, THA
10.3, 1979, Dec Average, Thailand, THA
2.4, 1980, Jan Average, Thailand, THA
7.9, 1980, Feb Average, Thailand, THA
34.0, 1980, Mar Average, Thailand, THA
66.7, 1980, Apr Average, Thailand, THA
197.6, 1980, May Average, Thailand, THA
294.9, 1980, Jun Average, Thailand, THA
225.2, 1980, Jul Average, Thailand, THA
225.7, 1980, Aug Average, Thailand, THA
301.1, 1980, Sep Average, Thailand, THA
150.4, 1980, Oct Average, Thailand, THA
76.6, 1980, Nov Average, Thailand, THA
34.6, 1980, Dec Average, Thailand, THA
3.2, 1981, Jan Average, Thailand, THA
19.8, 1981, Feb Average, Thailand, THA
25.5, 1981, Mar Average, Thailand, THA
99.5, 1981, Apr Average, Thailand, THA
227.7, 1981, May Average, Thailand, THA
196.6, 1981, Jun Average, Thailand, THA
244.1, 1981, Jul Average, Thailand, THA
202.7, 1981, Aug Average, Thailand, THA
190.9, 1981, Sep Average, Thailand, THA
138.1, 1981, Oct Average, Thailand, THA
133.6, 1981, Nov Average, Thailand, THA
26.7, 1981, Dec Average, Thailand, THA
1.5, 1982, Jan Average, Thailand, THA
16.3, 1982, Feb Average, Thailand, THA
46.2, 1982, Mar Average, Thailand, THA
98.2, 1982, Apr Average, Thailand, THA
162.2, 1982, May Average, Thailand, THA
194.6, 1982, Jun Average, Thailand, THA
197.4, 1982, Jul Average, Thailand, THA
217.0, 1982, Aug Average, Thailand, THA
296.6, 1982, Sep Average, Thailand, THA
137.9, 1982, Oct Average, Thailand, THA
65.8, 1982, Nov Average, Thailand, THA
24.8, 1982, Dec Average, Thailand, THA
13.6, 1983, Jan Average, Thailand, THA
2.7, 1983, Feb Average, Thailand, THA
15.4, 1983, Mar Average, Thailand, THA
25.6, 1983, Apr Average, Thailand, THA
162.9, 1983, May Average, Thailand, THA
208.0, 1983, Jun Average, Thailand, THA
209.4, 1983, Jul Average, Thailand, THA
324.4, 1983, Aug Average, Thailand, THA
232.8, 1983, Sep Average, Thailand, THA
235.8, 1983, Oct Average, Thailand, THA
110.5, 1983, Nov Average, Thailand, THA
37.4, 1983, Dec Average, Thailand, THA
14.4, 1984, Jan Average, Thailand, THA
26.1, 1984, Feb Average, Thailand, THA
30.8, 1984, Mar Average, Thailand, THA
99.3, 1984, Apr Average, Thailand, THA
151.2, 1984, May Average, Thailand, THA
218.0, 1984, Jun Average, Thailand, THA
215.3, 1984, Jul Average, Thailand, THA
217.1, 1984, Aug Average, Thailand, THA
236.5, 1984, Sep Average, Thailand, THA
153.6, 1984, Oct Average, Thailand, THA
50.1, 1984, Nov Average, Thailand, THA
43.9, 1984, Dec Average, Thailand, THA
14.0, 1985, Jan Average, Thailand, THA
20.1, 1985, Feb Average, Thailand, THA
28.2, 1985, Mar Average, Thailand, THA
108.9, 1985, Apr Average, Thailand, THA
195.8, 1985, May Average, Thailand, THA
174.6, 1985, Jun Average, Thailand, THA
188.7, 1985, Jul Average, Thailand, THA
199.3, 1985, Aug Average, Thailand, THA
257.8, 1985, Sep Average, Thailand, THA
190.1, 1985, Oct Average, Thailand, THA
92.6, 1985, Nov Average, Thailand, THA
26.1, 1985, Dec Average, Thailand, THA
6.2, 1986, Jan Average, Thailand, THA
3.3, 1986, Feb Average, Thailand, THA
8.7, 1986, Mar Average, Thailand, THA
100.8, 1986, Apr Average, Thailand, THA
234.5, 1986, May Average, Thailand, THA
168.2, 1986, Jun Average, Thailand, THA
189.0, 1986, Jul Average, Thailand, THA
241.9, 1986, Aug Average, Thailand, THA
227.3, 1986, Sep Average, Thailand, THA
177.7, 1986, Oct Average, Thailand, THA
63.2, 1986, Nov Average, Thailand, THA
27.1, 1986, Dec Average, Thailand, THA
5.0, 1987, Jan Average, Thailand, THA
11.0, 1987, Feb Average, Thailand, THA
39.7, 1987, Mar Average, Thailand, THA
67.6, 1987, Apr Average, Thailand, THA
128.3, 1987, May Average, Thailand, THA
222.2, 1987, Jun Average, Thailand, THA
124.4, 1987, Jul Average, Thailand, THA
282.0, 1987, Aug Average, Thailand, THA
273.8, 1987, Sep Average, Thailand, THA
128.7, 1987, Oct Average, Thailand, THA
132.3, 1987, Nov Average, Thailand, THA
34.6, 1987, Dec Average, Thailand, THA
10.0, 1988, Jan Average, Thailand, THA
26.1, 1988, Feb Average, Thailand, THA
20.6, 1988, Mar Average, Thailand, THA
132.0, 1988, Apr Average, Thailand, THA
244.6, 1988, May Average, Thailand, THA
243.9, 1988, Jun Average, Thailand, THA
224.3, 1988, Jul Average, Thailand, THA
251.2, 1988, Aug Average, Thailand, THA
226.6, 1988, Sep Average, Thailand, THA
217.4, 1988, Oct Average, Thailand, THA
80.4, 1988, Nov Average, Thailand, THA
12.2, 1988, Dec Average, Thailand, THA
15.7, 1989, Jan Average, Thailand, THA
5.6, 1989, Feb Average, Thailand, THA
47.7, 1989, Mar Average, Thailand, THA
58.1, 1989, Apr Average, Thailand, THA
199.7, 1989, May Average, Thailand, THA
177.3, 1989, Jun Average, Thailand, THA
199.8, 1989, Jul Average, Thailand, THA
226.0, 1989, Aug Average, Thailand, THA
207.6, 1989, Sep Average, Thailand, THA
195.4, 1989, Oct Average, Thailand, THA
37.4, 1989, Nov Average, Thailand, THA
6.4, 1989, Dec Average, Thailand, THA
8.4, 1990, Jan Average, Thailand, THA
25.7, 1990, Feb Average, Thailand, THA
59.5, 1990, Mar Average, Thailand, THA
59.1, 1990, Apr Average, Thailand, THA
236.5, 1990, May Average, Thailand, THA
170.2, 1990, Jun Average, Thailand, THA
181.5, 1990, Jul Average, Thailand, THA
194.8, 1990, Aug Average, Thailand, THA
226.5, 1990, Sep Average, Thailand, THA
230.7, 1990, Oct Average, Thailand, THA
80.1, 1990, Nov Average, Thailand, THA
15.4, 1990, Dec Average, Thailand, THA
8.5, 1991, Jan Average, Thailand, THA
6.6, 1991, Feb Average, Thailand, THA
29.3, 1991, Mar Average, Thailand, THA
68.1, 1991, Apr Average, Thailand, THA
173.5, 1991, May Average, Thailand, THA
167.5, 1991, Jun Average, Thailand, THA
175.4, 1991, Jul Average, Thailand, THA
308.8, 1991, Aug Average, Thailand, THA
227.6, 1991, Sep Average, Thailand, THA
137.7, 1991, Oct Average, Thailand, THA
37.4, 1991, Nov Average, Thailand, THA
34.7, 1991, Dec Average, Thailand, THA
17.7, 1992, Jan Average, Thailand, THA
19.3, 1992, Feb Average, Thailand, THA
3.7, 1992, Mar Average, Thailand, THA
26.2, 1992, Apr Average, Thailand, THA
108.9, 1992, May Average, Thailand, THA
178.7, 1992, Jun Average, Thailand, THA
263.3, 1992, Jul Average, Thailand, THA
249.8, 1992, Aug Average, Thailand, THA
215.3, 1992, Sep Average, Thailand, THA
168.3, 1992, Oct Average, Thailand, THA
37.9, 1992, Nov Average, Thailand, THA
28.4, 1992, Dec Average, Thailand, THA
14.4, 1993, Jan Average, Thailand, THA
3.5, 1993, Feb Average, Thailand, THA
59.9, 1993, Mar Average, Thailand, THA
77.7, 1993, Apr Average, Thailand, THA
165.1, 1993, May Average, Thailand, THA
132.3, 1993, Jun Average, Thailand, THA
167.3, 1993, Jul Average, Thailand, THA
213.6, 1993, Aug Average, Thailand, THA
242.6, 1993, Sep Average, Thailand, THA
115.6, 1993, Oct Average, Thailand, THA
47.7, 1993, Nov Average, Thailand, THA
44.8, 1993, Dec Average, Thailand, THA
3.9, 1994, Jan Average, Thailand, THA
21.3, 1994, Feb Average, Thailand, THA
87.0, 1994, Mar Average, Thailand, THA
73.8, 1994, Apr Average, Thailand, THA
236.7, 1994, May Average, Thailand, THA
286.0, 1994, Jun Average, Thailand, THA
176.1, 1994, Jul Average, Thailand, THA
300.5, 1994, Aug Average, Thailand, THA
243.7, 1994, Sep Average, Thailand, THA
97.0, 1994, Oct Average, Thailand, THA
48.0, 1994, Nov Average, Thailand, THA
21.2, 1994, Dec Average, Thailand, THA
10.7, 1995, Jan Average, Thailand, THA
7.9, 1995, Feb Average, Thailand, THA
34.5, 1995, Mar Average, Thailand, THA
51.8, 1995, Apr Average, Thailand, THA
179.4, 1995, May Average, Thailand, THA
193.5, 1995, Jun Average, Thailand, THA
283.1, 1995, Jul Average, Thailand, THA
347.9, 1995, Aug Average, Thailand, THA
255.1, 1995, Sep Average, Thailand, THA
135.3, 1995, Oct Average, Thailand, THA
88.7, 1995, Nov Average, Thailand, THA
23.4, 1995, Dec Average, Thailand, THA
9.7, 1996, Jan Average, Thailand, THA
28.0, 1996, Feb Average, Thailand, THA
42.4, 1996, Mar Average, Thailand, THA
152.6, 1996, Apr Average, Thailand, THA
161.5, 1996, May Average, Thailand, THA
227.7, 1996, Jun Average, Thailand, THA
184.3, 1996, Jul Average, Thailand, THA
241.1, 1996, Aug Average, Thailand, THA
327.7, 1996, Sep Average, Thailand, THA
154.5, 1996, Oct Average, Thailand, THA
126.0, 1996, Nov Average, Thailand, THA
42.9, 1996, Dec Average, Thailand, THA
5.0, 1997, Jan Average, Thailand, THA
18.9, 1997, Feb Average, Thailand, THA
49.4, 1997, Mar Average, Thailand, THA
86.8, 1997, Apr Average, Thailand, THA
118.0, 1997, May Average, Thailand, THA
132.7, 1997, Jun Average, Thailand, THA
217.4, 1997, Jul Average, Thailand, THA
264.7, 1997, Aug Average, Thailand, THA
219.1, 1997, Sep Average, Thailand, THA
149.5, 1997, Oct Average, Thailand, THA
53.5, 1997, Nov Average, Thailand, THA
30.1, 1997, Dec Average, Thailand, THA
10.0, 1998, Jan Average, Thailand, THA
21.1, 1998, Feb Average, Thailand, THA
19.3, 1998, Mar Average, Thailand, THA
61.8, 1998, Apr Average, Thailand, THA
171.2, 1998, May Average, Thailand, THA
196.0, 1998, Jun Average, Thailand, THA
209.8, 1998, Jul Average, Thailand, THA
266.2, 1998, Aug Average, Thailand, THA
228.1, 1998, Sep Average, Thailand, THA
131.2, 1998, Oct Average, Thailand, THA
103.7, 1998, Nov Average, Thailand, THA
37.0, 1998, Dec Average, Thailand, THA
29.1, 1999, Jan Average, Thailand, THA
24.0, 1999, Feb Average, Thailand, THA
48.3, 1999, Mar Average, Thailand, THA
165.1, 1999, Apr Average, Thailand, THA
273.0, 1999, May Average, Thailand, THA
176.1, 1999, Jun Average, Thailand, THA
192.0, 1999, Jul Average, Thailand, THA
224.5, 1999, Aug Average, Thailand, THA
237.8, 1999, Sep Average, Thailand, THA
206.5, 1999, Oct Average, Thailand, THA
107.4, 1999, Nov Average, Thailand, THA
34.1, 1999, Dec Average, Thailand, THA
19.2, 2000, Jan Average, Thailand, THA
31.0, 2000, Feb Average, Thailand, THA
38.7, 2000, Mar Average, Thailand, THA
173.0, 2000, Apr Average, Thailand, THA
238.0, 2000, May Average, Thailand, THA
260.2, 2000, Jun Average, Thailand, THA
195.6, 2000, Jul Average, Thailand, THA
268.3, 2000, Aug Average, Thailand, THA
233.1, 2000, Sep Average, Thailand, THA
172.3, 2000, Oct Average, Thailand, THA
45.3, 2000, Nov Average, Thailand, THA
34.1, 2000, Dec Average, Thailand, THA
26.5, 2001, Jan Average, Thailand, THA
7.4, 2001, Feb Average, Thailand, THA
99.7, 2001, Mar Average, Thailand, THA
44.8, 2001, Apr Average, Thailand, THA
227.8, 2001, May Average, Thailand, THA
200.6, 2001, Jun Average, Thailand, THA
180.8, 2001, Jul Average, Thailand, THA
263.8, 2001, Aug Average, Thailand, THA
220.8, 2001, Sep Average, Thailand, THA
186.1, 2001, Oct Average, Thailand, THA
49.9, 2001, Nov Average, Thailand, THA
32.2, 2001, Dec Average, Thailand, THA
6.5, 2002, Jan Average, Thailand, THA
5.5, 2002, Feb Average, Thailand, THA
48.6, 2002, Mar Average, Thailand, THA
69.0, 2002, Apr Average, Thailand, THA
222.6, 2002, May Average, Thailand, THA
179.8, 2002, Jun Average, Thailand, THA
170.9, 2002, Jul Average, Thailand, THA
298.3, 2002, Aug Average, Thailand, THA
298.9, 2002, Sep Average, Thailand, THA
122.7, 2002, Oct Average, Thailand, THA
106.8, 2002, Nov Average, Thailand, THA
65.9, 2002, Dec Average, Thailand, THA
9.6, 2003, Jan Average, Thailand, THA
21.6, 2003, Feb Average, Thailand, THA
86.8, 2003, Mar Average, Thailand, THA
59.2, 2003, Apr Average, Thailand, THA
150.2, 2003, May Average, Thailand, THA
228.2, 2003, Jun Average, Thailand, THA
219.5, 2003, Jul Average, Thailand, THA
232.9, 2003, Aug Average, Thailand, THA
292.0, 2003, Sep Average, Thailand, THA
119.1, 2003, Oct Average, Thailand, THA
38.5, 2003, Nov Average, Thailand, THA
27.9, 2003, Dec Average, Thailand, THA
17.8, 2004, Jan Average, Thailand, THA
37.2, 2004, Feb Average, Thailand, THA
16.1, 2004, Mar Average, Thailand, THA
67.5, 2004, Apr Average, Thailand, THA
196.6, 2004, May Average, Thailand, THA
247.3, 2004, Jun Average, Thailand, THA
253.0, 2004, Jul Average, Thailand, THA
200.2, 2004, Aug Average, Thailand, THA
243.2, 2004, Sep Average, Thailand, THA
58.9, 2004, Oct Average, Thailand, THA
38.3, 2004, Nov Average, Thailand, THA
14.8, 2004, Dec Average, Thailand, THA
9.1, 2005, Jan Average, Thailand, THA
3.7, 2005, Feb Average, Thailand, THA
34.1, 2005, Mar Average, Thailand, THA
80.6, 2005, Apr Average, Thailand, THA
153.2, 2005, May Average, Thailand, THA
205.6, 2005, Jun Average, Thailand, THA
222.7, 2005, Jul Average, Thailand, THA
213.1, 2005, Aug Average, Thailand, THA
319.9, 2005, Sep Average, Thailand, THA
115.6, 2005, Oct Average, Thailand, THA
110.4, 2005, Nov Average, Thailand, THA
59.7, 2005, Dec Average, Thailand, THA
10.5, 2006, Jan Average, Thailand, THA
23.6, 2006, Feb Average, Thailand, THA
60.4, 2006, Mar Average, Thailand, THA
126.2, 2006, Apr Average, Thailand, THA
235.1, 2006, May Average, Thailand, THA
