Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2019,47,33,29,n/a,n/a,34,36,42,44,41,49,53
02/01/2019,47,45,38,n/a,n/a,34,48,42,55,44,55,55
03/01/2019,44,53,44,n/a,n/a,41,53,49,63,51,61,63
04/01/2019,52,56,47,n/a,n/a,50,60,56,75,59,72,75
05/01/2019,64,65,58,n/a,n/a,59,68,72,75,68,88,83
06/01/2019,96,94,81,n/a,n/a,82,94,121,109,100,107,136
07/01/2019,96,100,n/a,n/a,n/a,79,95,106,108,97,106,127
08/01/2019,47,44,42,n/a,n/a,36,47,71,52,39,51,64
09/01/2019,49,51,41,n/a,n/a,42,53,85,63,46,60,79
10/01/2019,64,72,60,n/a,n/a,54,71,111,79,70,81,89
11/01/2019,102,99,101,n/a,101,88,115,130,122,117,125,140
12/01/2019,82,84,74,n/a,95,72,84,118,94,95,101,105
13/01/2019,94,99,82,n/a,118,80,93,143,112,110,105,126
14/01/2019,95,92,80,n/a,98,79,92,142,112,106,102,120
15/01/2019,65,78,69,n/a,87,68,82,130,88,81,89,101
16/01/2019,64,69,60,n/a,83,55,70,87,74,74,80,82
17/01/2019,81,80,69,n/a,100,65,76,88,87,82,87,89
18/01/2019,58,61,50,n/a,76,50,58,64,72,67,68,77
19/01/2019,76,76,70,n/a,82,66,80,88,92,87,90,96
20/01/2019,86,83,71,n/a,86,67,83,136,93,95,99,95
21/01/2019,104,90,95,n/a,114,89,96,139,105,121,113,119
22/01/2019,78,71,66,n/a,93,59,76,97,86,82,82,94
23/01/2019,67,78,67,n/a,89,59,75,103,76,77,81,87
24/01/2019,61,78,63,n/a,92,52,69,n/a,73,70,74,82
25/01/2019,89,102,87,n/a,127,77,98,135,116,108,106,115
26/01/2019,77,84,77,n/a,109,69,86,106,93,89,96,103
27/01/2019,65,69,64,n/a,79,62,71,69,75,71,81,82
28/01/2019,75,91,77,n/a,91,72,88,105,98,90,100,99
29/01/2019,87,115,96,n/a,106,91,102,136,117,111,114,113
30/01/2019,106,129,124,n/a,126,102,126,162,142,123,140,153
31/01/2019,101,97,90,n/a,92,84,90,134,101,103,105,101
01/02/2019,70,58,56,n/a,81,54,63,81,69,67,72,79
02/02/2019,58,58,53,n/a,68,46,58,76,72,61,66,73
03/02/2019,41,40,39,n/a,52,34,43,49,59,41,47,58
04/02/2019,47,40,42,n/a,59,37,50,63,56,46,53,55
05/02/2019,48,38,41,n/a,62,41,47,56,53,43,50,57
06/02/2019,39,28,32,n/a,52,30,38,53,44,38,41,47
07/02/2019,43,32,33,n/a,57,33,42,64,48,40,45,47
08/02/2019,44,31,35,n/a,56,33,42,69,47,39,45,50
