Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T
01/01/2014,127,94,151,92,112,91,107,40,87,91,N/A,N/A,125,32,36,108
02/01/2014,133,106,N/A,104,122,94,130,N/A,92,109,N/A,N/A,151,31,41,122
03/01/2014,160,131,N/A,142,164,126,173,N/A,125,143,N/A,N/A,198,51,54,146
04/01/2014,156,125,N/A,129,151,120,171,N/A,109,133,N/A,N/A,202,47,54,149
05/01/2014,122,89,N/A,90,114,89,118,N/A,73,104,N/A,N/A,126,N/A,38,88
06/01/2014,129,98,N/A,99,110,86,126,N/A,87,99,N/A,N/A,150,N/A,41,121
07/01/2014,115,83,N/A,100,131,91,127,N/A,79,111,N/A,N/A,162,N/A,56,106
08/01/2014,123,91,N/A,98,109,80,121,N/A,76,101,N/A,N/A,158,N/A,53,117
09/01/2014,128,106,N/A,76,104,N/A,127,N/A,65,88,N/A,N/A,139,N/A,32,N/A
10/01/2014,82,57,117,54,66,N/A,77,N/A,46,55,N/A,N/A,82,N/A,23,N/A
11/01/2014,85,55,120,63,71,55,70,N/A,51,69,N/A,N/A,89,N/A,26,N/A
12/01/2014,85,59,122,67,87,64,76,N/A,59,64,N/A,N/A,101,N/A,28,N/A
13/01/2014,71,46,83,46,54,47,61,N/A,34,41,N/A,N/A,73,N/A,19,N/A
14/01/2014,68,45,83,43,47,41,57,N/A,34,44,N/A,N/A,67,N/A,18,N/A
15/01/2014,80,48,98,48,58,49,N/A,N/A,43,51,N/A,N/A,76,N/A,20,N/A
16/01/2014,92,59,N/A,62,83,64,N/A,N/A,58,66,N/A,N/A,N/A,N/A,27,N/A
17/01/2014,105,69,N/A,76,89,76,85,N/A,73,72,N/A,N/A,N/A,N/A,31,N/A
18/01/2014,81,51,N/A,44,64,57,73,N/A,42,51,N/A,N/A,N/A,N/A,21,N/A
19/01/2014,103,72,N/A,77,87,80,95,N/A,69,80,N/A,N/A,N/A,N/A,29,N/A
20/01/2014,121,95,N/A,92,115,91,119,N/A,89,99,N/A,N/A,N/A,N/A,36,N/A
21/01/2014,102,68,N/A,63,78,72,91,N/A,57,67,N/A,N/A,N/A,N/A,26,N/A
22/01/2014,141,111,N/A,118,117,111,141,N/A,104,107,N/A,N/A,N/A,N/A,39,N/A
