Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T
23/01/2014,141,113,N/A,104,109,107,130,N/A,100,96,N/A,N/A,N/A,N/A,38,N/A
24/01/2014,142,125,N/A,111,139,117,155,N/A,95,117,N/A,N/A,N/A,N/A,40,N/A
25/01/2014,182,154,N/A,146,169,142,182,N/A,122,140,N/A,N/A,N/A,N/A,50,N/A
26/01/2014,169,138,N/A,137,164,101,174,N/A,107,149,N/A,N/A,N/A,N/A,60,N/A
27/01/2014,182,135,N/A,106,163,95,191,N/A,99,147,N/A,N/A,N/A,N/A,68,N/A
28/01/2014,113,93,N/A,71,89,77,117,N/A,54,76,N/A,N/A,N/A,N/A,29,94
29/01/2014,N/A,81,N/A,84,102,69,106,N/A,60,84,N/A,N/A,N/A,N/A,38,121
30/01/2014,105,69,N/A,95,N/A,70,108,N/A,69,83,N/A,N/A,N/A,N/A,37,118
31/01/2014,84,62,N/A,53,N/A,62,94,N/A,55,61,N/A,N/A,N/A,N/A,27,99
01/02/2014,65,44,53,59,76,56,83,N/A,53,60,N/A,N/A,N/A,N/A,28,60
02/02/2014,68,41,43,55,63,51,67,N/A,48,48,N/A,N/A,N/A,N/A,28,52
03/02/2014,80,53,58,66,85,62,87,N/A,62,70,N/A,N/A,N/A,N/A,34,75
04/02/2014,67,47,38,44,65,N/A,75,N/A,50,50,N/A,N/A,N/A,N/A,30,53
05/02/2014,62,39,31,37,54,46,61,N/A,42,49,N/A,N/A,N/A,N/A,23,49
06/02/2014,58,40,31,35,50,46,57,N/A,39,38,54,N/A,N/A,N/A,25,42
07/02/2014,48,29,20,24,40,34,44,N/A,29,35,40,N/A,76,N/A,19,35
08/02/2014,45,29,24,26,39,34,39,N/A,27,30,37,N/A,73,N/A,16,38
09/02/2014,50,27,35,38,39,31,37,N/A,31,31,48,N/A,67,N/A,20,38
10/02/2014,63,40,N/A,43,56,49,67,N/A,N/A,46,61,N/A,96,N/A,19,61
11/02/2014,48,36,N/A,46,48,40,56,N/A,N/A,36,38,N/A,72,N/A,20,45
12/02/2014,46,33,N/A,39,42,38,44,N/A,N/A,35,37,N/A,70,N/A,20,40
13/02/2014,52,36,N/A,38,N/A,40,47,N/A,N/A,46,42,N/A,79,N/A,22,45
14/02/2014,49,35,N/A,37,N/A,40,50,N/A,N/A,34,46,N/A,81,N/A,23,40
15/02/2014,47,32,N/A,42,N/A,36,46,N/A,N/A,36,47,N/A,87,N/A,22,40
16/02/2014,49,29,N/A,42,N/A,39,47,N/A,N/A,39,45,N/A,82,N/A,23,37
17/02/2014,59,41,N/A,50,N/A,45,58,N/A,N/A,43,62,N/A,97,N/A,25,53
18/02/2014,58,43,N/A,50,N/A,48,59,N/A,N/A,47,67,N/A,N/A,N/A,25,62
19/02/2014,56,41,35,63,53,48,55,N/A,41,41,66,N/A,91,N/A,30,50
20/02/2014,81,55,59,74,68,58,83,N/A,55,52,85,N/A,104,N/A,17,66
21/02/2014,87,61,63,81,73,63,92,N/A,64,56,103,72,108,N/A,24,69
22/02/2014,101,68,N/A,95,99,66,92,N/A,82,79,152,141,140,91,37,75
23/02/2014,57,40,N/A,56,58,46,53,N/A,40,N/A,88,80,88,68,26,40
24/02/2014,56,35,N/A,50,53,47,54,N/A,40,N/A,81,86,90,56,31,39
25/02/2014,56,43,N/A,N/A,53,48,54,13,42,N/A,75,80,92,58,38,38
26/02/2014,58,44,N/A,N/A,54,49,60,14,45,N/A,84,76,93,67,34,44
27/02/2014,56,42,N/A,N/A,52,49,54,13,42,N/A,N/A,82,84,57,25,39
28/02/2014,51,39,N/A,N/A,47,47,48,12,35,N/A,N/A,72,75,57,20,33
01/03/2014,55,35,35,N/A,47,45,46,13,37,N/A,63,72,75,60,23,35
02/03/2014,N/A,28,36,N/A,45,42,43,12,35,N/A,61,N/A,76,58,26,34
03/03/2014,N/A,34,44,N/A,54,47,56,13,44,N/A,68,52,87,68,26,40
04/03/2014,57,39,43,N/A,49,N/A,57,13,41,N/A,75,53,92,66,27,41
05/03/2014,58,43,43,N/A,50,44,58,14,42,N/A,71,65,91,61,23,54
06/03/2014,58,40,44,N/A,49,47,54,14,40,N/A,67,65,94,57,23,51
07/03/2014,48,32,36,N/A,42,44,45,11,33,N/A,59,58,83,61,23,43
08/03/2014,53,33,38,N/A,43,43,49,11,35,N/A,61,72,83,65,22,44
09/03/2014,46,31,36,N/A,43,39,47,11,34,N/A,59,62,77,53,23,45
10/03/2014,53,34,41,N/A,48,44,49,12,38,N/A,74,68,93,72,20,48
11/03/2014,48,32,36,N/A,42,41,41,11,33,N/A,60,N/A,86,48,19,72
12/03/2014,48,35,39,N/A,46,47,43,13,34,N/A,59,N/A,87,55,23,53
13/03/2014,61,44,47,N/A,55,57,56,14,45,N/A,85,N/A,105,60,29,63
14/03/2014,55,39,42,N/A,49,47,51,14,41,N/A,N/A,N/A,93,57,24,54
15/03/2014,50,35,38,N/A,49,43,45,13,N/A,N/A,N/A,N/A,86,54,20,50
16/03/2014,52,26,31,N/A,54,46,46,13,N/A,N/A,N/A,N/A,90,70,25,65
17/03/2014,52,34,43,N/A,57,48,49,13,45,N/A,N/A,N/A,92,N/A,25,56
18/03/2014,45,29,32,N/A,38,34,36,11,31,N/A,N/A,N/A,83,N/A,21,49
19/03/2014,47,29,34,35,39,38,36,12,34,N/A,70,N/A,83,N/A,25,45
20/03/2014,53,34,40,43,58,47,49,12,40,N/A,109,N/A,96,20,26,58
21/03/2014,66,48,52,51,65,59,66,16,56,N/A,129,91,111,24,29,81
22/03/2014,56,N/A,46,N/A,52,50,57,16,45,N/A,75,N/A,99,25,24,71
23/03/2014,71,N/A,64,N/A,71,70,N/A,19,62,N/A,93,N/A,114,26,28,105
24/03/2014,74,N/A,60,N/A,70,63,N/A,21,59,N/A,99,N/A,120,31,28,81
25/03/2014,53,N/A,38,N/A,49,49,50,13,N/A,N/A,70,N/A,92,19,27,63
26/03/2014,48,30,N/A,N/A,44,46,45,12,N/A,N/A,67,N/A,88,18,25,49
27/03/2014,54,33,N/A,43,42,45,48,13,N/A,N/A,65,N/A,87,18,25,55
28/03/2014,57,37,N/A,43,46,49,52,13,N/A,N/A,74,N/A,91,21,31,63
29/03/2014,52,34,27,39,45,48,49,13,N/A,N/A,66,72,89,18,24,56
30/03/2014,31,16,13,21,25,N/A,25,9,N/A,N/A,38,53,61,N/A,15,48
31/03/2014,31,15,14,21,22,26,22,9,21,N/A,36,46,60,N/A,18,40
01/04/2014,40,24,24,31,32,39,33,11,29,N/A,N/A,61,73,N/A,23,46
02/04/2014,44,30,29,34,39,41,43,11,36,N/A,N/A,63,77,16,30,61
03/04/2014,45,29,25,33,34,38,40,11,32,N/A,65,60,73,16,26,58
04/04/2014,43,27,27,29,35,33,39,11,31,N/A,63,N/A,75,15,20,56
05/04/2014,53,45,44,38,52,41,49,15,43,N/A,67,N/A,91,22,25,68
06/04/2014,48,34,32,29,35,N/A,48,13,36,N/A,58,N/A,84,16,18,61
07/04/2014,39,21,22,30,N/A,N/A,33,11,29,N/A,48,N/A,68,13,25,40
08/04/2014,74,54,57,65,N/A,60,68,18,60,N/A,88,N/A,117,27,29,83
09/04/2014,85,65,71,76,N/A,78,85,21,76,N/A,101,N/A,124,32,32,91
10/04/2014,92,71,78,78,82,70,95,22,76,N/A,105,N/A,128,32,31,94
11/04/2014,81,63,72,67,80,63,84,21,72,N/A,102,N/A,123,32,39,89
12/04/2014,74,54,65,63,81,53,78,19,65,N/A,96,104,121,31,36,83
13/04/2014,74,53,70,61,78,N/A,78,20,62,N/A,92,102,N/A,31,34,84
14/04/2014,64,43,50,49,66,46,64,16,53,N/A,82,94,N/A,26,26,65
15/04/2014,47,33,32,32,36,37,41,14,34,N/A,52,58,N/A,16,26,55
16/04/2014,44,27,28,32,39,37,37,13,33,N/A,52,63,N/A,18,25,42
17/04/2014,42,31,28,32,39,36,36,13,33,N/A,54,54,N/A,17,25,48
18/04/2014,39,31,28,38,47,38,37,12,34,N/A,51,59,69,17,23,44
19/04/2014,32,23,20,25,31,28,29,12,25,N/A,46,47,61,15,23,46
20/04/2014,32,18,N/A,23,29,25,25,11,22,N/A,39,40,56,12,17,43
21/04/2014,32,20,N/A,23,25,27,27,10,26,N/A,37,42,55,11,16,45
22/04/2014,33,24,18,26,28,30,30,9,20,N/A,40,43,57,13,18,43
23/04/2014,45,33,31,38,37,41,43,13,27,N/A,61,63,76,17,27,54
24/04/2014,44,29,28,30,33,36,36,12,23,N/A,69,57,69,15,25,40
25/04/2014,42,33,33,31,34,33,36,12,23,N/A,50,55,68,16,25,44
26/04/2014,33,21,24,25,26,31,29,10,19,N/A,39,45,55,13,15,44
27/04/2014,35,18,22,23,24,28,23,9,18,N/A,36,45,55,12,19,33
28/04/2014,37,22,30,31,38,32,35,10,26,N/A,47,52,66,16,21,48
29/04/2014,34,25,31,34,36,37,44,12,27,N/A,47,62,67,15,25,44
30/04/2014,35,28,33,32,35,41,43,11,30,N/A,55,65,77,16,23,50
01/05/2014,32,27,29,26,32,33,35,10,25,N/A,48,51,64,14,25,45
02/05/2014,50,36,41,36,38,40,51,14,38,N/A,64,62,81,20,39,60
03/05/2014,35,28,33,28,37,32,43,9,29,N/A,56,59,68,15,26,57
04/05/2014,38,23,30,27,34,36,48,12,31,N/A,59,66,71,16,21,54
05/05/2014,27,16,N/A,30,41,32,39,8,23,N/A,48,57,64,14,23,53
06/05/2014,N/A,32,N/A,34,44,43,58,12,34,N/A,71,N/A,89,20,33,84
07/05/2014,N/A,33,44,30,41,36,48,12,29,N/A,63,N/A,101,19,38,68
08/05/2014,N/A,43,38,37,47,42,58,13,36,N/A,66,N/A,94,21,23,65
09/05/2014,N/A,19,20,23,25,32,27,9,20,N/A,46,N/A,61,13,23,35
10/05/2014,N/A,29,35,25,30,N/A,36,11,N/A,N/A,58,N/A,74,15,32,58
11/05/2014,N/A,27,33,21,24,29,30,11,19,N/A,52,N/A,72,N/A,19,55
12/05/2014,N/A,25,31,22,22,26,30,10,20,N/A,50,N/A,63,N/A,16,30
13/05/2014,N/A,18,23,20,23,20,20,10,16,N/A,49,N/A,56,N/A,15,33
14/05/2014,N/A,23,25,26,30,22,19,10,20,N/A,51,N/A,58,N/A,16,29
15/05/2014,33,20,29,23,24,23,22,11,19,N/A,54,53,60,N/A,17,32
16/05/2014,31,22,25,24,25,22,26,9,21,N/A,52,50,61,12,16,41
17/05/2014,29,21,N/A,24,24,22,24,9,20,N/A,53,53,60,14,19,46
18/05/2014,31,18,N/A,24,27,24,27,9,21,N/A,49,44,68,13,37,53
19/05/2014,34,23,N/A,28,29,24,24,9,21,N/A,62,60,67,15,12,43
20/05/2014,36,24,20,26,25,26,24,10,21,N/A,51,61,68,15,17,37
21/05/2014,35,27,36,27,27,24,25,11,22,N/A,57,65,68,16,15,41
22/05/2014,37,26,35,28,26,28,27,10,24,N/A,52,54,62,16,23,34
23/05/2014,33,24,31,24,26,24,23,10,18,N/A,45,43,57,13,19,32
24/05/2014,45,31,32,33,34,30,32,14,29,N/A,57,64,68,18,25,46
25/05/2014,35,21,29,30,30,28,32,10,21,N/A,59,60,71,16,N/A,50
26/05/2014,36,29,36,34,44,34,39,10,29,N/A,61,N/A,76,18,42,61
27/05/2014,27,21,25,30,36,30,39,8,27,N/A,45,N/A,63,13,N/A,54
28/05/2014,33,24,24,21,24,23,27,9,18,N/A,42,N/A,58,15,N/A,51
29/05/2014,34,25,30,26,28,26,N/A,10,21,N/A,49,29,59,14,N/A,46
30/05/2014,26,20,29,24,N/A,23,N/A,9,17,N/A,43,23,57,13,N/A,43
31/05/2014,35,17,25,24,N/A,26,29,9,18,N/A,47,40,63,15,N/A,41
01/06/2014,26,11,17,18,N/A,17,20,16,15,N/A,37,24,38,13,N/A,51
02/06/2014,29,20,24,22,N/A,26,26,15,18,N/A,53,49,51,13,N/A,56
03/06/2014,31,18,24,21,N/A,22,23,15,16,N/A,49,49,N/A,13,N/A,40
04/06/2014,28,14,21,20,23,20,N/A,16,16,N/A,44,42,N/A,N/A,N/A,48
05/06/2014,31,23,33,22,21,21,26,32,16,N/A,50,43,56,15,15,45
06/06/2014,33,22,28,21,20,20,24,14,15,N/A,N/A,37,52,16,12,57
07/06/2014,27,17,25,21,24,21,22,23,15,N/A,N/A,33,52,12,14,47
08/06/2014,31,21,32,28,30,27,25,21,22,N/A,N/A,50,63,16,17,48
09/06/2014,32,24,25,23,23,22,23,N/A,17,N/A,N/A,47,50,14,12,27
10/06/2014,36,25,26,26,27,25,32,N/A,21,N/A,42,56,59,17,13,47
11/06/2014,31,23,27,24,22,25,25,N/A,19,N/A,38,50,55,13,14,37
12/06/2014,29,17,33,20,19,21,25,N/A,16,N/A,36,53,56,15,11,36
13/06/2014,27,15,21,20,N/A,22,23,N/A,13,N/A,30,30,48,12,10,33
14/06/2014,27,19,22,25,N/A,27,31,N/A,17,N/A,32,35,54,12,12,27
15/06/2014,27,16,25,23,N/A,27,26,N/A,20,N/A,35,38,56,10,13,41
16/06/2014,26,15,20,24,N/A,25,28,N/A,18,N/A,36,39,56,N/A,14,38
17/06/2014,26,17,23,25,23,24,28,N/A,18,N/A,33,35,55,N/A,14,43
18/06/2014,43,35,40,38,39,41,44,N/A,32,N/A,57,63,79,N/A,16,56
19/06/2014,59,42,62,59,55,49,59,15,49,N/A,68,87,93,N/A,25,69
20/06/2014,64,50,65,60,58,56,68,14,52,N/A,76,111,101,31,22,70
21/06/2014,69,50,68,64,57,59,69,17,57,N/A,75,93,106,35,26,79
22/06/2014,56,41,60,53,52,53,55,13,46,N/A,66,87,91,37,23,64
23/06/2014,44,33,42,39,37,37,43,11,30,N/A,61,86,N/A,27,18,49
24/06/2014,36,25,35,31,28,29,27,11,26,N/A,44,55,66,18,16,39
25/06/2014,27,20,28,27,27,25,34,7,25,N/A,40,47,73,16,16,39
26/06/2014,43,35,45,38,42,37,51,11,36,N/A,63,59,91,26,19,64
27/06/2014,52,48,65,48,51,45,56,15,49,N/A,72,96,103,30,22,86
28/06/2014,48,35,50,43,39,40,45,12,40,N/A,62,89,95,27,19,50
29/06/2014,48,31,50,41,39,43,43,11,42,N/A,61,101,89,25,21,51
30/06/2014,48,35,48,43,40,43,43,12,41,N/A,67,91,99,26,20,54
01/07/2014,37,29,33,35,35,35,44,9,31,N/A,55,49,92,20,20,65
02/07/2014,43,30,45,34,34,36,37,11,32,N/A,54,66,91,22,17,52
03/07/2014,37,25,35,28,28,27,30,15,25,N/A,46,60,85,19,15,42
04/07/2014,31,22,N/A,31,27,26,25,18,27,N/A,38,58,81,17,15,44
05/07/2014,35,21,N/A,27,23,24,25,18,27,N/A,41,49,74,19,13,34
06/07/2014,28,18,N/A,19,24,22,18,16,19,N/A,35,46,61,16,12,34
07/07/2014,28,16,N/A,23,20,19,16,17,20,N/A,31,43,72,14,13,31
08/07/2014,24,14,24,17,17,16,16,16,22,N/A,27,44,59,12,11,25
09/07/2014,23,14,16,17,17,19,11,15,18,N/A,27,44,57,11,11,26
10/07/2014,23,15,21,19,20,18,17,15,18,N/A,27,39,58,11,11,24
11/07/2014,33,25,31,30,30,30,26,17,30,N/A,34,47,68,15,15,33
12/07/2014,26,16,25,22,26,27,24,16,26,N/A,24,40,63,12,14,23
13/07/2014,28,17,23,22,24,24,20,16,26,N/A,26,N/A,68,12,14,29
14/07/2014,26,18,27,23,25,28,32,17,N/A,N/A,25,31,72,16,13,51
15/07/2014,27,21,24,24,28,26,32,16,N/A,N/A,27,47,77,14,14,21
16/07/2014,31,26,28,29,32,28,33,17,N/A,N/A,41,57,96,18,15,13
17/07/2014,28,19,26,24,23,22,20,16,20,N/A,39,59,85,18,13,26
18/07/2014,N/A,22,31,23,23,23,22,13,20,N/A,40,55,80,15,12,33
19/07/2014,N/A,16,21,21,24,21,21,7,20,N/A,34,42,67,15,12,36
20/07/2014,N/A,25,39,38,42,39,42,9,38,N/A,42,50,86,19,20,50
21/07/2014,N/A,32,47,41,43,41,43,11,38,N/A,58,78,103,23,18,48
22/07/2014,N/A,25,41,34,32,31,31,13,31,N/A,48,68,80,20,15,42
23/07/2014,N/A,22,34,31,30,27,28,19,27,N/A,45,71,69,18,16,39
24/07/2014,N/A,24,36,29,31,31,30,18,28,N/A,45,57,76,17,15,37
25/07/2014,35,27,35,33,35,34,35,19,29,N/A,45,50,73,19,14,43
26/07/2014,42,34,50,36,36,31,34,21,35,N/A,51,63,63,23,16,38
27/07/2014,31,25,33,28,27,25,25,18,25,N/A,45,67,53,16,13,33
28/07/2014,33,25,46,28,31,29,29,21,32,N/A,53,74,65,20,15,35
29/07/2014,47,35,53,35,43,36,42,23,36,N/A,56,71,86,25,18,49
30/07/2014,57,41,55,42,47,43,53,26,42,N/A,63,73,93,31,23,57
31/07/2014,51,45,51,36,42,36,51,24,43,N/A,67,103,95,31,21,59
01/08/2014,58,47,74,46,50,46,57,27,49,N/A,72,N/A,87,34,23,58
02/08/2014,43,35,N/A,36,44,35,38,21,36,N/A,57,N/A,72,25,19,44
03/08/2014,44,32,N/A,N/A,46,41,N/A,23,46,N/A,52,N/A,73,22,18,49
04/08/2014,32,25,N/A,N/A,32,33,N/A,18,31,N/A,50,N/A,67,18,17,43
05/08/2014,31,21,N/A,N/A,29,27,26,18,29,N/A,45,N/A,56,18,18,32
06/08/2014,29,24,N/A,N/A,26,20,29,18,24,N/A,34,38,55,15,14,32
07/08/2014,30,21,N/A,27,29,24,27,18,29,N/A,34,42,57,20,13,32
08/08/2014,26,19,15,26,29,23,24,17,19,N/A,34,39,53,21,14,28
09/08/2014,24,16,19,23,25,20,20,16,23,N/A,33,40,45,12,11,30
10/08/2014,29,20,24,25,25,24,21,18,26,N/A,31,48,48,13,10,27
11/08/2014,31,18,25,26,26,21,24,17,23,N/A,36,51,50,16,11,29
12/08/2014,31,24,34,27,26,28,26,19,30,N/A,36,51,53,16,13,31
13/08/2014,27,21,30,26,25,23,26,17,24,N/A,40,51,54,15,11,35
14/08/2014,30,24,28,30,24,25,30,18,26,N/A,37,48,55,17,14,38
15/08/2014,33,30,28,29,23,26,46,22,23,28,N/A,37,65,17,N/A,44
16/08/2014,34,29,29,28,25,31,40,21,19,25,N/A,51,65,20,N/A,62
17/08/2014,25,12,N/A,29,26,26,29,16,21,27,N/A,41,51,15,N/A,43
18/08/2014,24,19,N/A,23,21,24,30,19,16,23,N/A,42,52,15,N/A,39
19/08/2014,32,24,N/A,29,28,28,30,17,20,24,N/A,53,54,17,15,38
20/08/2014,30,24,N/A,28,29,25,46,17,26,27,37,54,61,16,17,58
21/08/2014,26,21,N/A,26,26,23,33,13,23,23,29,33,54,15,14,53
22/08/2014,40,36,N/A,42,39,38,49,10,36,32,53,67,75,20,22,76
23/08/2014,41,24,28,50,48,37,42,9,38,N/A,49,73,66,22,19,56
24/08/2014,29,22,28,22,24,22,26,8,18,N/A,30,52,50,15,12,41
25/08/2014,36,25,29,29,33,26,39,12,25,30,39,54,62,18,15,68
26/08/2014,35,30,22,28,26,28,29,18,25,24,39,62,52,19,14,52
27/08/2014,36,30,33,29,38,31,49,21,29,33,51,55,64,19,16,N/A
28/08/2014,25,19,N/A,20,22,17,22,19,18,19,47,56,41,14,14,N/A
29/08/2014,34,26,N/A,30,29,27,27,17,22,26,52,71,46,19,14,54
30/08/2014,29,21,38,26,24,23,26,17,20,22,48,67,41,16,12,38
31/08/2014,24,18,21,21,21,19,15,17,17,17,37,47,32,15,11,37
01/09/2014,25,17,27,22,22,17,15,19,15,18,43,66,34,12,10,33
02/09/2014,28,20,25,24,22,22,20,18,19,19,49,53,41,18,11,29
03/09/2014,30,23,23,24,29,26,30,18,22,24,50,43,49,17,12,46
04/09/2014,35,28,34,35,39,28,28,21,23,32,49,84,48,21,14,37
05/09/2014,34,21,36,31,24,23,26,18,19,20,44,70,40,18,11,27
06/09/2014,29,22,29,24,22,24,21,18,19,14,37,55,34,16,11,31
07/09/2014,26,19,23,23,26,21,24,15,19,20,43,59,38,17,13,37
08/09/2014,28,22,N/A,25,23,21,21,14,16,19,42,67,37,N/A,11,26
09/09/2014,26,14,N/A,23,21,19,18,15,16,15,36,63,35,14,12,29
10/09/2014,29,18,N/A,28,25,18,20,15,18,20,40,66,34,12,11,32
11/09/2014,40,22,N/A,31,29,26,26,17,N/A,21,48,73,41,18,16,31
12/09/2014,37,23,25,30,30,24,31,17,N/A,23,54,62,46,18,12,33
13/09/2014,33,N/A,27,25,27,25,29,16,N/A,21,47,55,37,17,12,30
14/09/2014,29,N/A,N/A,25,31,22,26,15,N/A,22,44,45,38,14,11,27
15/09/2014,34,N/A,N/A,29,29,27,35,17,N/A,24,58,60,54,18,12,34
16/09/2014,30,25,N/A,26,27,23,N/A,16,N/A,19,49,57,47,22,11,32
17/09/2014,23,12,N/A,18,22,17,15,13,N/A,14,42,40,30,12,8,19
18/09/2014,25,17,15,26,23,22,22,14,18,19,32,36,33,10,10,28
19/09/2014,35,27,29,29,30,27,24,16,N/A,31,54,62,55,18,16,40
20/09/2014,37,25,N/A,32,29,23,25,17,N/A,27,50,60,47,22,12,32
21/09/2014,31,17,N/A,27,21,26,22,16,N/A,18,41,53,39,13,12,29
22/09/2014,39,28,N/A,30,30,29,34,17,N/A,32,54,61,55,19,13,48
23/09/2014,38,23,N/A,31,N/A,28,30,17,23,27,51,63,45,19,11,29
24/09/2014,36,N/A,25,27,N/A,29,44,16,28,24,48,59,53,20,12,42
25/09/2014,36,N/A,22,30,N/A,30,40,17,30,29,51,67,54,20,15,53
26/09/2014,33,N/A,21,29,N/A,25,36,17,17,24,55,78,54,16,14,46
27/09/2014,37,21,22,34,N/A,30,33,17,22,27,53,66,46,18,15,42
28/09/2014,N/A,25,19,37,N/A,30,36,18,34,31,60,72,51,16,17,60
29/09/2014,N/A,29,24,29,N/A,29,34,17,28,26,50,56,45,18,13,50
30/09/2014,35,37,34,31,N/A,30,39,19,31,32,64,67,61,16,16,58
01/10/2014,56,52,34,31,34,35,43,21,38,34,85,75,77,28,16,62
02/10/2014,35,33,31,31,32,30,33,17,N/A,41,59,71,55,17,15,46
03/10/2014,47,49,45,41,39,38,50,22,39,43,73,74,72,38,17,65
04/10/2014,54,41,38,43,42,38,53,22,39,40,73,85,67,39,16,58
05/10/2014,42,29,25,25,33,29,42,19,N/A,29,46,N/A,59,25,13,44
06/10/2014,35,29,25,23,27,29,31,17,N/A,27,46,N/A,51,17,16,39
07/10/2014,39,32,28,33,31,36,N/A,18,32,35,45,N/A,51,16,13,43
08/10/2014,23,25,16,23,30,27,N/A,16,N/A,22,39,N/A,41,14,12,38
09/10/2014,35,41,36,29,31,28,36,19,N/A,30,56,72,70,19,13,50
10/10/2014,N/A,27,N/A,23,32,25,20,17,24,29,57,80,49,17,14,37
11/10/2014,N/A,22,N/A,19,20,24,14,15,17,17,46,52,39,14,12,43
12/10/2014,N/A,51,N/A,57,60,53,60,24,52,62,68,78,87,28,20,73
13/10/2014,N/A,65,N/A,68,73,69,70,28,N/A,72,86,N/A,92,30,25,86
14/10/2014,66,56,39,63,N/A,55,64,26,N/A,66,71,63,78,30,25,63
15/10/2014,84,84,68,80,78,70,79,31,76,80,86,84,93,34,30,88
16/10/2014,101,86,76,90,91,85,92,34,85,94,113,115,113,43,33,103
17/10/2014,82,76,67,69,74,70,73,30,69,75,97,93,111,N/A,27,85
18/10/2014,67,53,38,47,54,45,49,26,50,N/A,72,61,71,N/A,21,55
19/10/2014,45,34,33,29,31,34,40,23,33,N/A,51,38,54,N/A,15,46
20/10/2014,31,21,N/A,22,23,N/A,29,20,N/A,N/A,42,N/A,42,N/A,12,49
21/10/2014,45,36,32,31,40,35,33,21,29,40,60,N/A,72,20,19,81
22/10/2014,48,47,42,41,45,35,42,21,35,55,70,N/A,72,24,19,78
23/10/2014,34,37,25,28,33,31,29,18,27,32,56,N/A,57,19,15,61
24/10/2014,50,40,24,34,35,31,34,22,35,33,74,N/A,66,27,16,93
25/10/2014,37,36,32,29,30,29,32,19,31,31,N/A,77,58,21,15,68
26/10/2014,30,22,23,21,25,24,26,18,21,20,N/A,39,52,N/A,12,69
27/10/2014,53,39,38,32,35,32,44,21,38,40,N/A,86,81,N/A,19,68
28/10/2014,28,34,26,22,31,23,27,18,23,26,46,63,62,N/A,20,59
29/10/2014,37,33,31,28,30,30,33,20,25,29,42,57,66,N/A,17,44
30/10/2014,66,58,56,51,50,43,46,24,50,51,90,114,98,34,22,70
31/10/2014,60,55,51,47,62,50,47,23,N/A,69,76,97,N/A,29,24,72
01/11/2014,36,33,34,30,33,31,34,18,N/A,30,46,62,N/A,18,20,59
02/11/2014,39,31,21,29,28,32,35,18,34,27,53,70,N/A,18,15,60
03/11/2014,43,33,23,31,30,29,30,19,28,26,43,51,N/A,17,18,54
04/11/2014,39,35,N/A,30,28,N/A,36,20,29,30,49,56,N/A,20,20,57
05/11/2014,36,36,32,38,35,N/A,35,18,36,41,55,76,N/A,19,19,76
06/11/2014,50,43,47,51,52,51,53,21,48,56,71,96,85,24,20,76
07/11/2014,46,41,45,40,42,44,44,21,38,41,58,75,84,N/A,16,65
08/11/2014,42,39,48,34,39,35,36,20,34,43,55,66,75,N/A,21,58
09/11/2014,39,31,49,31,36,31,34,21,28,35,42,45,57,N/A,15,48
10/11/2014,52,40,54,38,44,36,37,20,36,44,55,64,68,N/A,18,49
11/11/2014,70,61,82,51,52,44,55,26,44,52,75,91,88,N/A,29,61
