Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2021,44,35,41,37,47,34,42,52,47,49,50,46
02/01/2021,49,42,48,40,50,38,49,59,54,54,58,52
03/01/2021,67,57,63,55,66,52,62,70,67,68,73,74
04/01/2021,58,51,63,50,66,48,63,77,68,64,81,82
05/01/2021,74,54,58,49,85,50,53,123,77,84,65,78
06/01/2021,83,54,58,52,71,46,55,142,62,86,63,85
07/01/2021,57,46,52,46,70,38,47,111,56,58,55,75
08/01/2021,50,41,51,38,63,35,43,52,48,44,46,59
09/01/2021,44,40,41,46,53,29,40,54,43,44,55,51
10/01/2021,49,46,48,51,56,38,49,65,50,53,55,60
11/01/2021,61,48,52,56,65,42,49,77,56,56,58,63
12/01/2021,66,61,63,50,69,43,61,91,70,71,88,68
13/01/2021,82,85,85,70,93,72,82,122,94,91,103,103
14/01/2021,105,114,105,93,110,90,109,162,119,118,130,131
15/01/2021,117,121,119,106,125,93,116,185,125,124,129,150
16/01/2021,92,88,105,88,115,72,102,133,107,89,110,145
17/01/2021,73,66,71,70,78,54,70,126,76,71,74,83
18/01/2021,97,53,58,60,68,45,57,78,60,60,62,65
19/01/2021,103,70,77,78,82,64,73,111,82,84,90,95
20/01/2021,122,92,94,98,102,80,92,164,99,107,111,124
21/01/2021,134,106,101,108,112,83,104,174,114,116,117,134
22/01/2021,148,131,122,129,148,101,118,216,144,153,136,150
23/01/2021,109,91,108,100,108,78,98,131,105,101,114,133
24/01/2021,61,44,53,51,60,35,53,78,55,49,53,65
25/01/2021,53,32,51,n/a,49,33,45,79,48,41,49,64
26/01/2021,65,37,55,57,55,39,51,83,60,51,55,69
27/01/2021,64,48,58,61,65,43,57,92,66,59,57,80
28/01/2021,71,51,59,61,75,45,57,92,68,62,63,81
29/01/2021,87,66,72,72,94,55,71,84,74,73,75,83
30/01/2021,79,72,74,75,94,54,72,98,73,72,77,85
31/01/2021,97,69,77,78,90,58,76,97,73,72,83,87
01/02/2021,114,98,97,93,117,79,99,148,101,108,114,127
02/02/2021,103,77,89,92,112,73,89,141,104,98,98,112
03/02/2021,111,89,93,91,125,67,92,128,104,94,90,91
04/02/2021,137,78,85,84,104,62,81,95,88,80,86,91
05/02/2021,106,80,82,90,101,67,84,114,86,88,90,104
06/02/2021,112,74,74,76,88,60,74,141,80,87,87,93
07/02/2021,91,80,83,88,93,72,86,111,97,89,89,116
08/02/2021,64,44,52,51,60,43,53,98,61,52,52,77
09/02/2021,60,43,n/a,60,58,51,61,134,71,66,69,90
10/02/2021,64,43,n/a,53,57,43,57,110,71,66,73,91
11/02/2021,55,51,55,52,67,38,55,115,60,56,66,78
12/02/2021,67,60,58,56,74,45,59,n/a,70,66,63,83
13/02/2021,53,46,64,57,63,47,61,97,65,53,65,84
14/02/2021,42,37,46,47,51,35,48,n/a,51,46,46,68
15/02/2021,45,35,47,47,51,34,45,n/a,51,44,45,57
16/02/2021,58,38,48,50,56,36,49,n/a,55,46,48,62
17/02/2021,52,49,58,58,61,44,58,121,66,55,58,79
18/02/2021,78,71,69,70,82,59,70,104,75,73,79,82
19/02/2021,63,64,59,64,71,50,61,87,63,64,70,70
20/02/2021,65,65,63,67,76,51,64,82,67,69,77,78
21/02/2021,91,80,82,87,97,68,81,n/a,90,90,87,108
22/02/2021,73,65,77,74,83,59,76,133,81,72,77,96
23/02/2021,65,58,65,66,72,52,68,100,76,65,n/a,86
24/02/2021,61,53,61,63,73,51,61,111,70,63,n/a,89
25/02/2021,68,66,71,69,79,56,71,113,82,74,71,94
26/02/2021,69,61,67,70,71,58,72,121,79,75,73,95
27/02/2021,69,63,68,70,77,56,68,118,79,78,69,91
28/02/2021,62,54,65,63,67,52,63,120,65,64,58,89
01/03/2021,44,32,40,43,53,36,44,84,49,43,39,57
02/03/2021,28,21,26,26,41,23,29,69,36,29,26,47
03/03/2021,28,19,26,28,37,23,26,58,33,26,22,46
04/03/2021,34,30,38,38,43,30,39,75,48,36,37,59
05/03/2021,38,28,36,38,43,28,38,72,46,37,35,56
06/03/2021,42,32,40,41,49,31,40,69,46,40,37,58
07/03/2021,37,31,39,40,42,28,39,68,42,39,36,63
08/03/2021,43,37,44,45,49,35,44,65,53,43,42,75
09/03/2021,40,32,46,42,48,35,43,69,50,43,41,77
10/03/2021,45,38,58,47,54,40,55,81,60,47,53,91
11/03/2021,48,45,59,58,60,43,58,76,64,52,55,104
12/03/2021,48,40,57,54,57,40,56,87,61,52,54,79
13/03/2021,47,38,54,51,51,39,53,91,54,45,50,71
14/03/2021,44,36,46,47,49,38,45,80,50,45,44,62
15/03/2021,43,36,46,47,50,33,44,78,52,44,42,61
16/03/2021,47,40,50,53,56,42,49,75,56,48,47,69
17/03/2021,52,44,54,54,61,44,53,82,61,52,48,75
18/03/2021,60,52,63,66,66,52,62,86,71,62,60,83
19/03/2021,59,45,58,61,62,46,57,78,63,56,53,76
20/03/2021,55,46,56,58,59,46,54,78,61,54,51,74
21/03/2021,43,34,44,44,46,34,43,70,47,42,40,62
22/03/2021,74,59,62,68,72,61,66,85,77,80,73,89
23/03/2021,68,64,61,67,74,50,63,95,75,73,72,82
24/03/2021,72,67,69,75,76,59,71,102,84,79,76,98
25/03/2021,57,54,66,65,65,47,64,92,69,61,63,85
26/03/2021,36,29,36,39,43,29,39,71,43,37,35,52
27/03/2021,36,27,35,36,40,25,34,77,38,33,30,59
28/03/2021,34,27,35,39,38,29,35,65,38,34,31,55
29/03/2021,35,25,34,42,41,26,35,69,39,34,32,52
30/03/2021,38,28,38,45,47,34,39,67,44,38,35,58
31/03/2021,43,33,40,49,48,39,42,79,52,44,46,60
01/04/2021,37,25,32,40,45,32,32,77,42,35,31,50
02/04/2021,28,14,22,24,30,18,20,62,28,23,17,34
03/04/2021,26,20,28,32,34,24,29,54,36,28,26,48
04/04/2021,33,23,29,31,34,24,30,49,37,32,49,45
05/04/2021,53,48,53,50,48,38,51,76,66,55,71,88
06/04/2021,48,44,55,45,45,34,50,76,52,47,72,86
07/04/2021,49,44,49,44,47,38,46,65,62,49,69,71
08/04/2021,50,51,54,45,48,34,48,78,58,50,53,75
09/04/2021,34,33,47,37,45,29,41,70,46,37,43,57
10/04/2021,42,42,56,50,54,41,50,75,54,43,60,71
11/04/2021,43,36,50,40,42,34,39,69,50,42,53,66
12/04/2021,46,34,54,41,46,36,42,67,50,46,46,81
13/04/2021,35,26,41,32,35,30,33,49,37,34,32,52
14/04/2021,28,21,33,27,26,24,27,46,30,28,29,49
15/04/2021,35,25,49,34,32,33,37,59,36,38,39,50
16/04/2021,31,22,33,29,31,25,27,57,31,30,25,46
17/04/2021,28,27,41,26,27,27,31,57,31,30,34,44
18/04/2021,29,20,37,27,28,25,30,50,31,30,38,45
19/04/2021,22,16,26,23,25,18,22,49,27,24,25,37
20/04/2021,30,18,34,26,35,22,28,52,37,31,32,40
21/04/2021,28,22,36,30,32,23,29,62,35,32,30,48
22/04/2021,42,31,43,37,35,32,38,88,45,47,42,57
23/04/2021,38,35,47,40,42,31,38,68,45,40,42,52
24/04/2021,39,38,52,42,45,32,41,67,48,42,42,57
25/04/2021,40,32,n/a,40,41,33,37,66,43,41,39,54
26/04/2021,41,33,n/a,40,42,34,36,67,49,43,42,57
27/04/2021,33,28,n/a,32,35,24,30,54,39,35,43,60
28/04/2021,44,41,n/a,41,47,33,45,67,55,46,59,75
29/04/2021,31,28,43,28,33,21,30,60,35,33,46,52
30/04/2021,34,30,46,35,37,23,38,58,41,34,48,68
01/05/2021,30,21,46,27,30,26,26,54,31,28,27,47
02/05/2021,36,34,41,38,41,32,40,63,43,35,47,59
03/05/2021,45,36,29,40,47,33,40,65,53,47,53,66
04/05/2021,40,40,41,44,46,34,45,71,48,42,64,74
05/05/2021,42,44,48,45,45,36,47,67,53,50,59,75
06/05/2021,37,37,34,34,37,27,34,54,42,36,47,61
07/05/2021,32,26,26,23,27,24,26,55,33,32,48,45
08/05/2021,43,44,38,36,42,30,39,75,50,47,60,65
09/05/2021,35,31,n/a,32,35,26,33,58,39,34,49,52
10/05/2021,31,26,23,29,31,29,28,66,36,32,37,50
11/05/2021,31,24,30,26,32,26,29,58,35,30,37,47
12/05/2021,29,18,26,24,32,22,23,57,32,25,27,44
13/05/2021,24,15,22,21,31,19,21,51,28,22,23,39
14/05/2021,24,14,21,22,29,20,22,47,27,24,22,45
15/05/2021,26,16,24,23,34,23,23,45,30,26,26,52
16/05/2021,24,12,24,22,25,18,23,45,22,21,21,41
17/05/2021,27,19,24,21,30,20,24,46,31,25,26,46
18/05/2021,20,13,26,19,30,18,22,43,27,21,20,40
19/05/2021,28,24,25,23,29,22,23,44,32,30,34,57
20/05/2021,24,19,23,23,34,20,24,47,36,29,30,60
21/05/2021,21,19,20,17,27,21,20,44,28,24,36,47
22/05/2021,23,18,21,18,24,21,21,45,29,27,25,44
23/05/2021,23,18,18,21,24,20,19,41,25,25,23,47
24/05/2021,26,22,24,22,27,21,25,44,32,28,30,53
25/05/2021,30,22,26,26,28,20,24,46,34,31,30,55
26/05/2021,30,25,25,26,n/a,21,25,46,34,31,32,54
27/05/2021,32,25,29,25,33,26,27,46,38,35,32,58
28/05/2021,24,20,25,23,34,18,23,44,30,26,25,65
29/05/2021,22,16,22,18,26,18,21,40,26,21,21,54
30/05/2021,16,12,22,14,22,16,19,42,20,17,15,44
31/05/2021,24,19,25,20,26,22,21,43,28,25,27,48
01/06/2021,26,22,26,23,29,20,24,46,30,25,25,51
02/06/2021,31,21,29,26,29,23,25,45,32,28,31,51
03/06/2021,28,19,27,19,29,17,22,43,26,25,26,53
04/06/2021,28,23,30,25,30,22,26,45,32,28,33,53
05/06/2021,29,22,28,25,29,20,25,44,33,31,33,51
06/06/2021,26,22,23,19,25,19,21,41,27,27,24,43
07/06/2021,22,18,22,17,22,16,19,39,27,24,24,41
08/06/2021,24,18,23,17,25,21,23,39,28,27,23,40
09/06/2021,22,14,20,18,26,17,19,39,27,23,20,43
10/06/2021,24,18,22,19,22,21,19,39,30,27,26,43
11/06/2021,31,28,24,20,26,22,23,48,30,33,31,54
12/06/2021,35,33,34,29,34,26,34,51,37,39,39,65
13/06/2021,36,31,35,33,36,25,36,61,40,42,36,61
14/06/2021,29,24,32,25,30,19,31,55,36,29,32,52
15/06/2021,24,22,23,19,27,17,26,49,29,26,26,44
16/06/2021,21,17,21,18,27,17,23,43,26,23,19,44
17/06/2021,25,26,25,19,25,21,27,44,33,28,27,49
18/06/2021,27,21,26,22,27,19,28,46,32,29,29,63
19/06/2021,28,23,26,21,25,21,26,45,30,31,29,45
20/06/2021,29,26,31,26,28,23,31,41,33,32,37,50
21/06/2021,44,41,52,46,44,39,48,59,51,47,49,61
22/06/2021,58,55,67,62,58,45,61,70,65,61,63,76
23/06/2021,39,36,40,36,37,31,39,60,45,39,41,59
24/06/2021,26,21,25,21,25,23,28,43,32,29,30,44
25/06/2021,32,33,32,31,36,28,37,46,40,36,35,56
26/06/2021,29,26,25,25,34,22,31,41,36,30,27,49
27/06/2021,20,18,21,21,25,20,26,35,25,23,19,41
28/06/2021,27,21,23,23,28,21,28,39,34,30,28,49
30/06/2021,31,30,28,27,35,26,34,51,40,38,34,64
30/06/2021,25,21,26,23,27,21,30,47,31,28,32,52
01/07/2021,22,18,17,19,23,22,24,44,28,25,22,38
02/07/2021,30,22,25,26,26,22,28,41,33,31,26,51
03/07/2021,22,17,n/a,18,19,21,23,42,25,25,26,44
04/07/2021,18,16,n/a,16,19,18,21,36,24,23,27,41
05/07/2021,20,16,19,17,20,20,24,41,27,25,27,42
06/07/2021,24,19,18,19,21,20,24,44,27,27,24,44
07/07/2021,21,22,21,17,23,19,25,n/a,27,27,21,46
08/07/2021,21,21,24,15,20,18,22,42,25,23,20,42
09/07/2021,21,18,26,20,25,18,24,41,28,23,21,50
10/07/2021,18,15,20,20,23,19,25,34,25,21,19,47
11/07/2021,15,11,12,14,18,17,19,n/a,19,19,12,40
12/07/2021,17,15,17,19,22,15,22,n/a,22,19,16,40
13/07/2021,27,23,23,22,27,24,29,n/a,31,30,29,53
14/07/2021,34,28,35,38,39,30,n/a,n/a,45,36,46,69
15/07/2021,28,20,23,24,26,21,28,n/a,30,32,26,44
16/07/2021,26,18,24,23,26,23,27,40,29,29,25,43
17/07/2021,29,21,21,20,25,21,27,41,26,31,22,51
18/07/2021,19,18,17,18,20,18,22,38,22,22,20,42
19/07/2021,16,13,14,14,18,15,19,35,21,19,14,32
20/07/2021,17,14,15,14,19,15,21,36,20,19,13,30
21/07/2021,18,15,16,15,21,16,23,37,20,20,14,35
22/07/2021,31,30,30,28,34,24,35,42,35,33,27,53
23/07/2021,23,23,23,23,28,21,30,43,31,29,24,47
24/07/2021,30,29,32,29,34,25,36,43,35,36,34,51
25/07/2021,21,17,20,20,22,20,25,37,24,24,17,43
26/07/2021,24,20,22,25,26,19,27,45,29,29,24,48
27/07/2021,19,15,16,14,22,19,22,40,25,20,18,38
28/07/2021,19,14,17,16,21,17,24,36,22,21,15,40
29/07/2021,23,21,21,20,26,20,28,42,27,26,22,44
30/07/2021,29,24,22,24,28,23,29,43,33,32,24,45
31/07/2021,31,30,27,28,30,26,31,51,37,38,29,54
01/08/2021,26,22,23,21,25,20,26,40,27,29,24,44
02/08/2021,28,24,21,25,28,24,29,39,31,30,24,45
03/08/2021,22,19,18,19,23,23,25,41,28,25,21,n/a
04/08/2021,28,23,22,22,27,22,28,41,30,27,22,41
05/08/2021,28,24,24,27,31,24,31,40,33,28,24,44
06/08/2021,24,19,23,22,27,22,28,42,30,25,25,39
07/08/2021,26,18,22,21,25,21,27,36,28,26,22,40
08/08/2021,31,28,24,25,29,26,29,41,31,31,28,45
09/08/2021,29,26,26,23,30,23,30,42,34,30,30,44
10/08/2021,n/a,24,23,24,28,24,29,40,31,29,26,44
11/08/2021,n/a,13,18,17,24,18,24,37,25,22,19,38
12/08/2021,n/a,12,17,15,21,16,22,34,20,19,16,42
13/08/2021,20,12,16,14,22,17,21,37,23,19,16,37
14/08/2021,25,17,23,20,26,19,25,39,26,29,21,43
15/08/2021,20,13,16,14,19,16,21,35,18,19,14,35
16/08/2021,19,10,14,15,21,17,20,34,22,17,15,33
17/08/2021,29,27,27,25,30,24,31,42,34,32,31,50
18/08/2021,26,21,23,20,28,24,30,40,33,29,29,45
19/08/2021,28,23,24,25,31,22,31,40,33,29,29,46
20/08/2021,30,27,29,29,38,28,34,44,40,35,35,56
21/08/2021,23,20,27,24,29,22,30,39,29,26,26,52
22/08/2021,24,19,23,19,27,25,26,37,28,25,23,43
23/08/2021,24,19,19,15,23,19,24,36,26,22,20,37
