Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T
01/01/2013,N/A,45,44,54,29,51,N/A,27,45,24,61,38,54,20,24,54
02/01/2013,N/A,63,58,83,39,68,N/A,32,61,37,90,67,79,29,33,78
03/01/2013,N/A,75,58,80,37,75,N/A,34,68,37,89,63,75,26,32,76
04/01/2013,N/A,69,58,72,36,70,N/A,34,62,37,N/A,60,71,29,33,N/A
05/01/2013,N/A,76,N/A,82,40,81,N/A,37,N/A,38,N/A,80,80,35,34,N/A
06/01/2013,N/A,68,N/A,79,41,77,N/A,34,67,39,N/A,65,74,31,33,78
07/01/2013,N/A,66,N/A,79,41,78,N/A,35,67,37,N/A,77,82,27,33,99
08/01/2013,N/A,102,87,102,54,89,N/A,44,85,49,N/A,93,110,31,41,124
09/01/2013,N/A,103,110,111,65,113,N/A,47,94,66,N/A,119,118,20,49,129
10/01/2013,N/A,74,63,116,55,83,N/A,39,98,58,97,92,94,35,42,99
11/01/2013,N/A,65,56,60,37,67,N/A,N/A,81,39,91,68,76,26,32,79
12/01/2013,N/A,37,34,67,29,53,N/A,N/A,50,28,116,99,54,18,25,46
13/01/2013,N/A,33,41,56,27,53,N/A,N/A,55,23,N/A,98,52,16,23,59
14/01/2013,N/A,41,39,40,26,46,N/A,N/A,39,21,N/A,80,54,20,21,52
15/01/2013,N/A,40,43,71,31,57,N/A,21,54,31,N/A,105,65,20,30,71
16/01/2013,N/A,61,65,83,39,69,N/A,32,61,38,85,112,77,29,34,80
17/01/2013,N/A,75,72,77,39,81,N/A,31,68,36,89,112,78,27,32,83
18/01/2013,N/A,53,57,63,31,62,N/A,25,56,28,71,90,60,21,28,59
19/01/2013,83,58,65,76,40,71,85,32,74,35,90,124,72,30,35,85
20/01/2013,99,80,82,89,51,94,109,39,86,47,114,190,93,36,40,104
21/01/2013,127,111,117,141,64,120,159,51,125,61,157,269,136,50,50,143
22/01/2013,158,129,135,154,70,141,189,57,129,71,167,279,156,61,54,156
