Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2020,n/a,37,38,45,31,30,42,39,38,40,41,49
02/01/2020,n/a,41,42,48,36,42,52,46,43,46,53,59
03/01/2020,59,51,51,57,43,45,61,60,50,55,57,73
04/01/2020,62,n/a,59,65,60,48,68,70,61,62,63,80
05/01/2020,76,70,63,67,68,55,72,84,68,70,70,83
06/01/2020,94,78,69,75,83,58,80,107,85,85,80,93
07/01/2020,94,80,76,97,97,66,88,106,84,80,86,102
08/01/2020,87,89,86,89,n/a,66,92,95,87,80,93,107
09/01/2020,99,85,78,90,94,72,93,139,90,95,93,116
10/01/2020,145,130,103,139,124,101,114,171,123,140,121,171
11/01/2020,79,65,67,96,84,61,74,90,80,75,75,108
12/01/2020,64,53,53,81,68,51,64,64,64,62,62,94
13/01/2020,65,58,51,72,71,49,63,77,68,61,63,84
14/01/2020,65,58,56,74,61,48,64,87,63,54,65,82
15/01/2020,64,59,59,79,68,52,67,95,69,61,69,92
16/01/2020,68,62,62,86,74,54,70,89,69,61,76,100
17/01/2020,91,71,72,94,87,64,83,108,82,71,82,102
18/01/2020,121,81,79,114,101,71,84,104,90,79,87,126
19/01/2020,120,81,77,106,93,71,87,93,85,79,84,122
20/01/2020,125,93,84,112,103,77,93,126,97,88,95,128
21/01/2020,97,73,77,96,94,65,84,107,81,67,85,123
22/01/2020,87,58,66,85,72,52,69,109,77,64,74,98
23/01/2020,75,54,53,74,72,47,61,99,65,54,62,92
24/01/2020,52,36,37,58,56,35,45,69,49,39,42,75
25/01/2020,46,33,33,50,48,29,40,53,42,32,37,66
26/01/2020,39,24,24,42,39,26,36,49,38,29,29,52
27/01/2020,47,38,30,43,48,32,42,65,46,39,39,50
28/01/2020,70,44,38,49,50,41,51,84,56,49,49,74
29/01/2020,64,43,45,56,54,44,53,86,59,51,54,77
30/01/2020,79,59,56,58,76,47,63,81,67,57,62,88
31/01/2020,93,73,69,65,93,64,77,82,79,71,75,96
01/02/2020,125,92,87,89,106,77,95,115,101,93,95,126
02/02/2020,124,90,94,96,100,77,97,108,97,87,96,117
03/02/2020,112,78,80,101,94,69,87,106,89,72,86,116
04/02/2020,93,62,67,81,78,58,76,97,74,62,69,94
05/02/2020,68,48,52,47,62,45,60,77,58,49,56,78
06/02/2020,57,41,41,38,54,39,50,69,51,41,46,68
07/02/2020,65,48,55,50,56,47,66,81,62,49,64,85
08/02/2020,75,57,60,55,72,52,67,78,n/a,57,67,91
09/02/2020,96,67,66,58,79,56,72,70,75,68,78,87
10/02/2020,96,79,79,65,80,63,81,91,81,77,84,98
11/02/2020,100,79,75,69,95,64,82,97,87,79,82,111
12/02/2020,78,53,53,52,75,52,62,85,66,55,60,86
13/02/2020,31,24,24,26,41,26,36,50,37,26,30,55
14/02/2020,29,23,22,24,38,25,32,48,35,25,27,51
15/02/2020,43,31,29,28,41,29,35,55,50,37,38,56
16/02/2020,36,21,21,21,32,23,27,44,39,26,24,47
17/02/2020,41,28,31,29,42,29,39,48,47,33,36,55
18/02/2020,72,64,56,49,64,56,65,69,84,70,61,79
19/02/2020,105,82,77,67,96,70,85,98,113,81,88,104
20/02/2020,116,84,83,70,106,78,84,137,123,96,89,112
21/02/2020,96,84,73,64,86,64,80,95,107,77,85,100
22/02/2020,99,87,78,71,98,75,85,99,99,85,93,108
23/02/2020,105,83,81,74,94,72,85,96,95,86,94,108
24/02/2020,123,96,90,81,113,80,94,131,108,97,98,118
25/02/2020,123,94,104,80,105,79,98,120,115,88,103,149
26/02/2020,91,65,70,61,83,61,75,107,84,63,77,108
27/02/2020,98,65,72,65,74,64,78,92,95,76,89,118
28/02/2020,60,42,42,41,57,41,47,65,60,41,48,77
29/02/2020,55,38,40,37,50,37,47,66,53,40,48,73
01/03/2020,57,39,40,39,51,39,48,64,52,42,46,79
02/03/2020,57,39,39,39,53,39,47,70,54,42,46,69
03/03/2020,43,30,31,32,49,33,37,60,46,32,35,60
04/03/2020,32,25,23,25,43,24,30,54,37,24,26,49
05/03/2020,38,26,28,26,50,29,34,52,41,27,32,54
06/03/2020,37,27,26,28,46,27,34,48,40,27,28,50
07/03/2020,36,23,27,27,47,31,38,48,42,26,32,58
08/03/2020,42,29,33,35,55,34,40,47,48,34,38,65
09/03/2020,57,44,47,50,75,53,57,68,75,55,59,75
10/03/2020,56,34,40,43,78,46,47,72,64,44,47,73
11/03/2020,n/a,40,48,48,80,49,54,73,78,51,53,76
12/03/2020,48,30,36,39,64,40,44,61,57,38,41,73
13/03/2020,42,28,30,32,56,33,38,53,48,32,36,61
14/03/2020,43,27,26,29,52,29,36,47,44,29,33,60
15/03/2020,46,35,33,29,47,31,38,46,47,37,42,68
16/03/2020,57,51,49,43,64,48,56,83,77,52,64,97
17/03/2020,44,32,32,34,44,31,38,69,50,36,37,65
18/03/2020,45,34,33,36,46,37,40,60,50,35,38,66
19/03/2020,45,35,34,36,41,34,40,54,49,36,39,72
20/03/2020,40,31,30,33,38,32,38,55,49,32,35,63
21/03/2020,40,30,30,31,35,31,38,58,47,34,36,58
22/03/2020,36,25,23,28,29,28,33,45,37,29,29,47
23/03/2020,35,27,24,27,33,26,34,49,42,27,32,49
24/03/2020,31,23,23,27,32,29,30,49,40,25,29,46
25/03/2020,32,25,24,29,31,31,32,53,40,26,30,44
26/03/2020,24,22,21,26,n/a,22,29,47,36,23,28,52
27/03/2020,23,21,22,25,n/a,28,30,47,39,24,28,51
28/03/2020,27,29,31,33,n/a,35,38,54,46,33,38,65
29/03/2020,32,26,26,28,35,31,35,38,40,30,32,55
30/03/2020,28,29,30,31,39,34,37,55,45,33,33,53
31/03/2020,33,37,36,38,56,40,42,59,52,39,39,58
01/04/2020,26,24,27,30,43,30,35,47,45,27,33,47
02/04/2020,20,23,24,25,41,30,32,47,39,26,30,46
03/04/2020,20,20,24,21,n/a,24,28,47,35,23,30,42
04/04/2020,20,23,24,24,n/a,29,30,53,40,26,31,45
05/04/2020,23,25,27,24,20,27,34,50,42,27,35,50
06/04/2020,19,27,25,26,23,26,33,56,39,29,33,50
07/04/2020,28,23,23,28,35,32,32,64,43,30,35,57
08/04/2020,31,21,22,23,38,23,30,51,n/a,26,30,53
09/04/2020,30,26,24,26,39,26,33,49,37,27,32,56
10/04/2020,20,25,27,27,38,29,32,50,39,26,32,55
11/04/2020,22,30,30,26,36,31,39,44,40,25,40,68
12/04/2020,28,24,22,23,33,27,30,34,33,27,31,66
13/04/2020,42,35,32,32,45,38,37,41,43,40,41,n/a
14/04/2020,49,48,45,40,57,44,50,51,61,48,70,n/a
15/04/2020,47,40,36,36,51,38,43,53,57,45,55,91
16/04/2020,26,21,22,23,31,29,28,39,37,24,30,58
17/04/2020,25,21,17,20,28,21,26,38,34,22,26,48
18/04/2020,21,19,17,19,29,21,25,28,38,18,29,54
19/04/2020,23,18,15,17,24,25,24,29,26,19,22,49
20/04/2020,25,19,18,20,29,26,26,42,33,21,26,55
21/04/2020,25,18,16,19,31,21,25,40,34,20,24,53
22/04/2020,31,25,23,26,39,30,32,42,41,26,33,64
23/04/2020,33,30,27,27,41,33,34,33,42,30,36,61
24/04/2020,32,32,30,28,45,34,36,40,44,29,39,62
25/04/2020,38,34,33,28,37,34,39,46,47,38,54,60
26/04/2020,48,44,42,37,49,41,47,60,55,48,61,79
27/04/2020,55,57,49,44,57,49,54,81,63,55,64,91
28/04/2020,47,46,40,36,46,45,47,63,59,49,54,74
29/04/2020,49,45,41,41,60,49,50,57,62,47,58,93
30/04/2020,37,36,36,33,44,38,43,50,50,35,54,77
01/05/2020,31,26,25,28,31,27,30,42,35,29,32,58
02/05/2020,28,21,20,23,32,24,29,46,34,25,29,47
03/05/2020,26,20,19,23,30,25,28,39,31,24,26,44
04/05/2020,31,26,23,25,31,29,32,52,36,28,31,54
05/05/2020,35,28,25,27,38,30,35,50,47,32,35,53
06/05/2020,30,23,21,26,27,29,29,45,35,27,28,46
07/05/2020,25,20,18,22,31,27,26,n/a,33,21,n/a,43
08/05/2020,26,17,16,20,31,24,23,n/a,33,18,n/a,46
09/05/2020,21,13,15,14,25,18,18,n/a,27,14,16,36
10/05/2020,21,12,13,13,18,22,17,37,21,12,16,29
11/05/2020,27,20,20,18,28,24,25,50,31,22,29,45
12/05/2020,39,31,26,26,45,34,34,67,47,38,39,70
13/05/2020,24,20,20,20,29,23,28,57,32,20,26,45
14/05/2020,25,19,28,19,28,24,28,54,31,20,30,43
15/05/2020,22,16,22,17,24,25,24,49,30,18,28,44
16/05/2020,25,18,19,20,28,25,25,50,31,20,24,53
17/05/2020,24,17,18,17,26,25,23,48,27,20,25,55
18/05/2020,25,20,18,22,30,23,23,49,35,25,24,53
19/05/2020,22,21,17,18,24,19,21,60,32,19,22,52
20/05/2020,29,20,19,21,26,25,25,52,34,24,25,54
21/05/2020,31,23,23,23,30,25,29,55,39,26,31,58
22/05/2020,44,39,35,35,42,34,43,75,51,40,44,73
23/05/2020,55,44,43,42,53,41,48,73,56,46,49,76
24/05/2020,48,38,41,41,51,42,46,65,49,40,47,74
25/05/2020,43,38,35,35,46,32,37,72,53,37,44,69
26/05/2020,43,30,32,32,39,34,40,73,53,39,51,70
27/05/2020,26,17,23,21,23,23,28,49,31,21,32,48
28/05/2020,25,18,17,15,19,19,20,47,32,19,26,47
29/05/2020,28,26,24,24,31,22,29,n/a,36,22,33,56
30/05/2020,21,15,17,16,24,17,19,43,26,19,21,48
31/05/2020,23,19,16,16,20,17,20,45,28,19,23,48
01/06/2020,28,18,19,17,32,19,25,53,35,22,23,51
02/06/2020,25,13,15,15,24,17,19,44,31,17,21,44
