Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T,51T
25/09/2012,N/A,N/A,38,41,21,34,N/A,20,35,18,N/A,75,62,21,21,89,N/A
26/09/2012,N/A,58,59,65,33,54,N/A,29,61,28,N/A,99,75,27,35,97,N/A
27/09/2012,N/A,35,27,30,21,N/A,N/A,19,30,20,N/A,66,36,17,21,60,128
28/09/2012,N/A,26,29,25,18,20,N/A,15,20,12,69,63,26,N/A,15,56,N/A
29/09/2012,N/A,40,36,40,21,35,N/A,21,37,19,76,75,41,N/A,25,68,N/A
30/09/2012,N/A,41,40,45,25,44,N/A,22,38,22,78,75,42,N/A,24,59,150
01/10/2012,N/A,52,N/A,56,33,50,N/A,25,48,28,99,99,58,N/A,28,71,185
02/10/2012,N/A,49,N/A,53,30,48,N/A,25,42,30,84,105,55,22,28,66,N/A
03/10/2012,N/A,32,38,28,19,25,N/A,16,22,17,76,72,37,16,17,37,132
04/10/2012,N/A,30,34,26,17,20,N/A,16,22,12,64,65,32,15,17,38,114
05/10/2012,N/A,29,36,25,17,21,N/A,15,21,15,69,66,27,16,16,40,113
06/10/2012,N/A,32,35,31,18,25,N/A,16,24,18,67,63,33,16,19,53,124
07/10/2012,N/A,35,39,46,23,40,N/A,19,37,21,63,72,42,17,27,50,130
08/10/2012,N/A,23,20,21,16,24,N/A,15,20,14,39,52,22,N/A,15,39,109
09/10/2012,N/A,38,26,34,18,31,N/A,19,26,13,53,55,33,N/A,16,61,N/A
10/10/2012,N/A,36,38,37,20,32,N/A,19,31,18,73,75,42,16,23,63,N/A
11/10/2012,N/A,N/A,66,76,39,62,N/A,33,59,37,117,138,86,32,34,92,N/A
12/10/2012,N/A,N/A,57,58,29,55,N/A,38,49,30,N/A,106,71,31,27,71,N/A
13/10/2012,N/A,95,92,94,48,80,N/A,50,86,50,N/A,157,103,50,41,99,N/A
14/10/2012,N/A,51,49,66,32,58,N/A,26,54,28,N/A,119,61,29,30,64,N/A
15/10/2012,N/A,53,51,49,34,48,N/A,24,41,27,N/A,96,60,24,27,71,N/A
16/10/2012,N/A,71,67,64,38,56,N/A,31,N/A,37,N/A,110,91,36,32,92,N/A
17/10/2012,N/A,78,59,72,38,73,N/A,36,N/A,34,N/A,133,88,34,33,93,N/A
18/10/2012,N/A,48,40,41,26,46,N/A,23,38,21,56,64,40,15,21,54,N/A
19/10/2012,N/A,59,50,56,28,55,N/A,35,49,25,72,79,53,28,25,71,N/A
20/10/2012,N/A,75,50,59,29,56,N/A,42,55,27,87,84,61,35,28,74,N/A
21/10/2012,N/A,56,39,50,27,49,N/A,33,48,23,63,72,52,25,25,65,N/A
22/10/2012,N/A,42,34,47,27,42,N/A,28,40,22,65,71,47,20,28,56,137
23/10/2012,N/A,43,37,61,27,42,N/A,27,47,26,66,70,48,24,29,62,N/A
24/10/2012,N/A,36,29,38,22,40,N/A,20,31,17,54,61,41,17,23,52,138
25/10/2012,N/A,39,37,40,18,33,N/A,20,28,16,61,63,35,15,22,59,137
26/10/2012,N/A,56,46,43,22,41,N/A,33,37,21,71,77,46,20,26,62,151
27/10/2012,N/A,54,38,43,23,46,N/A,25,39,24,60,59,43,17,23,62,N/A
28/10/2012,N/A,63,56,71,33,61,N/A,33,61,30,96,109,65,33,30,77,N/A
29/10/2012,N/A,52,45,64,30,47,N/A,30,46,27,91,98,58,29,29,66,N/A
30/10/2012,N/A,42,40,43,20,38,N/A,23,39,21,78,79,54,21,23,63,N/A
31/10/2012,N/A,42,N/A,43,25,36,N/A,23,36,23,77,84,41,17,27,73,N/A
01/11/2012,N/A,44,N/A,39,19,41,N/A,22,38,25,67,67,46,20,21,70,N/A
02/11/2012,N/A,66,68,80,35,67,N/A,32,65,36,119,114,75,33,36,94,N/A
03/11/2012,N/A,78,71,81,38,68,N/A,42,68,37,117,121,80,37,35,102,N/A
04/11/2012,N/A,89,87,95,44,79,N/A,47,76,47,133,156,97,43,41,97,N/A
05/11/2012,N/A,108,84,101,49,84,N/A,48,81,53,138,161,106,47,41,114,N/A
06/11/2012,N/A,66,61,55,30,50,N/A,33,47,29,N/A,101,62,29,27,69,N/A
07/11/2012,N/A,77,49,56,29,67,N/A,42,50,28,101,110,72,37,26,75,N/A
08/11/2012,N/A,33,33,47,25,45,N/A,22,44,23,78,97,41,20,28,68,N/A
09/11/2012,N/A,24,27,47,23,39,N/A,15,33,24,64,85,41,15,22,75,N/A
10/11/2012,N/A,38,42,62,28,48,N/A,22,44,30,83,102,59,26,26,69,N/A
11/11/2012,N/A,42,38,46,28,43,N/A,27,41,23,74,90,47,25,24,63,N/A
12/11/2012,N/A,43,42,44,25,43,N/A,24,41,26,82,N/A,51,24,26,67,108
13/11/2012,N/A,42,48,48,26,41,N/A,23,34,25,71,82,50,19,26,63,N/A
14/11/2012,N/A,69,52,55,31,49,N/A,33,45,29,84,96,64,25,31,74,126
15/11/2012,N/A,77,69,70,37,60,N/A,37,67,38,112,115,76,30,32,91,N/A
16/11/2012,N/A,68,63,57,35,58,N/A,35,50,35,90,96,64,30,31,77,N/A
17/11/2012,N/A,46,29,39,20,36,N/A,26,41,20,66,62,41,20,22,59,100
18/11/2012,N/A,20,20,22,16,26,N/A,21,19,14,37,42,27,10,16,55,N/A
19/11/2012,N/A,30,22,34,16,34,N/A,20,28,16,45,44,27,10,16,N/A,74
20/11/2012,N/A,52,37,64,31,50,N/A,30,61,31,119,114,69,26,30,72,N/A
21/11/2012,N/A,47,33,53,29,48,N/A,24,43,27,99,99,62,22,27,68,N/A
22/11/2012,N/A,34,22,39,24,33,N/A,21,27,20,67,77,37,17,19,31,N/A
23/11/2012,N/A,28,17,39,20,34,N/A,17,25,20,N/A,72,31,12,19,41,N/A
24/11/2012,N/A,29,21,34,19,30,N/A,23,27,18,N/A,N/A,36,12,20,54,105
25/11/2012,N/A,31,20,37,18,29,N/A,16,30,19,N/A,N/A,37,12,25,65,113
26/11/2012,N/A,43,27,42,24,39,N/A,24,37,22,N/A,N/A,55,16,24,68,138
27/11/2012,N/A,44,27,43,21,35,N/A,24,32,23,72,N/A,50,22,22,58,N/A
28/11/2012,N/A,28,23,36,22,31,N/A,20,33,22,68,N/A,N/A,17,28,47,130
29/11/2012,N/A,49,35,45,23,43,N/A,30,35,23,62,N/A,N/A,27,23,65,158
30/11/2012,N/A,73,60,88,42,73,N/A,38,76,45,N/A,N/A,N/A,34,41,88,N/A
01/12/2012,N/A,76,66,84,40,73,N/A,37,69,50,N/A,128,110,43,41,101,N/A
02/12/2012,N/A,84,72,88,46,84,N/A,42,72,58,149,143,116,38,41,96,211
03/12/2012,N/A,80,56,73,39,85,N/A,36,72,45,111,119,97,36,41,85,173
04/12/2012,N/A,53,49,60,34,77,N/A,27,40,38,N/A,78,76,32,31,59,N/A
05/12/2012,N/A,46,48,52,31,58,N/A,32,46,29,N/A,52,72,25,25,58,N/A
06/12/2012,N/A,46,47,52,31,57,N/A,31,42,29,N/A,56,73,22,27,53,N/A
07/12/2012,N/A,46,45,54,31,66,N/A,24,39,32,N/A,54,66,20,27,54,N/A
08/12/2012,N/A,42,39,55,29,65,N/A,19,41,28,58,43,55,16,29,44,121
09/12/2012,N/A,40,35,55,27,65,N/A,22,47,28,63,59,59,22,27,62,N/A
10/12/2012,N/A,35,34,54,31,N/A,N/A,18,40,31,62,49,59,16,27,62,119
11/12/2012,N/A,40,44,67,32,N/A,N/A,23,52,35,79,60,72,20,29,69,N/A
12/12/2012,N/A,59,60,64,32,N/A,N/A,33,55,36,84,N/A,84,25,30,77,N/A
13/12/2012,N/A,65,56,65,32,63,N/A,36,58,35,78,N/A,75,29,31,84,N/A
14/12/2012,N/A,62,63,76,38,67,N/A,35,73,43,95,N/A,87,30,38,91,136
15/12/2012,N/A,72,66,95,41,76,N/A,39,80,46,113,N/A,99,33,40,105,N/A
16/12/2012,N/A,73,67,89,40,78,N/A,38,77,49,114,N/A,100,32,41,94,N/A
17/12/2012,N/A,80,73,97,43,78,N/A,41,88,N/A,118,N/A,100,41,39,106,N/A
18/12/2012,N/A,83,70,94,44,N/A,N/A,44,88,N/A,117,N/A,99,35,38,101,N/A
19/12/2012,N/A,67,58,78,37,70,N/A,37,65,37,86,58,80,27,33,83,N/A
20/12/2012,N/A,59,52,59,30,N/A,N/A,35,47,27,69,43,62,25,27,67,N/A
21/12/2012,N/A,75,N/A,76,35,54,N/A,38,66,30,N/A,69,70,32,28,102,N/A
22/12/2012,N/A,74,63,87,38,78,N/A,33,71,37,N/A,70,89,28,38,102,N/A
23/12/2012,N/A,39,41,49,28,52,N/A,23,44,23,N/A,38,53,16,23,56,108
24/12/2012,N/A,43,45,56,27,50,N/A,22,44,23,N/A,41,60,20,25,63,105
25/12/2012,N/A,65,59,77,N/A,75,N/A,33,69,34,93,66,79,29,32,88,148
26/12/2012,N/A,80,75,N/A,N/A,89,N/A,41,81,46,115,73,97,33,39,106,N/A
27/12/2012,N/A,75,69,N/A,42,85,N/A,39,80,40,115,76,95,33,37,97,N/A
28/12/2012,N/A,73,61,81,39,76,N/A,39,66,38,101,71,83,34,42,88,N/A
29/12/2012,N/A,56,50,67,39,43,N/A,33,53,33,84,58,72,24,32,70,142
30/12/2012,N/A,49,46,56,30,N/A,N/A,30,50,27,77,49,65,23,26,59,N/A
31/12/2012,N/A,30,31,39,19,N/A,N/A,19,33,16,53,31,42,13,20,38,98
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
