Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T
01/01/2015,47,41,39,N/A,51,N/A,44,22,N/A,51,49,N/A,N/A,N/A,18,47
02/01/2015,54,51,49,N/A,60,N/A,54,27,N/A,59,56,N/A,N/A,N/A,21,56
03/01/2015,74,71,63,N/A,82,N/A,68,29,N/A,76,86,N/A,N/A,N/A,27,78
04/01/2015,86,84,85,N/A,93,N/A,93,32,N/A,87,103,N/A,N/A,N/A,32,94
05/01/2015,81,85,76,N/A,99,N/A,102,30,N/A,94,102,N/A,N/A,N/A,33,87
06/01/2015,57,N/A,68,N/A,81,N/A,75,28,N/A,77,69,N/A,N/A,N/A,26,67
07/01/2015,37,35,33,N/A,48,N/A,51,21,N/A,46,47,N/A,69,19,19,46
08/01/2015,41,37,26,N/A,40,N/A,50,23,N/A,41,49,N/A,63,21,18,46
09/01/2015,41,42,35,N/A,47,N/A,46,22,N/A,47,51,N/A,49,21,16,49
10/01/2015,49,51,47,N/A,63,N/A,61,25,N/A,59,67,N/A,61,24,23,58
11/01/2015,45,44,N/A,N/A,59,N/A,48,21,N/A,60,54,N/A,60,23,20,46
12/01/2015,39,38,N/A,N/A,48,N/A,44,20,N/A,50,48,N/A,56,20,18,45
13/01/2015,45,42,N/A,N/A,53,N/A,49,23,N/A,56,N/A,N/A,59,20,19,57
14/01/2015,66,62,N/A,N/A,85,69,74,29,N/A,82,N/A,N/A,84,30,26,80
15/01/2015,71,76,N/A,N/A,80,73,76,30,N/A,83,80,N/A,89,32,26,88
16/01/2015,82,86,N/A,N/A,98,88,86,32,N/A,100,91,N/A,101,36,29,98
17/01/2015,64,66,N/A,N/A,65,68,70,28,N/A,69,64,N/A,75,26,23,72
18/01/2015,85,73,N/A,N/A,82,78,90,32,N/A,86,77,N/A,95,34,26,82
19/01/2015,64,61,N/A,N/A,70,56,71,27,N/A,72,64,N/A,68,26,23,64
20/01/2015,75,75,N/A,N/A,78,73,72,30,N/A,83,69,N/A,87,30,26,86
21/01/2015,93,93,N/A,N/A,103,81,101,36,N/A,106,93,N/A,100,42,32,97
22/01/2015,107,126,N/A,N/A,125,105,122,39,N/A,129,118,N/A,139,49,36,112
23/01/2015,100,104,N/A,N/A,122,N/A,132,37,N/A,119,111,99,138,49,43,105
24/01/2015,61,62,N/A,N/A,84,N/A,75,28,N/A,78,70,N/A,83,30,34,66
25/01/2015,55,51,N/A,N/A,88,N/A,70,25,N/A,81,77,77,81,31,37,60
26/01/2015,60,52,N/A,N/A,80,N/A,68,27,N/A,78,83,75,85,31,34,51
27/01/2015,76,75,N/A,N/A,97,N/A,96,32,N/A,N/A,107,88,106,37,44,90
28/01/2015,69,67,N/A,N/A,90,N/A,84,29,N/A,93,89,88,95,35,47,73
29/01/2015,70,56,N/A,N/A,92,N/A,75,26,N/A,93,87,85,92,31,45,70
30/01/2015,55,47,N/A,N/A,73,N/A,65,24,N/A,71,75,66,79,26,36,57
31/01/2015,64,55,N/A,N/A,75,N/A,76,25,N/A,71,76,65,81,30,28,54
01/02/2015,76,N/A,N/A,N/A,89,N/A,87,29,N/A,90,73,66,89,33,26,67
02/02/2015,79,N/A,N/A,N/A,85,N/A,88,29,N/A,86,67,65,81,28,26,75
03/02/2015,76,N/A,N/A,N/A,78,N/A,76,30,N/A,86,71,66,82,31,23,76
04/02/2015,78,87,N/A,N/A,88,N/A,95,30,N/A,93,79,81,98,32,28,83
05/02/2015,62,68,N/A,N/A,77,N/A,89,26,N/A,72,54,49,66,24,22,73
06/02/2015,72,76,N/A,N/A,86,N/A,95,28,N/A,83,67,56,78,27,25,76
07/02/2015,80,75,N/A,N/A,92,N/A,98,31,N/A,90,66,N/A,76,32,27,91
08/02/2015,91,85,N/A,N/A,107,N/A,112,34,N/A,104,93,N/A,105,39,35,94
09/02/2015,73,74,N/A,N/A,N/A,N/A,95,30,N/A,84,74,N/A,77,30,25,66
10/02/2015,80,87,N/A,N/A,95,N/A,109,32,N/A,96,74,N/A,88,31,29,87
11/02/2015,108,110,N/A,N/A,119,N/A,135,37,N/A,124,108,N/A,N/A,47,42,116
12/02/2015,59,57,N/A,N/A,74,N/A,79,26,N/A,71,70,N/A,71,27,32,47
13/02/2015,52,47,N/A,N/A,58,N/A,60,23,N/A,60,62,57,63,20,24,39
14/02/2015,46,40,N/A,N/A,50,N/A,49,22,N/A,51,57,57,57,22,21,40
15/02/2015,42,37,N/A,N/A,52,N/A,58,21,N/A,52,56,56,60,21,25,50
16/02/2015,45,38,N/A,N/A,56,N/A,56,21,N/A,57,57,N/A,60,23,25,42
17/02/2015,47,40,N/A,N/A,54,N/A,56,21,N/A,55,52,N/A,56,21,24,44
18/02/2015,46,38,N/A,N/A,45,N/A,45,20,N/A,44,45,55,45,17,19,35
19/02/2015,N/A,29,N/A,N/A,41,35,45,20,N/A,40,42,62,46,16,18,35
20/02/2015,26,28,N/A,N/A,36,40,41,19,N/A,39,35,48,43,17,18,40
21/02/2015,20,24,N/A,N/A,31,30,35,18,N/A,29,32,42,37,14,19,38
22/02/2015,20,22,N/A,N/A,29,25,28,17,N/A,28,31,43,34,15,15,26
23/02/2015,21,29,N/A,N/A,34,28,37,17,N/A,32,32,42,37,15,17,39
24/02/2015,29,38,N/A,N/A,40,36,48,19,N/A,39,38,44,43,16,19,38
25/02/2015,24,31,N/A,N/A,36,31,42,19,N/A,35,38,45,39,15,17,40
26/02/2015,26,31,N/A,N/A,35,31,41,19,N/A,33,36,47,40,15,16,40
27/02/2015,25,30,N/A,N/A,35,31,37,18,N/A,35,36,50,41,15,17,32
28/02/2015,23,28,N/A,N/A,36,35,34,18,N/A,38,36,53,39,15,16,40
01/03/2015,18,17,N/A,N/A,31,26,26,17,N/A,34,33,47,31,12,14,31
02/03/2015,24,31,N/A,N/A,33,32,44,19,N/A,35,36,44,43,16,19,42
03/03/2015,26,30,N/A,N/A,36,35,39,18,N/A,34,41,54,40,16,17,36
04/03/2015,33,31,N/A,N/A,40,33,40,19,N/A,36,37,48,42,16,18,36
05/03/2015,34,42,N/A,N/A,49,38,50,20,N/A,44,48,55,54,18,20,38
06/03/2015,29,33,N/A,N/A,43,37,43,20,N/A,37,40,51,42,15,17,32
07/03/2015,25,28,N/A,N/A,38,34,39,18,N/A,34,34,45,37,14,15,18
08/03/2015,17,21,N/A,N/A,29,24,23,16,N/A,24,19,42,25,11,12,10
09/03/2015,20,25,N/A,N/A,35,30,N/A,18,N/A,30,23,44,35,13,14,12
10/03/2015,29,30,N/A,N/A,41,32,N/A,18,N/A,37,N/A,48,40,15,16,15
11/03/2015,27,33,N/A,N/A,41,34,N/A,19,N/A,35,N/A,48,40,15,17,12
12/03/2015,37,39,N/A,N/A,50,40,50,21,N/A,44,N/A,55,49,18,18,13
13/03/2015,42,44,N/A,N/A,55,48,N/A,22,N/A,51,N/A,56,56,21,20,15
14/03/2015,38,36,N/A,N/A,46,42,N/A,21,N/A,43,N/A,53,49,17,19,13
15/03/2015,29,27,N/A,N/A,41,32,N/A,19,N/A,37,N/A,49,43,16,17,12
16/03/2015,33,35,N/A,N/A,41,38,N/A,20,N/A,35,N/A,49,N/A,17,17,13
17/03/2015,36,38,N/A,N/A,47,41,N/A,21,N/A,41,N/A,50,N/A,17,19,15
18/03/2015,35,39,N/A,N/A,48,41,N/A,20,N/A,42,N/A,55,N/A,19,19,16
19/03/2015,33,37,N/A,N/A,43,36,N/A,21,N/A,39,N/A,48,N/A,18,18,36
20/03/2015,34,44,N/A,N/A,50,40,61,20,N/A,43,N/A,58,N/A,19,19,57
21/03/2015,31,39,N/A,N/A,45,37,57,20,N/A,39,N/A,56,N/A,17,17,49
22/03/2015,32,32,N/A,N/A,42,39,50,21,N/A,36,N/A,59,N/A,19,18,55
23/03/2015,31,36,N/A,N/A,45,35,59,20,N/A,39,N/A,50,N/A,18,18,49
24/03/2015,44,49,N/A,N/A,60,46,57,22,N/A,55,N/A,65,N/A,24,22,74
25/03/2015,57,61,N/A,N/A,70,60,72,26,N/A,66,N/A,80,N/A,31,25,71
26/03/2015,52,55,N/A,N/A,62,48,62,24,N/A,56,N/A,70,N/A,24,22,67
27/03/2015,52,52,N/A,N/A,64,56,70,24,N/A,61,N/A,78,93,24,24,73
28/03/2015,64,61,N/A,N/A,76,56,82,27,N/A,68,N/A,N/A,102,31,23,71
29/03/2015,34,34,N/A,N/A,42,40,51,20,N/A,39,47,N/A,69,20,20,48
30/03/2015,22,24,N/A,N/A,36,32,43,18,N/A,30,N/A,53,57,15,16,32
31/03/2015,25,30,N/A,N/A,35,32,46,18,N/A,31,N/A,55,58,15,16,36
01/04/2015,N/A,N/A,N/A,N/A,44,37,51,19,N/A,37,N/A,59,65,21,18,38
02/04/2015,N/A,N/A,N/A,N/A,46,46,54,20,N/A,41,N/A,N/A,67,18,19,43
03/04/2015,N/A,N/A,N/A,N/A,53,49,60,20,N/A,49,N/A,N/A,73,23,19,48
04/04/2015,N/A,N/A,N/A,N/A,49,44,58,21,N/A,44,N/A,N/A,70,19,19,52
05/04/2015,N/A,N/A,N/A,N/A,42,44,47,19,N/A,38,N/A,N/A,59,15,17,34
06/04/2015,N/A,N/A,N/A,N/A,36,35,41,17,N/A,33,N/A,N/A,53,15,14,35
07/04/2015,N/A,N/A,N/A,N/A,43,37,49,19,N/A,39,N/A,N/A,60,15,16,35
08/04/2015,N/A,N/A,N/A,N/A,39,25,48,20,N/A,37,N/A,N/A,61,18,17,48
09/04/2015,N/A,N/A,N/A,N/A,48,46,67,22,N/A,45,N/A,N/A,79,23,19,55
10/04/2015,N/A,25,N/A,N/A,38,32,41,17,26,31,N/A,N/A,52,14,14,30
11/04/2015,31,24,N/A,N/A,33,29,42,17,28,29,N/A,N/A,50,15,13,32
12/04/2015,31,37,N/A,N/A,38,28,43,19,30,31,N/A,N/A,58,14,18,50
13/04/2015,51,64,N/A,N/A,52,39,59,24,48,50,N/A,N/A,85,25,18,48
14/04/2015,67,83,N/A,N/A,62,57,67,28,60,66,N/A,N/A,86,25,22,64
15/04/2015,76,82,N/A,N/A,80,76,78,29,72,78,N/A,N/A,95,29,26,79
16/04/2015,57,49,N/A,N/A,67,56,66,23,53,60,N/A,N/A,85,24,23,53
17/04/2015,47,39,N/A,N/A,49,44,58,21,44,45,N/A,N/A,72,21,18,39
18/04/2015,33,25,N/A,N/A,36,35,39,18,29,29,N/A,N/A,53,16,14,27
19/04/2015,31,18,N/A,N/A,30,28,33,17,25,N/A,N/A,N/A,49,12,13,23
20/04/2015,36,24,N/A,N/A,37,36,46,19,32,N/A,N/A,N/A,59,16,15,31
21/04/2015,44,45,N/A,N/A,46,42,54,20,38,44,N/A,54,67,19,18,40
22/04/2015,45,N/A,N/A,N/A,40,44,52,21,36,41,N/A,50,65,17,17,39
23/04/2015,37,33,N/A,N/A,36,29,50,20,31,36,N/A,48,60,18,14,38
24/04/2015,55,63,N/A,N/A,53,39,59,23,47,51,N/A,63,79,25,19,60
25/04/2015,46,53,N/A,N/A,46,42,64,22,42,43,N/A,60,80,21,21,60
26/04/2015,57,70,N/A,N/A,54,42,67,25,50,54,N/A,71,92,27,22,57
27/04/2015,39,50,N/A,N/A,41,36,49,20,37,42,N/A,56,71,17,18,54
28/04/2015,34,25,N/A,N/A,37,30,41,20,29,37,N/A,67,57,14,16,34
