Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2018,34,37,35,n/a,35,32,35,44,41,42,45,n/a
02/01/2018,41,47,42,n/a,40,37,39,47,44,48,54,n/a
03/01/2018,54,61,51,n/a,55,51,50,69,65,70,70,n/a
04/01/2018,60,74,60,n/a,67,55,58,81,74,77,74,n/a
05/01/2018,65,79,71,72,72,67,69,100,93,88,85,n/a
06/01/2018,57,75,72,74,101,54,n/a,83,76,70,76,n/a
07/01/2018,33,24,25,45,37,29,n/a,35,30,26,31,n/a
08/01/2018,30,28,27,29,49,17,n/a,42,31,24,37,n/a
09/01/2018,33,29,33,n/a,41,33,33,44,40,30,47,n/a
10/01/2018,40,25,19,n/a,37,18,19,30,31,25,28,n/a
11/01/2018,57,54,46,n/a,56,51,49,63,69,75,72,n/a
12/01/2018,52,54,46,n/a,58,49,52,69,69,78,69,n/a
13/01/2018,58,66,58,n/a,23,60,62,76,78,89,82,n/a
14/01/2018,57,71,64,n/a,21,56,65,77,75,85,80,n/a
15/01/2018,68,76,70,n/a,57,69,75,95,97,106,91,n/a
16/01/2018,75,102,93,n/a,96,74,94,117,112,109,104,n/a
17/01/2018,94,153,116,n/a,125,93,119,141,140,134,133,n/a
18/01/2018,75,91,89,n/a,73,79,92,108,97,103,106,n/a
19/01/2018,81,95,90,n/a,96,74,90,132,96,108,105,n/a
20/01/2018,70,82,80,n/a,75,73,82,95,102,100,97,n/a
21/01/2018,85,110,103,n/a,100,86,104,138,117,126,114,n/a
22/01/2018,113,103,108,n/a,99,121,105,152,n/a,141,123,n/a
23/01/2018,n/a,88,86,n/a,n/a,77,86,118,98,103,104,n/a
24/01/2018,n/a,77,91,n/a,n/a,77,84,107,93,93,102,n/a
25/01/2018,n/a,43,48,n/a,n/a,40,46,70,55,45,55,n/a
26/01/2018,n/a,29,30,44,48,28,30,53,36,30,38,n/a
27/01/2018,24,27,27,44,n/a,22,28,53,35,27,34,n/a
28/01/2018,24,27,27,64,23,23,28,45,38,29,33,n/a
29/01/2018,26,28,31,64,39,28,30,51,36,30,36,n/a
30/01/2018,n/a,27,29,58,44,25,29,51,36,30,34,n/a
31/01/2018,n/a,26,33,n/a,51,29,29,51,35,31,35,n/a
01/02/2018,n/a,46,45,n/a,77,49,47,54,53,56,49,n/a
02/02/2018,n/a,71,61,n/a,82,60,65,72,73,77,70,n/a
03/02/2018,n/a,n/a,65,66,67,66,70,90,84,90,80,n/a
04/02/2018,n/a,n/a,71,51,81,108,78,96,86,99,89,n/a
05/02/2018,n/a,n/a,75,58,74,78,79,98,88,101,88,n/a
06/02/2018,n/a,84,66,47,96,65,70,81,n/a,79,80,n/a
07/02/2018,n/a,112,97,n/a,121,91,101,123,n/a,122,109,n/a
08/02/2018,n/a,95,105,n/a,135,86,103,110,106,100,106,n/a
09/02/2018,n/a,62,73,n/a,80,58,65,86,72,73,76,n/a
10/02/2018,n/a,61,67,n/a,59,53,69,83,68,66,71,n/a
11/02/2018,n/a,63,67,n/a,76,53,67,72,71,70,75,n/a
12/02/2018,n/a,79,75,n/a,n/a,69,75,78,89,90,81,n/a
13/02/2018,n/a,77,68,n/a,n/a,64,68,80,77,82,80,n/a
14/02/2018,n/a,104,97,n/a,123,128,98,129,120,133,111,n/a
15/02/2018,n/a,76,84,n/a,n/a,89,82,100,91,90,91,n/a
16/02/2018,n/a,63,67,n/a,n/a,66,67,74,73,68,76,n/a
17/02/2018,n/a,59,63,n/a,n/a,59,65,71,69,64,68,n/a
18/02/2018,n/a,52,54,n/a,n/a,50,53,62,60,56,57,n/a
19/02/2018,n/a,43,53,n/a,n/a,48,49,68,56,51,55,n/a
20/02/2018,n/a,21,24,n/a,n/a,19,27,46,32,24,30,n/a
21/02/2018,n/a,31,31,n/a,n/a,29,33,50,40,32,38,n/a
22/02/2018,33,36,41,n/a,n/a,33,37,59,47,40,44,n/a
23/02/2018,39,42,41,n/a,n/a,40,41,50,53,47,47,n/a
24/02/2018,46,56,53,n/a,n/a,44,54,65,69,62,68,n/a
25/02/2018,49,51,59,n/a,n/a,53,56,64,65,66,66,n/a
26/02/2018,54,53,53,n/a,n/a,51,51,71,68,66,60,n/a
27/02/2018,40,48,49,n/a,n/a,39,45,67,60,45,60,n/a
28/02/2018,49,57,56,n/a,n/a,51,56,80,72,n/a,68,n/a
01/03/2018,36,37,44,n/a,n/a,36,43,62,49,39,50,n/a
02/03/2018,36,37,40,n/a,n/a,35,38,62,45,37,43,n/a
03/03/2018,29,26,29,n/a,n/a,27,26,49,36,26,33,n/a
04/03/2018,27,22,26,n/a,n/a,24,25,38,33,24,30,n/a
05/03/2018,32,22,29,n/a,n/a,22,26,41,32,21,31,n/a
06/03/2018,30,25,29,n/a,n/a,24,27,43,36,25,33,n/a
07/03/2018,31,26,40,n/a,n/a,27,30,43,37,26,37,n/a
08/03/2018,41,34,40,n/a,n/a,38,41,47,50,40,44,n/a
09/03/2018,41,40,38,n/a,n/a,37,39,45,48,42,45,n/a
10/03/2018,61,60,57,n/a,n/a,61,60,81,83,76,80,n/a
11/03/2018,77,88,83,n/a,n/a,72,83,102,99,94,94,n/a
12/03/2018,99,99,101,n/a,n/a,95,99,130,125,117,109,n/a
13/03/2018,55,53,57,n/a,n/a,52,59,78,68,61,62,n/a
