Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T
01/01/2016,28,45,24,33,35,26,32,N/A,N/A,15,20,41
02/01/2016,40,61,36,43,40,37,38,N/A,N/A,18,17,52
03/01/2016,54,82,49,57,55,50,50,N/A,N/A,24,22,75
04/01/2016,74,103,74,89,68,80,73,N/A,N/A,33,26,98
05/01/2016,78,89,58,74,61,66,65,74,N/A,31,24,84
06/01/2016,68,81,73,78,65,73,68,74,N/A,30,25,93
07/01/2016,68,58,61,79,61,67,65,74,N/A,30,29,88
08/01/2016,69,61,49,80,52,70,59,71,N/A,28,31,84
09/01/2016,29,27,32,45,44,48,36,38,N/A,16,19,71
10/01/2016,N/A,30,30,35,29,33,28,30,N/A,14,19,50
11/01/2016,N/A,54,41,50,35,50,41,45,N/A,24,24,N/A
12/01/2016,N/A,64,47,53,42,60,44,54,N/A,24,21,N/A
13/01/2016,N/A,31,39,49,43,53,43,45,N/A,18,21,N/A
14/01/2016,N/A,44,36,40,41,55,36,38,N/A,18,22,N/A
15/01/2016,N/A,24,22,25,20,26,21,22,N/A,13,12,30
16/01/2016,N/A,30,25,25,26,31,24,22,N/A,15,18,44
17/01/2016,N/A,21,21,20,20,21,20,17,N/A,13,12,47
18/01/2016,N/A,34,26,29,26,40,28,25,N/A,10,21,55
19/01/2016,N/A,18,22,25,24,34,22,23,N/A,12,17,45
20/01/2016,N/A,26,28,29,28,36,25,22,N/A,13,17,46
21/01/2016,N/A,40,21,43,33,39,32,38,N/A,16,18,57
22/01/2016,N/A,38,32,41,34,41,33,38,N/A,17,16,51
23/01/2016,37,40,33,N/A,37,39,40,40,N/A,17,19,55
24/01/2016,38,42,27,N/A,19,39,32,33,N/A,17,14,45
25/01/2016,34,52,35,N/A,29,39,35,38,N/A,18,16,66
26/01/2016,47,64,49,N/A,43,49,47,50,N/A,20,19,58
27/01/2016,46,65,48,N/A,41,48,44,52,N/A,21,19,58
28/01/2016,64,85,70,N/A,60,64,57,73,N/A,25,24,90
29/01/2016,89,88,75,N/A,80,79,75,89,N/A,30,28,107
30/01/2016,60,53,53,N/A,46,71,50,60,N/A,23,29,71
31/01/2016,30,36,22,N/A,28,33,27,27,N/A,16,17,38
01/02/2016,38,40,29,N/A,33,48,36,38,N/A,18,18,48
02/02/2016,49,55,42,N/A,34,54,42,47,N/A,21,17,52
03/02/2016,56,64,53,N/A,42,60,47,55,N/A,21,21,66
04/02/2016,73,93,N/A,N/A,58,75,69,73,N/A,26,22,90
05/02/2016,88,92,N/A,N/A,59,93,63,73,N/A,N/A,22,83
06/02/2016,64,64,N/A,55,44,68,50,56,N/A,N/A,19,62
07/02/2016,68,79,N/A,74,58,73,68,76,N/A,N/A,21,73
08/02/2016,83,98,N/A,84,76,82,84,88,N/A,N/A,26,110
09/02/2016,98,137,N/A,101,87,97,94,108,N/A,N/A,29,116
10/02/2016,N/A,152,N/A,118,107,116,108,120,N/A,N/A,34,138
11/02/2016,N/A,96,N/A,92,73,100,74,86,N/A,N/A,33,92
12/02/2016,N/A,66,N/A,68,59,74,60,63,N/A,N/A,26,68
13/02/2016,N/A,46,N/A,46,36,56,40,43,N/A,N/A,20,57
14/02/2016,N/A,40,N/A,43,34,44,36,40,N/A,N/A,20,54
15/02/2016,N/A,36,N/A,39,33,41,36,41,N/A,N/A,19,42
16/02/2016,20,32,N/A,41,33,48,34,36,N/A,N/A,19,55
17/02/2016,61,64,N/A,67,50,72,52,62,N/A,N/A,20,80
18/02/2016,51,67,N/A,72,57,79,60,70,N/A,N/A,22,86
19/02/2016,47,58,N/A,72,54,70,53,58,N/A,N/A,23,75
20/02/2016,47,54,N/A,72,48,68,52,55,N/A,N/A,21,67
21/02/2016,41,48,N/A,51,41,55,46,47,N/A,N/A,20,59
22/02/2016,41,48,N/A,59,46,48,43,45,N/A,N/A,20,51
23/02/2016,39,52,N/A,N/A,49,52,44,50,N/A,N/A,25,61
24/02/2016,47,50,N/A,N/A,51,65,53,57,N/A,N/A,26,75
25/02/2016,57,70,N/A,60,45,69,49,57,N/A,N/A,20,67
26/02/2016,54,73,N/A,55,48,62,47,52,N/A,N/A,19,65
27/02/2016,59,84,N/A,66,56,66,59,64,N/A,N/A,22,83
28/02/2016,82,95,N/A,75,71,79,75,84,N/A,N/A,23,103
29/02/2016,72,107,N/A,77,65,88,70,76,N/A,N/A,22,93
01/03/2016,N/A,85,N/A,75,59,74,66,73,N/A,N/A,21,90
02/03/2016,N/A,118,N/A,111,89,108,89,102,N/A,N/A,29,124
03/03/2016,88,101,N/A,101,96,108,93,98,N/A,N/A,29,129
04/03/2016,52,65,N/A,64,63,69,57,60,N/A,N/A,25,80
05/03/2016,38,42,N/A,46,42,48,38,38,N/A,N/A,19,58
06/03/2016,34,39,N/A,47,37,43,36,36,N/A,N/A,20,49
07/03/2016,37,45,N/A,48,46,51,41,39,N/A,N/A,19,51
08/03/2016,38,43,N/A,43,38,48,39,38,N/A,N/A,17,55
09/03/2016,33,40,N/A,42,35,47,39,38,N/A,N/A,19,51
10/03/2016,36,37,N/A,45,40,48,40,41,N/A,N/A,21,52
11/03/2016,29,34,N/A,39,35,44,35,36,N/A,N/A,18,49
12/03/2016,33,53,N/A,41,35,43,33,35,N/A,N/A,15,48
13/03/2016,19,29,N/A,28,23,26,22,24,N/A,N/A,N/A,33
14/03/2016,23,27,N/A,30,27,33,27,29,N/A,N/A,N/A,32
15/03/2016,N/A,30,N/A,32,27,38,29,30,N/A,N/A,N/A,40
16/03/2016,N/A,41,N/A,45,40,45,38,38,N/A,N/A,N/A,49
17/03/2016,33,38,N/A,41,38,45,37,36,N/A,N/A,N/A,43
18/03/2016,35,40,N/A,46,41,50,40,41,N/A,N/A,N/A,53
19/03/2016,41,45,N/A,48,40,51,42,43,N/A,N/A,N/A,55
20/03/2016,37,42,N/A,46,40,46,41,42,N/A,N/A,N/A,50
21/03/2016,31,30,N/A,40,40,42,37,38,N/A,N/A,N/A,46
22/03/2016,39,42,N/A,48,43,52,43,44,N/A,N/A,N/A,N/A
23/03/2016,60,69,N/A,69,60,75,70,66,N/A,N/A,N/A,N/A
24/03/2016,69,83,N/A,83,72,93,77,82,N/A,N/A,N/A,N/A
25/03/2016,43,47,N/A,54,51,59,49,51,N/A,N/A,N/A,61
26/03/2016,51,55,N/A,63,52,67,54,61,N/A,N/A,N/A,74
27/03/2016,38,40,N/A,51,41,51,42,47,N/A,N/A,N/A,77
28/03/2016,66,79,N/A,70,60,75,66,71,N/A,N/A,N/A,94
29/03/2016,46,53,N/A,65,59,53,61,63,N/A,N/A,N/A,81
