Date,59T,61T,54T
13/08/2015,15,24,27
14/08/2015,11,19,28
15/08/2015,11,17,21
16/08/2015,12,21,24
17/08/2015,12,16,20
18/08/2015,10,16,23
19/08/2015,7,15,23
20/08/2015,9,15,24
21/08/2015,9,13,17
22/08/2015,8,14,21
23/08/2015,9,19,18
24/08/2015,9,16,22
25/08/2015,10,N/A,15
26/08/2015,11,N/A,22
27/08/2015,10,N/A,22
28/08/2015,14,20,30
29/08/2015,12,18,21
30/08/2015,8,21,22
31/08/2015,9,19,25
01/09/2015,10,15,22
02/09/2015,9,15,19
03/09/2015,14,18,25
04/09/2015,14,22,29
05/09/2015,13,18,24
06/09/2015,8,15,20
07/09/2015,8,12,18
08/09/2015,7,11,16
09/09/2015,8,14,25
10/09/2015,13,23,31
11/09/2015,17,24,24
12/09/2015,13,18,21
13/09/2015,12,18,20
14/09/2015,8,17,18
15/09/2015,10,18,22
16/09/2015,8,16,20
17/09/2015,9,19,24
18/09/2015,13,20,24
19/09/2015,24,27,34
20/09/2015,51,60,51
21/09/2015,44,50,53
22/09/2015,22,30,26
23/09/2015,13,24,23
24/09/2015,12,22,23
25/09/2015,9,21,21
26/09/2015,11,21,19
27/09/2015,12,24,24
28/09/2015,16,23,17
29/09/2015,15,26,26
30/09/2015,23,31,35
01/10/2015,18,26,N/A
02/10/2015,19,27,34
03/10/2015,16,28,39
04/10/2015,14,25,25
05/10/2015,10,19,28
06/10/2015,17,21,40
07/10/2015,19,26,37
08/10/2015,12,22,29
09/10/2015,17,24,29
10/10/2015,16,25,29
11/10/2015,13,24,32
12/10/2015,15,22,26
13/10/2015,16,24,31
14/10/2015,21,27,28
15/10/2015,20,28,36
16/10/2015,29,30,47
17/10/2015,32,39,49
18/10/2015,32,38,47
19/10/2015,N/A,44,48
20/10/2015,N/A,46,38
21/10/2015,22,33,36
22/10/2015,37,41,53
23/10/2015,43,55,52
24/10/2015,38,46,53
25/10/2015,32,39,42
26/10/2015,31,39,51
27/10/2015,29,33,42
28/10/2015,27,35,47
29/10/2015,29,32,53
30/10/2015,22,29,47
31/10/2015,20,24,35
01/11/2015,18,23,34
02/11/2015,19,22,38
03/11/2015,24,28,43
04/11/2015,28,35,42
05/11/2015,32,31,44
06/11/2015,42,46,48
07/11/2015,14,18,42
08/11/2015,21,24,37
09/11/2015,18,26,37
10/11/2015,22,29,39
11/11/2015,19,22,37
12/11/2015,22,25,43
13/11/2015,29,37,50
14/11/2015,31,35,41
15/11/2015,35,45,42
16/11/2015,26,33,42
17/11/2015,21,28,42
18/11/2015,23,30,43
19/11/2015,N/A,39,44
20/11/2015,26,33,40
21/11/2015,27,33,49
22/11/2015,26,30,48
23/11/2015,28,33,44
24/11/2015,32,34,46
25/11/2015,19,30,41
26/11/2015,23,27,36
27/11/2015,18,26,38
28/11/2015,24,34,40
29/11/2015,29,38,34
30/11/2015,34,40,47
01/12/2015,30,38,53
02/12/2015,20,26,35
03/12/2015,16,25,27
04/12/2015,22,29,36
05/12/2015,28,35,44
06/12/2015,26,35,44
07/12/2015,27,31,36
08/12/2015,28,34,38
09/12/2015,32,44,54
10/12/2015,44,61,71
11/12/2015,32,57,66
12/12/2015,14,32,44
13/12/2015,17,30,39
14/12/2015,33,49,53
15/12/2015,52,78,82
16/12/2015,34,47,56
17/12/2015,20,23,33
18/12/2015,25,34,44
19/12/2015,32,43,N/A
20/12/2015,37,48,60
21/12/2015,38,52,56
22/12/2015,38,52,51
23/12/2015,39,55,55
24/12/2015,29,44,49
25/12/2015,21,28,41
26/12/2015,25,34,46
27/12/2015,28,43,34
28/12/2015,31,42,40
29/12/2015,26,39,45
30/12/2015,25,42,47
31/12/2015,19,29,41
