Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2020,20,22,18,23,17,20,20,21,22,21,21,23
02/01/2020,26,24,20,26,21,24,26,28,27,27,28,30
03/01/2020,32,28,24,31,24,27,32,32,29,33,30,36
04/01/2020,37,35,31,35,35,34,37,38,39,39,35,44
05/01/2020,45,41,33,40,36,38,42,51,44,45,40,46
06/01/2020,51,49,39,46,49,40,46,62,50,52,45,52
07/01/2020,51,57,39,47,45,38,57,64,52,53,57,64
08/01/2020,53,64,47,53,52,49,60,58,55,55,59,63
09/01/2020,60,55,47,49,49,47,53,74,56,63,56,70
10/01/2020,97,100,63,72,78,70,78,96,82,101,77,102
11/01/2020,46,46,35,46,35,42,47,57,49,49,46,65
12/01/2020,36,37,26,35,33,33,38,38,39,39,38,55
13/01/2020,33,33,26,36,33,30,34,39,42,39,38,45
14/01/2020,34,36,27,35,30,29,35,42,37,34,38,47
15/01/2020,35,38,30,37,31,31,39,45,39,36,38,49
16/01/2020,37,41,33,39,37,37,40,47,42,38,42,56
17/01/2020,45,46,36,47,43,42,47,58,50,45,48,60
18/01/2020,58,58,48,55,52,52,55,59,59,54,56,79
19/01/2020,56,58,50,56,53,52,57,58,58,55,56,74
20/01/2020,64,60,54,61,58,56,62,72,65,64,63,76
21/01/2020,46,47,45,50,45,45,53,55,51,45,56,72
22/01/2020,41,36,32,39,32,32,41,45,43,39,43,53
23/01/2020,35,35,26,35,32,33,40,46,38,34,35,51
24/01/2020,24,21,18,27,24,24,26,30,27,22,21,43
25/01/2020,21,18,15,21,17,16,20,20,21,17,16,30
26/01/2020,17,12,11,15,13,15,19,23,19,15,12,25
27/01/2020,21,20,14,20,21,19,23,29,24,23,19,27
28/01/2020,34,26,18,27,25,26,26,40,35,33,29,43
29/01/2020,30,27,22,30,24,29,33,39,35,31,30,39
30/01/2020,37,37,28,35,35,29,37,41,38,33,34,42
31/01/2020,45,45,34,46,44,45,46,43,46,42,44,47
01/02/2020,61,60,43,58,57,55,61,63,64,60,60,72
02/02/2020,60,60,53,58,58,59,62,62,63,57,65,73
03/02/2020,53,54,45,58,48,46,n/a,55,55,49,56,70
04/02/2020,44,42,33,43,40,44,46,49,45,41,42,56
05/02/2020,32,29,25,32,27,31,31,39,34,29,32,43
06/02/2020,26,24,20,22,21,22,28,35,27,23,22,35
07/02/2020,30,29,27,31,25,30,33,38,32,28,35,42
08/02/2020,36,35,29,36,35,35,35,38,n/a,35,40,46
09/02/2020,44,42,32,40,39,39,40,40,45,43,43,47
10/02/2020,45,42,42,41,41,43,44,47,44,42,44,45
11/02/2020,49,48,45,48,48,46,48,53,52,49,49,57
12/02/2020,36,32,34,35,38,36,36,44,40,34,34,49
13/02/2020,13,11,12,15,13,12,16,17,16,12,10,22
14/02/2020,12,10,10,12,13,12,13,19,16,11,10,22
15/02/2020,20,15,17,17,20,15,19,25,23,22,16,25
16/02/2020,16,11,14,13,12,14,15,19,16,13,11,23
17/02/2020,18,15,18,18,17,15,19,21,21,16,17,25
18/02/2020,32,32,31,31,32,30,32,36,39,36,32,40
19/02/2020,52,49,53,50,50,48,52,52,53,49,53,52
20/02/2020,58,54,59,53,57,54,56,79,59,59,55,64
21/02/2020,49,52,50,50,46,49,49,53,54,49,51,54
22/02/2020,50,51,53,52,52,50,54,52,58,50,56,57
23/02/2020,53,53,55,54,51,51,56,52,58,52,57,59
24/02/2020,62,64,66,62,67,67,63,71,70,62,63,68
25/02/2020,64,67,74,62,60,57,71,66,76,60,70,87
26/02/2020,43,42,48,45,41,42,49,52,49,41,48,59
27/02/2020,48,40,42,45,40,46,48,51,54,47,50,65
28/02/2020,28,26,28,28,26,27,31,32,35,24,27,46
29/02/2020,25,23,28,27,26,24,27,30,29,22,24,39
01/03/2020,26,23,23,25,24,25,27,29,27,23,23,37
02/03/2020,26,23,26,n/a,26,24,27,30,29,24,24,35
03/03/2020,19,16,20,n/a,19,17,20,28,22,18,17,33
04/03/2020,14,11,14,13,13,12,17,22,16,10,11,23
05/03/2020,15,13,15,16,16,15,17,25,20,12,14,28
06/03/2020,15,14,16,17,16,12,16,24,18,14,13,24
07/03/2020,15,13,16,16,16,15,17,25,20,13,16,26
08/03/2020,22,19,21,23,21,22,22,24,27,20,21,32
