Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2019,n/a,15,20,22,n/a,23,n/a,25,22,28,27,31
02/01/2019,n/a,21,26,21,n/a,23,n/a,25,25,30,30,30
03/01/2019,n/a,24,26,25,n/a,24,n/a,29,28,34,33,35
04/01/2019,n/a,27,32,29,n/a,28,32,33,31,37,39,40
05/01/2019,n/a,33,37,36,n/a,35,39,43,34,46,51,47
06/01/2019,n/a,62,61,60,n/a,63,68,76,51,81,75,91
07/01/2019,n/a,65,60,61,n/a,56,68,69,58,74,71,83
08/01/2019,n/a,19,27,28,n/a,23,23,38,n/a,23,28,34
09/01/2019,n/a,22,26,27,n/a,24,30,n/a,n/a,26,33,43
10/01/2019,n/a,37,40,39,n/a,35,45,56,47,44,46,49
11/01/2019,n/a,62,69,64,n/a,59,87,81,83,81,81,87
12/01/2019,n/a,52,52,52,n/a,53,60,72,62,63,65,68
13/01/2019,n/a,63,60,62,n/a,55,65,88,70,74,66,74
14/01/2019,n/a,58,56,59,n/a,57,71,86,64,73,65,79
15/01/2019,n/a,48,47,53,n/a,46,60,68,48,50,58,68
16/01/2019,n/a,38,40,39,n/a,38,48,54,39,44,48,50
17/01/2019,n/a,45,45,42,n/a,38,51,53,51,49,49,52
18/01/2019,n/a,26,31,32,n/a,32,35,35,38,34,35,40
19/01/2019,n/a,39,46,45,n/a,44,52,51,57,53,53,55
20/01/2019,n/a,50,49,52,n/a,44,60,80,62,64,62,57
21/01/2019,n/a,57,66,60,n/a,55,71,86,72,83,74,75
22/01/2019,n/a,40,40,43,n/a,39,52,59,52,50,50,52
23/01/2019,n/a,41,41,39,n/a,36,50,60,47,45,49,47
24/01/2019,n/a,48,45,39,n/a,36,51,55,46,43,45,46
25/01/2019,n/a,60,63,59,n/a,50,74,86,74,71,66,66
26/01/2019,n/a,51,50,52,n/a,46,64,72,60,58,61,57
27/01/2019,n/a,40,42,43,n/a,42,50,43,47,46,50,47
28/01/2019,n/a,55,54,51,n/a,49,65,63,60,57,63,59
29/01/2019,n/a,65,67,61,n/a,56,n/a,87,71,71,72,65
30/01/2019,n/a,79,84,81,n/a,70,94,104,92,84,89,90
31/01/2019,n/a,58,59,52,n/a,56,69,87,66,71,70,69
01/02/2019,n/a,32,34,39,n/a,33,43,52,44,41,45,50
02/02/2019,n/a,29,32,32,n/a,29,37,48,40,37,39,46
03/02/2019,n/a,21,26,25,n/a,21,28,31,29,26,29,36
04/02/2019,n/a,20,27,28,n/a,21,30,38,31,27,30,35
05/02/2019,n/a,20,24,28,n/a,21,29,35,30,24,31,38
06/02/2019,n/a,12,17,21,n/a,17,22,33,24,18,23,29
07/02/2019,n/a,16,19,23,n/a,21,25,37,27,22,24,30
08/02/2019,n/a,14,22,24,n/a,21,26,41,25,21,25,34
09/02/2019,n/a,9,15,20,n/a,15,19,34,20,16,20,28
10/02/2019,n/a,13,18,22,n/a,18,22,27,25,20,23,30
11/02/2019,n/a,16,22,24,n/a,22,26,38,27,23,26,28
12/02/2019,n/a,24,25,33,n/a,25,34,42,36,27,36,36
13/02/2019,n/a,45,44,52,n/a,50,59,64,62,58,61,67
14/02/2019,n/a,19,28,28,n/a,24,29,42,31,27,28,39
15/02/2019,n/a,18,24,26,n/a,22,27,36,29,24,26,31
16/02/2019,n/a,14,19,22,n/a,21,21,32,25,21,22,30
17/02/2019,n/a,10,14,17,n/a,15,18,27,20,17,16,22
18/02/2019,n/a,8,12,15,n/a,13,16,30,20,14,16,19
19/02/2019,n/a,5,n/a,13,n/a,7,13,23,16,13,13,15
20/02/2019,n/a,7,n/a,15,n/a,8,16,34,19,14,14,19
21/02/2019,n/a,13,16,20,n/a,13,21,33,24,18,20,26
22/02/2019,n/a,9,13,16,n/a,10,18,31,18,15,16,22
23/02/2019,n/a,13,17,19,n/a,16,21,34,23,18,20,27
24/02/2019,n/a,13,17,21,n/a,15,21,26,22,18,21,31
25/02/2019,n/a,14,18,23,n/a,16,21,33,24,20,22,26
26/02/2019,n/a,17,19,21,n/a,18,23,35,26,21,23,29
27/02/2019,n/a,19,24,29,n/a,22,27,43,30,25,29,32
28/02/2019,n/a,21,24,32,n/a,25,33,43,34,27,30,38
01/03/2019,n/a,20,24,28,n/a,24,29,40,31,25,28,36
02/03/2019,n/a,22,25,26,n/a,26,31,37,32,25,29,36
03/03/2019,n/a,18,24,24,n/a,24,29,33,30,23,26,35
04/03/2019,n/a,15,20,22,n/a,17,22,34,25,19,20,26
05/03/2019,n/a,22,24,27,n/a,22,31,40,32,25,28,30
06/03/2019,n/a,23,25,28,n/a,20,31,45,32,28,28,34
07/03/2019,n/a,11,13,19,n/a,11,18,33,21,16,17,21
08/03/2019,n/a,12,16,19,n/a,14,19,35,23,16,19,23
09/03/2019,n/a,11,14,16,n/a,14,19,26,22,15,17,23
10/03/2019,n/a,11,14,17,n/a,15,18,22,20,16,17,23
11/03/2019,n/a,13,18,21,n/a,19,23,34,27,23,22,28
12/03/2019,n/a,33,31,36,n/a,32,38,67,48,43,36,42
13/03/2019,n/a,17,20,25,n/a,22,23,39,28,23,25,33
