Date,54T,,,,,,,,,,,,,,,,,,
27/04/2012,38,,,,,,,,,,,,,,,,,,
28/04/2012,38,,,,,,,,,,,,,,,,,,
29/04/2012,34,,,,,,,,,,,,,,,,,,
30/04/2012,29,,,,,,,,,,,,,,,,,,
01/05/2012,27,,,,,,,,,,,,,,,,,,
02/05/2012,19,,,,,,,,,,,,,,,,,,
03/05/2012,20,,,,,,,,,,,,,,,,,,
04/05/2012,15,,,,,,,,,,,,,,,,,,
05/05/2012,20,,,,,,,,,,,,,,,,,,
06/05/2012,18,,,,,,,,,,,,,,,,,,
07/05/2012,23,,,,,,,,,,,,,,,,,,
08/05/2012,32,,,,,,,,,,,,,,,,,,
09/05/2012,37,,,,,,,,,,,,,,,,,,
10/05/2012,30,,,,,,,,,,,,,,,,,,
11/05/2012,29,,,,,,,,,,,,,,,,,,
12/05/2012,29,,,,,,,,,,,,,,,,,,
13/05/2012,30,,,,,,,,,,,,,,,,,,
14/05/2012,29,,,,,,,,,,,,,,,,,,
15/05/2012,34,,,,,,,,,,,,,,,,,,
16/05/2012,29,,,,,,,,,,,,,,,,,,
17/05/2012,47,,,,,,,,,,,,,,,,,,
18/05/2012,33,,,,,,,,,,,,,,,,,,
19/05/2012,25,,,,,,,,,,,,,,,,,,
20/05/2012,20,,,,,,,,,,,,,,,,,,
21/05/2012,12,,,,,,,,,,,,,,,,,,
22/05/2012,24,,,,,,,,,,,,,,,,,,
23/05/2012,26,,,,,,,,,,,,,,,,,,
24/05/2012,25,,,,,,,,,,,,,,,,,,
25/05/2012,29,,,,,,,,,,,,,,,,,,
26/05/2012,16,,,,,,,,,,,,,,,,,,
27/05/2012,14,,,,,,,,,,,,,,,,,,
28/05/2012,N/A,,,,,,,,,,,,,,,,,,
29/05/2012,20,,,,,,,,,,,,,,,,,,
30/05/2012,27,,,,,,,,,,,,,,,,,,
31/05/2012,29,,,,,,,,,,,,,,,,,,
01/06/2012,N/A,,,,,,,,,,,,,,,,,,
02/06/2012,N/A,,,,,,,,,,,,,,,,,,
03/06/2012,30,,,,,,,,,,,,,,,,,,
04/06/2012,31,,,,,,,,,,,,,,,,,,
05/06/2012,40,,,,,,,,,,,,,,,,,,
06/06/2012,30,,,,,,,,,,,,,,,,,,
07/06/2012,29,,,,,,,,,,,,,,,,,,
08/06/2012,20,,,,,,,,,,,,,,,,,,
09/06/2012,16,,,,,,,,,,,,,,,,,,
10/06/2012,19,,,,,,,,,,,,,,,,,,
11/06/2012,20,,,,,,,,,,,,,,,,,,
12/06/2012,23,,,,,,,,,,,,,,,,,,
13/06/2012,29,,,,,,,,,,,,,,,,,,
14/06/2012,27,,,,,,,,,,,,,,,,,,
15/06/2012,35,,,,,,,,,,,,,,,,,,
16/06/2012,25,,,,,,,,,,,,,,,,,,
17/06/2012,23,,,,,,,,,,,,,,,,,,
18/06/2012,19,,,,,,,,,,,,,,,,,,
19/06/2012,24,,,,,,,,,,,,,,,,,,
20/06/2012,23,,,,,,,,,,,,,,,,,,
21/06/2012,24,,,,,,,,,,,,,,,,,,
22/06/2012,29,,,,,,,,,,,,,,,,,,
23/06/2012,30,,,,,,,,,,,,,,,,,,
24/06/2012,24,,,,,,,,,,,,,,,,,,
25/06/2012,25,,,,,,,,,,,,,,,,,,
26/06/2012,24,,,,,,,,,,,,,,,,,,
27/06/2012,27,,,,,,,,,,,,,,,,,,
28/06/2012,29,,,,,,,,,,,,,,,,,,
29/06/2012,23,,,,,,,,,,,,,,,,,,
30/06/2012,26,,,,,,,,,,,,,,,,,,
01/07/2012,20,,,,,,,,,,,,,,,,,,
02/07/2012,22,,,,,,,,,,,,,,,,,,
03/07/2012,31,,,,,,,,,,,,,,,,,,
04/07/2012,27,,,,,,,,,,,,,,,,,,
05/07/2012,30,,,,,,,,,,,,,,,,,,
06/07/2012,25,,,,,,,,,,,,,,,,,,
07/07/2012,25,,,,,,,,,,,,,,,,,,
08/07/2012,16,,,,,,,,,,,,,,,,,,
09/07/2012,26,,,,,,,,,,,,,,,,,,
10/07/2012,31,,,,,,,,,,,,,,,,,,
11/07/2012,27,,,,,,,,,,,,,,,,,,
12/07/2012,20,,,,,,,,,,,,,,,,,,
13/07/2012,23,,,,,,,,,,,,,,,,,,
14/07/2012,26,,,,,,,,,,,,,,,,,,
15/07/2012,29,,,,,,,,,,,,,,,,,,
16/07/2012,21,,,,,,,,,,,,,,,,,,
17/07/2012,23,,,,,,,,,,,,,,,,,,
18/07/2012,27,,,,,,,,,,,,,,,,,,
19/07/2012,23,,,,,,,,,,,,,,,,,,
20/07/2012,28,,,,,,,,,,,,,,,,,,
21/07/2012,20,,,,,,,,,,,,,,,,,,
22/07/2012,26,,,,,,,,,,,,,,,,,,
23/07/2012,25,,,,,,,,,,,,,,,,,,
24/07/2012,27,,,,,,,,,,,,,,,,,,
25/07/2012,21,,,,,,,,,,,,,,,,,,
26/07/2012,26,,,,,,,,,,,,,,,,,,
27/07/2012,24,,,,,,,,,,,,,,,,,,
28/07/2012,22,,,,,,,,,,,,,,,,,,
29/07/2012,27,,,,,,,,,,,,,,,,,,
30/07/2012,31,,,,,,,,,,,,,,,,,,
31/07/2012,21,,,,,,,,,,,,,,,,,,
01/08/2012,23,,,,,,,,,,,,,,,,,,
02/08/2012,17,,,,,,,,,,,,,,,,,,
03/08/2012,24,,,,,,,,,,,,,,,,,,
04/08/2012,24,,,,,,,,,,,,,,,,,,
05/08/2012,24,,,,,,,,,,,,,,,,,,
06/08/2012,24,,,,,,,,,,,,,,,,,,
07/08/2012,23,,,,,,,,,,,,,,,,,,
08/08/2012,21,,,,,,,,,,,,,,,,,,
09/08/2012,23,,,,,,,,,,,,,,,,,,
10/08/2012,22,,,,,,,,,,,,,,,,,,
11/08/2012,21,,,,,,,,,,,,,,,,,,
12/08/2012,N/A,,,,,,,,,,,,,,,,,,
13/08/2012,N/A,,,,,,,,,,,,,,,,,,
14/08/2012,N/A,,,,,,,,,,,,,,,,,,
15/08/2012,N/A,,,,,,,,,,,,,,,,,,
