Temperature - (Celsius), Year, Statistics, Country, ISO3
27.7, 1911, Aug Average, Thailand, THA
27.3, 1911, Sep Average, Thailand, THA
26.7, 1911, Oct Average, Thailand, THA
26.2, 1911, Nov Average, Thailand, THA
24.2, 1911, Dec Average, Thailand, THA
23.3, 1912, Jan Average, Thailand, THA
25.4, 1912, Feb Average, Thailand, THA
28.1, 1912, Mar Average, Thailand, THA
29.3, 1912, Apr Average, Thailand, THA
29.3, 1912, May Average, Thailand, THA
28.2, 1912, Jun Average, Thailand, THA
27.2, 1912, Jul Average, Thailand, THA
26.7, 1912, Aug Average, Thailand, THA
26.8, 1912, Sep Average, Thailand, THA
26.1, 1912, Oct Average, Thailand, THA
23.5, 1912, Nov Average, Thailand, THA
22.7, 1912, Dec Average, Thailand, THA
22.8, 1913, Jan Average, Thailand, THA
25.5, 1913, Feb Average, Thailand, THA
27.4, 1913, Mar Average, Thailand, THA
29.4, 1913, Apr Average, Thailand, THA
27.9, 1913, May Average, Thailand, THA
27.5, 1913, Jun Average, Thailand, THA
26.7, 1913, Jul Average, Thailand, THA
26.9, 1913, Aug Average, Thailand, THA
26.8, 1913, Sep Average, Thailand, THA
26.2, 1913, Oct Average, Thailand, THA
24.0, 1913, Nov Average, Thailand, THA
22.6, 1913, Dec Average, Thailand, THA
22.0, 1914, Jan Average, Thailand, THA
25.5, 1914, Feb Average, Thailand, THA
27.4, 1914, Mar Average, Thailand, THA
29.1, 1914, Apr Average, Thailand, THA
29.1, 1914, May Average, Thailand, THA
27.5, 1914, Jun Average, Thailand, THA
27.0, 1914, Jul Average, Thailand, THA
26.7, 1914, Aug Average, Thailand, THA
26.8, 1914, Sep Average, Thailand, THA
26.1, 1914, Oct Average, Thailand, THA
25.0, 1914, Nov Average, Thailand, THA
23.5, 1914, Dec Average, Thailand, THA
23.2, 1915, Jan Average, Thailand, THA
26.2, 1915, Feb Average, Thailand, THA
27.7, 1915, Mar Average, Thailand, THA
29.0, 1915, Apr Average, Thailand, THA
28.1, 1915, May Average, Thailand, THA
27.8, 1915, Jun Average, Thailand, THA
27.3, 1915, Jul Average, Thailand, THA
27.3, 1915, Aug Average, Thailand, THA
26.7, 1915, Sep Average, Thailand, THA
26.1, 1915, Oct Average, Thailand, THA
23.8, 1915, Nov Average, Thailand, THA
20.7, 1915, Dec Average, Thailand, THA
21.7, 1916, Jan Average, Thailand, THA
24.8, 1916, Feb Average, Thailand, THA
27.6, 1916, Mar Average, Thailand, THA
29.1, 1916, Apr Average, Thailand, THA
28.3, 1916, May Average, Thailand, THA
27.3, 1916, Jun Average, Thailand, THA
27.4, 1916, Jul Average, Thailand, THA
27.0, 1916, Aug Average, Thailand, THA
26.7, 1916, Sep Average, Thailand, THA
25.9, 1916, Oct Average, Thailand, THA
23.5, 1916, Nov Average, Thailand, THA
21.7, 1916, Dec Average, Thailand, THA
22.6, 1917, Jan Average, Thailand, THA
24.8, 1917, Feb Average, Thailand, THA
26.7, 1917, Mar Average, Thailand, THA
29.1, 1917, Apr Average, Thailand, THA
28.4, 1917, May Average, Thailand, THA
27.2, 1917, Jun Average, Thailand, THA
27.1, 1917, Jul Average, Thailand, THA
26.6, 1917, Aug Average, Thailand, THA
26.4, 1917, Sep Average, Thailand, THA
25.6, 1917, Oct Average, Thailand, THA
24.1, 1917, Nov Average, Thailand, THA
21.8, 1917, Dec Average, Thailand, THA
23.0, 1918, Jan Average, Thailand, THA
23.7, 1918, Feb Average, Thailand, THA
26.8, 1918, Mar Average, Thailand, THA
28.2, 1918, Apr Average, Thailand, THA
27.5, 1918, May Average, Thailand, THA
27.5, 1918, Jun Average, Thailand, THA
27.8, 1918, Jul Average, Thailand, THA
27.1, 1918, Aug Average, Thailand, THA
27.3, 1918, Sep Average, Thailand, THA
26.5, 1918, Oct Average, Thailand, THA
25.4, 1918, Nov Average, Thailand, THA
24.0, 1918, Dec Average, Thailand, THA
23.9, 1919, Jan Average, Thailand, THA
25.6, 1919, Feb Average, Thailand, THA
28.1, 1919, Mar Average, Thailand, THA
29.2, 1919, Apr Average, Thailand, THA
28.7, 1919, May Average, Thailand, THA
27.4, 1919, Jun Average, Thailand, THA
27.2, 1919, Jul Average, Thailand, THA
27.2, 1919, Aug Average, Thailand, THA
26.7, 1919, Sep Average, Thailand, THA
26.3, 1919, Oct Average, Thailand, THA
24.5, 1919, Nov Average, Thailand, THA
23.2, 1919, Dec Average, Thailand, THA
22.2, 1920, Jan Average, Thailand, THA
25.0, 1920, Feb Average, Thailand, THA
27.7, 1920, Mar Average, Thailand, THA
28.8, 1920, Apr Average, Thailand, THA
28.5, 1920, May Average, Thailand, THA
27.7, 1920, Jun Average, Thailand, THA
27.3, 1920, Jul Average, Thailand, THA
27.3, 1920, Aug Average, Thailand, THA
26.9, 1920, Sep Average, Thailand, THA
25.9, 1920, Oct Average, Thailand, THA
25.0, 1920, Nov Average, Thailand, THA
23.1, 1920, Dec Average, Thailand, THA
23.1, 1921, Jan Average, Thailand, THA
24.5, 1921, Feb Average, Thailand, THA
27.5, 1921, Mar Average, Thailand, THA
29.1, 1921, Apr Average, Thailand, THA
28.0, 1921, May Average, Thailand, THA
27.7, 1921, Jun Average, Thailand, THA
26.7, 1921, Jul Average, Thailand, THA
27.0, 1921, Aug Average, Thailand, THA
26.4, 1921, Sep Average, Thailand, THA
25.9, 1921, Oct Average, Thailand, THA
23.8, 1921, Nov Average, Thailand, THA
22.8, 1921, Dec Average, Thailand, THA
23.7, 1922, Jan Average, Thailand, THA
25.8, 1922, Feb Average, Thailand, THA
26.9, 1922, Mar Average, Thailand, THA
28.8, 1922, Apr Average, Thailand, THA
28.8, 1922, May Average, Thailand, THA
27.8, 1922, Jun Average, Thailand, THA
26.8, 1922, Jul Average, Thailand, THA
27.0, 1922, Aug Average, Thailand, THA
27.0, 1922, Sep Average, Thailand, THA
26.2, 1922, Oct Average, Thailand, THA
24.0, 1922, Nov Average, Thailand, THA
22.3, 1922, Dec Average, Thailand, THA
23.3, 1923, Jan Average, Thailand, THA
24.2, 1923, Feb Average, Thailand, THA
27.4, 1923, Mar Average, Thailand, THA
28.3, 1923, Apr Average, Thailand, THA
27.7, 1923, May Average, Thailand, THA
27.4, 1923, Jun Average, Thailand, THA
26.5, 1923, Jul Average, Thailand, THA
26.5, 1923, Aug Average, Thailand, THA
26.7, 1923, Sep Average, Thailand, THA
26.1, 1923, Oct Average, Thailand, THA
25.2, 1923, Nov Average, Thailand, THA
23.5, 1923, Dec Average, Thailand, THA
23.8, 1924, Jan Average, Thailand, THA
25.2, 1924, Feb Average, Thailand, THA
27.8, 1924, Mar Average, Thailand, THA
28.7, 1924, Apr Average, Thailand, THA
28.6, 1924, May Average, Thailand, THA
27.6, 1924, Jun Average, Thailand, THA
26.5, 1924, Jul Average, Thailand, THA
27.0, 1924, Aug Average, Thailand, THA
26.8, 1924, Sep Average, Thailand, THA
25.7, 1924, Oct Average, Thailand, THA
25.3, 1924, Nov Average, Thailand, THA
21.7, 1924, Dec Average, Thailand, THA
22.9, 1925, Jan Average, Thailand, THA
24.1, 1925, Feb Average, Thailand, THA
27.5, 1925, Mar Average, Thailand, THA
27.7, 1925, Apr Average, Thailand, THA
28.2, 1925, May Average, Thailand, THA
27.6, 1925, Jun Average, Thailand, THA
27.3, 1925, Jul Average, Thailand, THA
27.1, 1925, Aug Average, Thailand, THA
27.0, 1925, Sep Average, Thailand, THA
25.8, 1925, Oct Average, Thailand, THA
24.9, 1925, Nov Average, Thailand, THA
22.0, 1925, Dec Average, Thailand, THA
23.7, 1926, Jan Average, Thailand, THA
25.2, 1926, Feb Average, Thailand, THA
27.3, 1926, Mar Average, Thailand, THA
29.4, 1926, Apr Average, Thailand, THA
29.2, 1926, May Average, Thailand, THA
27.8, 1926, Jun Average, Thailand, THA
27.4, 1926, Jul Average, Thailand, THA
26.9, 1926, Aug Average, Thailand, THA
27.1, 1926, Sep Average, Thailand, THA
25.9, 1926, Oct Average, Thailand, THA
24.8, 1926, Nov Average, Thailand, THA
23.3, 1926, Dec Average, Thailand, THA
23.3, 1927, Jan Average, Thailand, THA
25.1, 1927, Feb Average, Thailand, THA
27.4, 1927, Mar Average, Thailand, THA
28.2, 1927, Apr Average, Thailand, THA
27.7, 1927, May Average, Thailand, THA
27.7, 1927, Jun Average, Thailand, THA
27.2, 1927, Jul Average, Thailand, THA
27.0, 1927, Aug Average, Thailand, THA
26.7, 1927, Sep Average, Thailand, THA
26.0, 1927, Oct Average, Thailand, THA
24.9, 1927, Nov Average, Thailand, THA
23.3, 1927, Dec Average, Thailand, THA
24.8, 1928, Jan Average, Thailand, THA
24.9, 1928, Feb Average, Thailand, THA
27.6, 1928, Mar Average, Thailand, THA
28.7, 1928, Apr Average, Thailand, THA
28.3, 1928, May Average, Thailand, THA
27.2, 1928, Jun Average, Thailand, THA
27.2, 1928, Jul Average, Thailand, THA
27.1, 1928, Aug Average, Thailand, THA
26.9, 1928, Sep Average, Thailand, THA
25.4, 1928, Oct Average, Thailand, THA
24.2, 1928, Nov Average, Thailand, THA
23.6, 1928, Dec Average, Thailand, THA
24.2, 1929, Jan Average, Thailand, THA
25.1, 1929, Feb Average, Thailand, THA
26.8, 1929, Mar Average, Thailand, THA
28.4, 1929, Apr Average, Thailand, THA
28.5, 1929, May Average, Thailand, THA
27.4, 1929, Jun Average, Thailand, THA
27.0, 1929, Jul Average, Thailand, THA
27.0, 1929, Aug Average, Thailand, THA
26.9, 1929, Sep Average, Thailand, THA
26.2, 1929, Oct Average, Thailand, THA
24.4, 1929, Nov Average, Thailand, THA
24.0, 1929, Dec Average, Thailand, THA
23.1, 1930, Jan Average, Thailand, THA
25.0, 1930, Feb Average, Thailand, THA
26.7, 1930, Mar Average, Thailand, THA
28.8, 1930, Apr Average, Thailand, THA
28.2, 1930, May Average, Thailand, THA
27.7, 1930, Jun Average, Thailand, THA
27.2, 1930, Jul Average, Thailand, THA
26.9, 1930, Aug Average, Thailand, THA
27.1, 1930, Sep Average, Thailand, THA
26.4, 1930, Oct Average, Thailand, THA
25.0, 1930, Nov Average, Thailand, THA
23.6, 1930, Dec Average, Thailand, THA
23.9, 1931, Jan Average, Thailand, THA
25.3, 1931, Feb Average, Thailand, THA
27.9, 1931, Mar Average, Thailand, THA
29.9, 1931, Apr Average, Thailand, THA
29.3, 1931, May Average, Thailand, THA
28.5, 1931, Jun Average, Thailand, THA
27.6, 1931, Jul Average, Thailand, THA
27.4, 1931, Aug Average, Thailand, THA
26.8, 1931, Sep Average, Thailand, THA
25.6, 1931, Oct Average, Thailand, THA
24.1, 1931, Nov Average, Thailand, THA
23.2, 1931, Dec Average, Thailand, THA
22.6, 1932, Jan Average, Thailand, THA
24.8, 1932, Feb Average, Thailand, THA
27.1, 1932, Mar Average, Thailand, THA
29.1, 1932, Apr Average, Thailand, THA
29.4, 1932, May Average, Thailand, THA
28.1, 1932, Jun Average, Thailand, THA
27.3, 1932, Jul Average, Thailand, THA
27.7, 1932, Aug Average, Thailand, THA
26.9, 1932, Sep Average, Thailand, THA
26.2, 1932, Oct Average, Thailand, THA
25.5, 1932, Nov Average, Thailand, THA
22.3, 1932, Dec Average, Thailand, THA
23.6, 1933, Jan Average, Thailand, THA
25.6, 1933, Feb Average, Thailand, THA
27.6, 1933, Mar Average, Thailand, THA
29.2, 1933, Apr Average, Thailand, THA
28.6, 1933, May Average, Thailand, THA
27.8, 1933, Jun Average, Thailand, THA
27.2, 1933, Jul Average, Thailand, THA
27.4, 1933, Aug Average, Thailand, THA
27.1, 1933, Sep Average, Thailand, THA
26.5, 1933, Oct Average, Thailand, THA
24.1, 1933, Nov Average, Thailand, THA
23.0, 1933, Dec Average, Thailand, THA
22.9, 1934, Jan Average, Thailand, THA
24.7, 1934, Feb Average, Thailand, THA
27.2, 1934, Mar Average, Thailand, THA
28.7, 1934, Apr Average, Thailand, THA
29.2, 1934, May Average, Thailand, THA
27.9, 1934, Jun Average, Thailand, THA
27.2, 1934, Jul Average, Thailand, THA
27.1, 1934, Aug Average, Thailand, THA
27.2, 1934, Sep Average, Thailand, THA
26.1, 1934, Oct Average, Thailand, THA
24.9, 1934, Nov Average, Thailand, THA
21.6, 1934, Dec Average, Thailand, THA
24.0, 1935, Jan Average, Thailand, THA
25.8, 1935, Feb Average, Thailand, THA
28.0, 1935, Mar Average, Thailand, THA
29.1, 1935, Apr Average, Thailand, THA
28.7, 1935, May Average, Thailand, THA
27.8, 1935, Jun Average, Thailand, THA
27.2, 1935, Jul Average, Thailand, THA
27.0, 1935, Aug Average, Thailand, THA
26.9, 1935, Sep Average, Thailand, THA
27.0, 1935, Oct Average, Thailand, THA
25.5, 1935, Nov Average, Thailand, THA
23.7, 1935, Dec Average, Thailand, THA
22.7, 1936, Jan Average, Thailand, THA
24.7, 1936, Feb Average, Thailand, THA
27.0, 1936, Mar Average, Thailand, THA
29.2, 1936, Apr Average, Thailand, THA
28.8, 1936, May Average, Thailand, THA
27.5, 1936, Jun Average, Thailand, THA
27.2, 1936, Jul Average, Thailand, THA
27.1, 1936, Aug Average, Thailand, THA
26.8, 1936, Sep Average, Thailand, THA
25.6, 1936, Oct Average, Thailand, THA
25.1, 1936, Nov Average, Thailand, THA
24.6, 1936, Dec Average, Thailand, THA
23.8, 1937, Jan Average, Thailand, THA
25.8, 1937, Feb Average, Thailand, THA
28.0, 1937, Mar Average, Thailand, THA
29.5, 1937, Apr Average, Thailand, THA
27.7, 1937, May Average, Thailand, THA
27.5, 1937, Jun Average, Thailand, THA
26.8, 1937, Jul Average, Thailand, THA
26.9, 1937, Aug Average, Thailand, THA
26.6, 1937, Sep Average, Thailand, THA
26.0, 1937, Oct Average, Thailand, THA
25.4, 1937, Nov Average, Thailand, THA
23.6, 1937, Dec Average, Thailand, THA
23.7, 1938, Jan Average, Thailand, THA
25.2, 1938, Feb Average, Thailand, THA
27.0, 1938, Mar Average, Thailand, THA
28.5, 1938, Apr Average, Thailand, THA
27.4, 1938, May Average, Thailand, THA
26.9, 1938, Jun Average, Thailand, THA
26.3, 1938, Jul Average, Thailand, THA
27.0, 1938, Aug Average, Thailand, THA
26.6, 1938, Sep Average, Thailand, THA
26.0, 1938, Oct Average, Thailand, THA
23.6, 1938, Nov Average, Thailand, THA
23.2, 1938, Dec Average, Thailand, THA
23.4, 1939, Jan Average, Thailand, THA
25.0, 1939, Feb Average, Thailand, THA
26.9, 1939, Mar Average, Thailand, THA
28.5, 1939, Apr Average, Thailand, THA
28.0, 1939, May Average, Thailand, THA
27.2, 1939, Jun Average, Thailand, THA
27.0, 1939, Jul Average, Thailand, THA
26.9, 1939, Aug Average, Thailand, THA
26.6, 1939, Sep Average, Thailand, THA
26.2, 1939, Oct Average, Thailand, THA
25.3, 1939, Nov Average, Thailand, THA
20.0, 1939, Dec Average, Thailand, THA
21.0, 1940, Jan Average, Thailand, THA
24.9, 1940, Feb Average, Thailand, THA
27.0, 1940, Mar Average, Thailand, THA
29.6, 1940, Apr Average, Thailand, THA
28.6, 1940, May Average, Thailand, THA
27.8, 1940, Jun Average, Thailand, THA
27.2, 1940, Jul Average, Thailand, THA
26.8, 1940, Aug Average, Thailand, THA
27.2, 1940, Sep Average, Thailand, THA
26.9, 1940, Oct Average, Thailand, THA
25.3, 1940, Nov Average, Thailand, THA
23.7, 1940, Dec Average, Thailand, THA
25.6, 1941, Jan Average, Thailand, THA
26.1, 1941, Feb Average, Thailand, THA
28.3, 1941, Mar Average, Thailand, THA
30.0, 1941, Apr Average, Thailand, THA
28.9, 1941, May Average, Thailand, THA
28.0, 1941, Jun Average, Thailand, THA
27.7, 1941, Jul Average, Thailand, THA
27.3, 1941, Aug Average, Thailand, THA
27.4, 1941, Sep Average, Thailand, THA
26.6, 1941, Oct Average, Thailand, THA
25.5, 1941, Nov Average, Thailand, THA
24.4, 1941, Dec Average, Thailand, THA
23.3, 1942, Jan Average, Thailand, THA
26.0, 1942, Feb Average, Thailand, THA
28.0, 1942, Mar Average, Thailand, THA
28.9, 1942, Apr Average, Thailand, THA
28.1, 1942, May Average, Thailand, THA
27.6, 1942, Jun Average, Thailand, THA
27.1, 1942, Jul Average, Thailand, THA
26.8, 1942, Aug Average, Thailand, THA
26.8, 1942, Sep Average, Thailand, THA
26.3, 1942, Oct Average, Thailand, THA
24.9, 1942, Nov Average, Thailand, THA
23.1, 1942, Dec Average, Thailand, THA
22.3, 1943, Jan Average, Thailand, THA
24.6, 1943, Feb Average, Thailand, THA
27.5, 1943, Mar Average, Thailand, THA
27.9, 1943, Apr Average, Thailand, THA
28.3, 1943, May Average, Thailand, THA
27.3, 1943, Jun Average, Thailand, THA
27.0, 1943, Jul Average, Thailand, THA
26.8, 1943, Aug Average, Thailand, THA
26.6, 1943, Sep Average, Thailand, THA
26.3, 1943, Oct Average, Thailand, THA
24.3, 1943, Nov Average, Thailand, THA
22.4, 1943, Dec Average, Thailand, THA
23.9, 1944, Jan Average, Thailand, THA
25.8, 1944, Feb Average, Thailand, THA
27.7, 1944, Mar Average, Thailand, THA
29.4, 1944, Apr Average, Thailand, THA
28.1, 1944, May Average, Thailand, THA
27.4, 1944, Jun Average, Thailand, THA
27.0, 1944, Jul Average, Thailand, THA
26.9, 1944, Aug Average, Thailand, THA
27.1, 1944, Sep Average, Thailand, THA
26.5, 1944, Oct Average, Thailand, THA
24.7, 1944, Nov Average, Thailand, THA
21.8, 1944, Dec Average, Thailand, THA
23.4, 1945, Jan Average, Thailand, THA
25.7, 1945, Feb Average, Thailand, THA
26.9, 1945, Mar Average, Thailand, THA
28.6, 1945, Apr Average, Thailand, THA
28.0, 1945, May Average, Thailand, THA
27.4, 1945, Jun Average, Thailand, THA
27.4, 1945, Jul Average, Thailand, THA
27.2, 1945, Aug Average, Thailand, THA
26.8, 1945, Sep Average, Thailand, THA
25.7, 1945, Oct Average, Thailand, THA
25.5, 1945, Nov Average, Thailand, THA
23.5, 1945, Dec Average, Thailand, THA
22.8, 1946, Jan Average, Thailand, THA
25.1, 1946, Feb Average, Thailand, THA
28.3, 1946, Mar Average, Thailand, THA
28.6, 1946, Apr Average, Thailand, THA
28.0, 1946, May Average, Thailand, THA
28.0, 1946, Jun Average, Thailand, THA
27.4, 1946, Jul Average, Thailand, THA
27.1, 1946, Aug Average, Thailand, THA
26.9, 1946, Sep Average, Thailand, THA
26.1, 1946, Oct Average, Thailand, THA
25.1, 1946, Nov Average, Thailand, THA
24.9, 1946, Dec Average, Thailand, THA
25.6, 1947, Jan Average, Thailand, THA
25.8, 1947, Feb Average, Thailand, THA
27.8, 1947, Mar Average, Thailand, THA
28.4, 1947, Apr Average, Thailand, THA
29.0, 1947, May Average, Thailand, THA
27.8, 1947, Jun Average, Thailand, THA
27.2, 1947, Jul Average, Thailand, THA
27.2, 1947, Aug Average, Thailand, THA
27.2, 1947, Sep Average, Thailand, THA
26.6, 1947, Oct Average, Thailand, THA
24.5, 1947, Nov Average, Thailand, THA
23.2, 1947, Dec Average, Thailand, THA
22.9, 1948, Jan Average, Thailand, THA
25.9, 1948, Feb Average, Thailand, THA
27.7, 1948, Mar Average, Thailand, THA
28.2, 1948, Apr Average, Thailand, THA
28.0, 1948, May Average, Thailand, THA
27.9, 1948, Jun Average, Thailand, THA
27.1, 1948, Jul Average, Thailand, THA
27.2, 1948, Aug Average, Thailand, THA
26.9, 1948, Sep Average, Thailand, THA
26.2, 1948, Oct Average, Thailand, THA
23.5, 1948, Nov Average, Thailand, THA
23.9, 1948, Dec Average, Thailand, THA
22.3, 1949, Jan Average, Thailand, THA
24.9, 1949, Feb Average, Thailand, THA
27.6, 1949, Mar Average, Thailand, THA
28.2, 1949, Apr Average, Thailand, THA
28.2, 1949, May Average, Thailand, THA
28.1, 1949, Jun Average, Thailand, THA
27.2, 1949, Jul Average, Thailand, THA
27.0, 1949, Aug Average, Thailand, THA
27.0, 1949, Sep Average, Thailand, THA
26.6, 1949, Oct Average, Thailand, THA
24.9, 1949, Nov Average, Thailand, THA
23.7, 1949, Dec Average, Thailand, THA
23.2, 1950, Jan Average, Thailand, THA
24.8, 1950, Feb Average, Thailand, THA
27.4, 1950, Mar Average, Thailand, THA
28.5, 1950, Apr Average, Thailand, THA
28.3, 1950, May Average, Thailand, THA
27.3, 1950, Jun Average, Thailand, THA
27.0, 1950, Jul Average, Thailand, THA
27.3, 1950, Aug Average, Thailand, THA
26.8, 1950, Sep Average, Thailand, THA
26.1, 1950, Oct Average, Thailand, THA
25.1, 1950, Nov Average, Thailand, THA
21.6, 1950, Dec Average, Thailand, THA
22.6, 1951, Jan Average, Thailand, THA
24.7, 1951, Feb Average, Thailand, THA
27.2, 1951, Mar Average, Thailand, THA
29.0, 1951, Apr Average, Thailand, THA
28.2, 1951, May Average, Thailand, THA
27.0, 1951, Jun Average, Thailand, THA
26.9, 1951, Jul Average, Thailand, THA
27.0, 1951, Aug Average, Thailand, THA
27.0, 1951, Sep Average, Thailand, THA
26.3, 1951, Oct Average, Thailand, THA
25.3, 1951, Nov Average, Thailand, THA
23.0, 1951, Dec Average, Thailand, THA
23.4, 1952, Jan Average, Thailand, THA
26.1, 1952, Feb Average, Thailand, THA
27.1, 1952, Mar Average, Thailand, THA
28.5, 1952, Apr Average, Thailand, THA
28.8, 1952, May Average, Thailand, THA
27.5, 1952, Jun Average, Thailand, THA
27.0, 1952, Jul Average, Thailand, THA
26.6, 1952, Aug Average, Thailand, THA
26.6, 1952, Sep Average, Thailand, THA
26.2, 1952, Oct Average, Thailand, THA
24.9, 1952, Nov Average, Thailand, THA
21.6, 1952, Dec Average, Thailand, THA
23.3, 1953, Jan Average, Thailand, THA
24.8, 1953, Feb Average, Thailand, THA
27.0, 1953, Mar Average, Thailand, THA
28.6, 1953, Apr Average, Thailand, THA
28.0, 1953, May Average, Thailand, THA
27.4, 1953, Jun Average, Thailand, THA
27.0, 1953, Jul Average, Thailand, THA
26.9, 1953, Aug Average, Thailand, THA
26.7, 1953, Sep Average, Thailand, THA
26.8, 1953, Oct Average, Thailand, THA
24.8, 1953, Nov Average, Thailand, THA
22.9, 1953, Dec Average, Thailand, THA
24.4, 1954, Jan Average, Thailand, THA
25.1, 1954, Feb Average, Thailand, THA
