Temperature - (Celsius), Year, Statistics, Country, ISO3
26.8, 1954, Mar Average, Thailand, THA
29.3, 1954, Apr Average, Thailand, THA
28.0, 1954, May Average, Thailand, THA
27.7, 1954, Jun Average, Thailand, THA
27.3, 1954, Jul Average, Thailand, THA
26.9, 1954, Aug Average, Thailand, THA
26.3, 1954, Sep Average, Thailand, THA
25.8, 1954, Oct Average, Thailand, THA
23.9, 1954, Nov Average, Thailand, THA
22.1, 1954, Dec Average, Thailand, THA
21.4, 1955, Jan Average, Thailand, THA
24.9, 1955, Feb Average, Thailand, THA
27.0, 1955, Mar Average, Thailand, THA
28.0, 1955, Apr Average, Thailand, THA
28.2, 1955, May Average, Thailand, THA
26.8, 1955, Jun Average, Thailand, THA
27.0, 1955, Jul Average, Thailand, THA
26.6, 1955, Aug Average, Thailand, THA
26.7, 1955, Sep Average, Thailand, THA
25.9, 1955, Oct Average, Thailand, THA
23.4, 1955, Nov Average, Thailand, THA
21.4, 1955, Dec Average, Thailand, THA
21.6, 1956, Jan Average, Thailand, THA
25.3, 1956, Feb Average, Thailand, THA
27.5, 1956, Mar Average, Thailand, THA
28.3, 1956, Apr Average, Thailand, THA
27.4, 1956, May Average, Thailand, THA
27.1, 1956, Jun Average, Thailand, THA
26.7, 1956, Jul Average, Thailand, THA
26.5, 1956, Aug Average, Thailand, THA
26.4, 1956, Sep Average, Thailand, THA
25.7, 1956, Oct Average, Thailand, THA
23.2, 1956, Nov Average, Thailand, THA
21.9, 1956, Dec Average, Thailand, THA
22.9, 1957, Jan Average, Thailand, THA
24.4, 1957, Feb Average, Thailand, THA
26.8, 1957, Mar Average, Thailand, THA
28.8, 1957, Apr Average, Thailand, THA
29.5, 1957, May Average, Thailand, THA
27.9, 1957, Jun Average, Thailand, THA
27.2, 1957, Jul Average, Thailand, THA
27.1, 1957, Aug Average, Thailand, THA
26.7, 1957, Sep Average, Thailand, THA
26.0, 1957, Oct Average, Thailand, THA
25.0, 1957, Nov Average, Thailand, THA
23.7, 1957, Dec Average, Thailand, THA
23.7, 1958, Jan Average, Thailand, THA
24.7, 1958, Feb Average, Thailand, THA
28.2, 1958, Mar Average, Thailand, THA
29.6, 1958, Apr Average, Thailand, THA
29.7, 1958, May Average, Thailand, THA
28.0, 1958, Jun Average, Thailand, THA
27.2, 1958, Jul Average, Thailand, THA
26.9, 1958, Aug Average, Thailand, THA
26.7, 1958, Sep Average, Thailand, THA
26.1, 1958, Oct Average, Thailand, THA
23.6, 1958, Nov Average, Thailand, THA
21.8, 1958, Dec Average, Thailand, THA
22.9, 1959, Jan Average, Thailand, THA
25.9, 1959, Feb Average, Thailand, THA
26.5, 1959, Mar Average, Thailand, THA
29.3, 1959, Apr Average, Thailand, THA
28.6, 1959, May Average, Thailand, THA
28.3, 1959, Jun Average, Thailand, THA
26.8, 1959, Jul Average, Thailand, THA
26.9, 1959, Aug Average, Thailand, THA
26.5, 1959, Sep Average, Thailand, THA
26.1, 1959, Oct Average, Thailand, THA
25.2, 1959, Nov Average, Thailand, THA
24.8, 1959, Dec Average, Thailand, THA
23.6, 1960, Jan Average, Thailand, THA
24.8, 1960, Feb Average, Thailand, THA
28.0, 1960, Mar Average, Thailand, THA
29.9, 1960, Apr Average, Thailand, THA
28.8, 1960, May Average, Thailand, THA
27.8, 1960, Jun Average, Thailand, THA
27.2, 1960, Jul Average, Thailand, THA
27.2, 1960, Aug Average, Thailand, THA
26.8, 1960, Sep Average, Thailand, THA
26.1, 1960, Oct Average, Thailand, THA
25.3, 1960, Nov Average, Thailand, THA
22.5, 1960, Dec Average, Thailand, THA
22.5, 1961, Jan Average, Thailand, THA
25.1, 1961, Feb Average, Thailand, THA
27.2, 1961, Mar Average, Thailand, THA
29.1, 1961, Apr Average, Thailand, THA
28.0, 1961, May Average, Thailand, THA
27.4, 1961, Jun Average, Thailand, THA
27.1, 1961, Jul Average, Thailand, THA
26.9, 1961, Aug Average, Thailand, THA
26.5, 1961, Sep Average, Thailand, THA
25.9, 1961, Oct Average, Thailand, THA
25.0, 1961, Nov Average, Thailand, THA
23.4, 1961, Dec Average, Thailand, THA
22.1, 1962, Jan Average, Thailand, THA
24.0, 1962, Feb Average, Thailand, THA
27.2, 1962, Mar Average, Thailand, THA
29.1, 1962, Apr Average, Thailand, THA
28.4, 1962, May Average, Thailand, THA
27.5, 1962, Jun Average, Thailand, THA
27.0, 1962, Jul Average, Thailand, THA
26.7, 1962, Aug Average, Thailand, THA
26.5, 1962, Sep Average, Thailand, THA
26.1, 1962, Oct Average, Thailand, THA
24.8, 1962, Nov Average, Thailand, THA
22.8, 1962, Dec Average, Thailand, THA
20.5, 1963, Jan Average, Thailand, THA
24.4, 1963, Feb Average, Thailand, THA
26.7, 1963, Mar Average, Thailand, THA
28.5, 1963, Apr Average, Thailand, THA
29.4, 1963, May Average, Thailand, THA
27.6, 1963, Jun Average, Thailand, THA
26.7, 1963, Jul Average, Thailand, THA
26.9, 1963, Aug Average, Thailand, THA
26.9, 1963, Sep Average, Thailand, THA
26.1, 1963, Oct Average, Thailand, THA
25.5, 1963, Nov Average, Thailand, THA
22.9, 1963, Dec Average, Thailand, THA
23.5, 1964, Jan Average, Thailand, THA
25.0, 1964, Feb Average, Thailand, THA
27.2, 1964, Mar Average, Thailand, THA
29.2, 1964, Apr Average, Thailand, THA
27.7, 1964, May Average, Thailand, THA
27.6, 1964, Jun Average, Thailand, THA
27.2, 1964, Jul Average, Thailand, THA
26.9, 1964, Aug Average, Thailand, THA
26.7, 1964, Sep Average, Thailand, THA
26.4, 1964, Oct Average, Thailand, THA
23.5, 1964, Nov Average, Thailand, THA
22.0, 1964, Dec Average, Thailand, THA
21.8, 1965, Jan Average, Thailand, THA
25.5, 1965, Feb Average, Thailand, THA
26.7, 1965, Mar Average, Thailand, THA
28.6, 1965, Apr Average, Thailand, THA
28.3, 1965, May Average, Thailand, THA
27.0, 1965, Jun Average, Thailand, THA
27.2, 1965, Jul Average, Thailand, THA
27.0, 1965, Aug Average, Thailand, THA
26.5, 1965, Sep Average, Thailand, THA
26.4, 1965, Oct Average, Thailand, THA
25.1, 1965, Nov Average, Thailand, THA
24.4, 1965, Dec Average, Thailand, THA
24.5, 1966, Jan Average, Thailand, THA
26.1, 1966, Feb Average, Thailand, THA
28.0, 1966, Mar Average, Thailand, THA
29.4, 1966, Apr Average, Thailand, THA
28.0, 1966, May Average, Thailand, THA
27.6, 1966, Jun Average, Thailand, THA
27.3, 1966, Jul Average, Thailand, THA
26.8, 1966, Aug Average, Thailand, THA
26.5, 1966, Sep Average, Thailand, THA
26.5, 1966, Oct Average, Thailand, THA
25.1, 1966, Nov Average, Thailand, THA
24.5, 1966, Dec Average, Thailand, THA
22.6, 1967, Jan Average, Thailand, THA
24.4, 1967, Feb Average, Thailand, THA
27.0, 1967, Mar Average, Thailand, THA
28.4, 1967, Apr Average, Thailand, THA
28.3, 1967, May Average, Thailand, THA
27.9, 1967, Jun Average, Thailand, THA
27.4, 1967, Jul Average, Thailand, THA
27.0, 1967, Aug Average, Thailand, THA
26.7, 1967, Sep Average, Thailand, THA
25.7, 1967, Oct Average, Thailand, THA
24.9, 1967, Nov Average, Thailand, THA
22.2, 1967, Dec Average, Thailand, THA
23.0, 1968, Jan Average, Thailand, THA
24.4, 1968, Feb Average, Thailand, THA
27.3, 1968, Mar Average, Thailand, THA
27.8, 1968, Apr Average, Thailand, THA
28.1, 1968, May Average, Thailand, THA
27.5, 1968, Jun Average, Thailand, THA
27.4, 1968, Jul Average, Thailand, THA
27.2, 1968, Aug Average, Thailand, THA
27.0, 1968, Sep Average, Thailand, THA
26.2, 1968, Oct Average, Thailand, THA
25.7, 1968, Nov Average, Thailand, THA
24.7, 1968, Dec Average, Thailand, THA
24.9, 1969, Jan Average, Thailand, THA
25.6, 1969, Feb Average, Thailand, THA
28.1, 1969, Mar Average, Thailand, THA
29.4, 1969, Apr Average, Thailand, THA
29.1, 1969, May Average, Thailand, THA
27.8, 1969, Jun Average, Thailand, THA
26.9, 1969, Jul Average, Thailand, THA
26.9, 1969, Aug Average, Thailand, THA
26.7, 1969, Sep Average, Thailand, THA
26.6, 1969, Oct Average, Thailand, THA
23.9, 1969, Nov Average, Thailand, THA
22.1, 1969, Dec Average, Thailand, THA
23.6, 1970, Jan Average, Thailand, THA
25.0, 1970, Feb Average, Thailand, THA
27.9, 1970, Mar Average, Thailand, THA
28.3, 1970, Apr Average, Thailand, THA
28.3, 1970, May Average, Thailand, THA
27.3, 1970, Jun Average, Thailand, THA
27.0, 1970, Jul Average, Thailand, THA
26.5, 1970, Aug Average, Thailand, THA
26.8, 1970, Sep Average, Thailand, THA
26.0, 1970, Oct Average, Thailand, THA
24.4, 1970, Nov Average, Thailand, THA
23.9, 1970, Dec Average, Thailand, THA
21.9, 1971, Jan Average, Thailand, THA
24.1, 1971, Feb Average, Thailand, THA
26.6, 1971, Mar Average, Thailand, THA
28.6, 1971, Apr Average, Thailand, THA
28.1, 1971, May Average, Thailand, THA
27.0, 1971, Jun Average, Thailand, THA
26.6, 1971, Jul Average, Thailand, THA
26.5, 1971, Aug Average, Thailand, THA
27.0, 1971, Sep Average, Thailand, THA
25.4, 1971, Oct Average, Thailand, THA
23.0, 1971, Nov Average, Thailand, THA
23.1, 1971, Dec Average, Thailand, THA
22.0, 1972, Jan Average, Thailand, THA
25.3, 1972, Feb Average, Thailand, THA
26.5, 1972, Mar Average, Thailand, THA
27.7, 1972, Apr Average, Thailand, THA
29.5, 1972, May Average, Thailand, THA
27.7, 1972, Jun Average, Thailand, THA
27.6, 1972, Jul Average, Thailand, THA
27.1, 1972, Aug Average, Thailand, THA
27.0, 1972, Sep Average, Thailand, THA
26.9, 1972, Oct Average, Thailand, THA
25.6, 1972, Nov Average, Thailand, THA
23.9, 1972, Dec Average, Thailand, THA
23.5, 1973, Jan Average, Thailand, THA
26.3, 1973, Feb Average, Thailand, THA
27.9, 1973, Mar Average, Thailand, THA
29.8, 1973, Apr Average, Thailand, THA
28.5, 1973, May Average, Thailand, THA
28.1, 1973, Jun Average, Thailand, THA
27.5, 1973, Jul Average, Thailand, THA
27.1, 1973, Aug Average, Thailand, THA
26.8, 1973, Sep Average, Thailand, THA
26.2, 1973, Oct Average, Thailand, THA
23.8, 1973, Nov Average, Thailand, THA
21.5, 1973, Dec Average, Thailand, THA
22.2, 1974, Jan Average, Thailand, THA
24.0, 1974, Feb Average, Thailand, THA
26.4, 1974, Mar Average, Thailand, THA
28.1, 1974, Apr Average, Thailand, THA
27.8, 1974, May Average, Thailand, THA
27.4, 1974, Jun Average, Thailand, THA
27.2, 1974, Jul Average, Thailand, THA
26.9, 1974, Aug Average, Thailand, THA
27.0, 1974, Sep Average, Thailand, THA
26.4, 1974, Oct Average, Thailand, THA
24.7, 1974, Nov Average, Thailand, THA
22.8, 1974, Dec Average, Thailand, THA
23.5, 1975, Jan Average, Thailand, THA
25.4, 1975, Feb Average, Thailand, THA
27.8, 1975, Mar Average, Thailand, THA
29.3, 1975, Apr Average, Thailand, THA
28.0, 1975, May Average, Thailand, THA
27.4, 1975, Jun Average, Thailand, THA
27.1, 1975, Jul Average, Thailand, THA
26.9, 1975, Aug Average, Thailand, THA
26.7, 1975, Sep Average, Thailand, THA
26.4, 1975, Oct Average, Thailand, THA
24.3, 1975, Nov Average, Thailand, THA
21.0, 1975, Dec Average, Thailand, THA
22.7, 1976, Jan Average, Thailand, THA
25.2, 1976, Feb Average, Thailand, THA
26.9, 1976, Mar Average, Thailand, THA
28.7, 1976, Apr Average, Thailand, THA
27.5, 1976, May Average, Thailand, THA
27.8, 1976, Jun Average, Thailand, THA
27.3, 1976, Jul Average, Thailand, THA
26.6, 1976, Aug Average, Thailand, THA
26.9, 1976, Sep Average, Thailand, THA
26.6, 1976, Oct Average, Thailand, THA
23.6, 1976, Nov Average, Thailand, THA
22.8, 1976, Dec Average, Thailand, THA
23.7, 1977, Jan Average, Thailand, THA
23.9, 1977, Feb Average, Thailand, THA
26.8, 1977, Mar Average, Thailand, THA
28.6, 1977, Apr Average, Thailand, THA
28.2, 1977, May Average, Thailand, THA
28.5, 1977, Jun Average, Thailand, THA
27.6, 1977, Jul Average, Thailand, THA
27.3, 1977, Aug Average, Thailand, THA
26.7, 1977, Sep Average, Thailand, THA
26.8, 1977, Oct Average, Thailand, THA
24.3, 1977, Nov Average, Thailand, THA
23.1, 1977, Dec Average, Thailand, THA
24.3, 1978, Jan Average, Thailand, THA
25.2, 1978, Feb Average, Thailand, THA
28.2, 1978, Mar Average, Thailand, THA
29.4, 1978, Apr Average, Thailand, THA
28.5, 1978, May Average, Thailand, THA
28.1, 1978, Jun Average, Thailand, THA
27.2, 1978, Jul Average, Thailand, THA
27.1, 1978, Aug Average, Thailand, THA
26.7, 1978, Sep Average, Thailand, THA
26.3, 1978, Oct Average, Thailand, THA
24.8, 1978, Nov Average, Thailand, THA
23.6, 1978, Dec Average, Thailand, THA
25.1, 1979, Jan Average, Thailand, THA
26.6, 1979, Feb Average, Thailand, THA
28.9, 1979, Mar Average, Thailand, THA
29.7, 1979, Apr Average, Thailand, THA
29.1, 1979, May Average, Thailand, THA
27.8, 1979, Jun Average, Thailand, THA
28.0, 1979, Jul Average, Thailand, THA
27.4, 1979, Aug Average, Thailand, THA
27.3, 1979, Sep Average, Thailand, THA
26.2, 1979, Oct Average, Thailand, THA
24.5, 1979, Nov Average, Thailand, THA
23.5, 1979, Dec Average, Thailand, THA
23.7, 1980, Jan Average, Thailand, THA
25.8, 1980, Feb Average, Thailand, THA
28.5, 1980, Mar Average, Thailand, THA
30.0, 1980, Apr Average, Thailand, THA
29.4, 1980, May Average, Thailand, THA
27.5, 1980, Jun Average, Thailand, THA
27.6, 1980, Jul Average, Thailand, THA
26.9, 1980, Aug Average, Thailand, THA
26.6, 1980, Sep Average, Thailand, THA
26.3, 1980, Oct Average, Thailand, THA
24.9, 1980, Nov Average, Thailand, THA
23.1, 1980, Dec Average, Thailand, THA
22.5, 1981, Jan Average, Thailand, THA
25.4, 1981, Feb Average, Thailand, THA
27.5, 1981, Mar Average, Thailand, THA
28.2, 1981, Apr Average, Thailand, THA
27.7, 1981, May Average, Thailand, THA
27.0, 1981, Jun Average, Thailand, THA
26.6, 1981, Jul Average, Thailand, THA
26.8, 1981, Aug Average, Thailand, THA
26.8, 1981, Sep Average, Thailand, THA
26.2, 1981, Oct Average, Thailand, THA
24.6, 1981, Nov Average, Thailand, THA
21.7, 1981, Dec Average, Thailand, THA
22.5, 1982, Jan Average, Thailand, THA
25.4, 1982, Feb Average, Thailand, THA
27.8, 1982, Mar Average, Thailand, THA
27.9, 1982, Apr Average, Thailand, THA
28.5, 1982, May Average, Thailand, THA
27.2, 1982, Jun Average, Thailand, THA
26.8, 1982, Jul Average, Thailand, THA
26.3, 1982, Aug Average, Thailand, THA
26.2, 1982, Sep Average, Thailand, THA
26.3, 1982, Oct Average, Thailand, THA
25.7, 1982, Nov Average, Thailand, THA
21.6, 1982, Dec Average, Thailand, THA
22.5, 1983, Jan Average, Thailand, THA
25.8, 1983, Feb Average, Thailand, THA
27.8, 1983, Mar Average, Thailand, THA
30.3, 1983, Apr Average, Thailand, THA
29.2, 1983, May Average, Thailand, THA
27.8, 1983, Jun Average, Thailand, THA
27.6, 1983, Jul Average, Thailand, THA
26.8, 1983, Aug Average, Thailand, THA
26.7, 1983, Sep Average, Thailand, THA
26.0, 1983, Oct Average, Thailand, THA
23.4, 1983, Nov Average, Thailand, THA
22.1, 1983, Dec Average, Thailand, THA
22.4, 1984, Jan Average, Thailand, THA
25.7, 1984, Feb Average, Thailand, THA
27.3, 1984, Mar Average, Thailand, THA
29.1, 1984, Apr Average, Thailand, THA
27.9, 1984, May Average, Thailand, THA
27.0, 1984, Jun Average, Thailand, THA
26.7, 1984, Jul Average, Thailand, THA
26.7, 1984, Aug Average, Thailand, THA
26.2, 1984, Sep Average, Thailand, THA
25.5, 1984, Oct Average, Thailand, THA
24.8, 1984, Nov Average, Thailand, THA
23.4, 1984, Dec Average, Thailand, THA
23.9, 1985, Jan Average, Thailand, THA
26.0, 1985, Feb Average, Thailand, THA
27.5, 1985, Mar Average, Thailand, THA
28.7, 1985, Apr Average, Thailand, THA
27.6, 1985, May Average, Thailand, THA
26.8, 1985, Jun Average, Thailand, THA
26.4, 1985, Jul Average, Thailand, THA
26.7, 1985, Aug Average, Thailand, THA
26.3, 1985, Sep Average, Thailand, THA
25.9, 1985, Oct Average, Thailand, THA
25.1, 1985, Nov Average, Thailand, THA
22.7, 1985, Dec Average, Thailand, THA
22.2, 1986, Jan Average, Thailand, THA
25.2, 1986, Feb Average, Thailand, THA
26.7, 1986, Mar Average, Thailand, THA
28.7, 1986, Apr Average, Thailand, THA
27.7, 1986, May Average, Thailand, THA
27.7, 1986, Jun Average, Thailand, THA
26.9, 1986, Jul Average, Thailand, THA
27.1, 1986, Aug Average, Thailand, THA
26.7, 1986, Sep Average, Thailand, THA
26.2, 1986, Oct Average, Thailand, THA
24.6, 1986, Nov Average, Thailand, THA
23.2, 1986, Dec Average, Thailand, THA
24.0, 1987, Jan Average, Thailand, THA
25.7, 1987, Feb Average, Thailand, THA
27.5, 1987, Mar Average, Thailand, THA
29.5, 1987, Apr Average, Thailand, THA
29.5, 1987, May Average, Thailand, THA
28.5, 1987, Jun Average, Thailand, THA
28.3, 1987, Jul Average, Thailand, THA
27.8, 1987, Aug Average, Thailand, THA
27.4, 1987, Sep Average, Thailand, THA
27.3, 1987, Oct Average, Thailand, THA
25.9, 1987, Nov Average, Thailand, THA
21.6, 1987, Dec Average, Thailand, THA
24.5, 1988, Jan Average, Thailand, THA
26.6, 1988, Feb Average, Thailand, THA
28.4, 1988, Mar Average, Thailand, THA
29.2, 1988, Apr Average, Thailand, THA
28.4, 1988, May Average, Thailand, THA
27.9, 1988, Jun Average, Thailand, THA
27.5, 1988, Jul Average, Thailand, THA
27.4, 1988, Aug Average, Thailand, THA
27.4, 1988, Sep Average, Thailand, THA
26.2, 1988, Oct Average, Thailand, THA
23.9, 1988, Nov Average, Thailand, THA
22.8, 1988, Dec Average, Thailand, THA
24.7, 1989, Jan Average, Thailand, THA
25.5, 1989, Feb Average, Thailand, THA
27.0, 1989, Mar Average, Thailand, THA
29.8, 1989, Apr Average, Thailand, THA
28.7, 1989, May Average, Thailand, THA
27.7, 1989, Jun Average, Thailand, THA
27.7, 1989, Jul Average, Thailand, THA
27.4, 1989, Aug Average, Thailand, THA
27.3, 1989, Sep Average, Thailand, THA
26.4, 1989, Oct Average, Thailand, THA
25.1, 1989, Nov Average, Thailand, THA
22.8, 1989, Dec Average, Thailand, THA
24.9, 1990, Jan Average, Thailand, THA
26.3, 1990, Feb Average, Thailand, THA
27.4, 1990, Mar Average, Thailand, THA
29.7, 1990, Apr Average, Thailand, THA
28.6, 1990, May Average, Thailand, THA
28.1, 1990, Jun Average, Thailand, THA
27.6, 1990, Jul Average, Thailand, THA
27.9, 1990, Aug Average, Thailand, THA
27.4, 1990, Sep Average, Thailand, THA
26.7, 1990, Oct Average, Thailand, THA
25.4, 1990, Nov Average, Thailand, THA
23.8, 1990, Dec Average, Thailand, THA
25.2, 1991, Jan Average, Thailand, THA
25.8, 1991, Feb Average, Thailand, THA
28.9, 1991, Mar Average, Thailand, THA
29.8, 1991, Apr Average, Thailand, THA
29.5, 1991, May Average, Thailand, THA
28.1, 1991, Jun Average, Thailand, THA
27.9, 1991, Jul Average, Thailand, THA
27.1, 1991, Aug Average, Thailand, THA
27.4, 1991, Sep Average, Thailand, THA
26.4, 1991, Oct Average, Thailand, THA
24.6, 1991, Nov Average, Thailand, THA
23.8, 1991, Dec Average, Thailand, THA
22.9, 1992, Jan Average, Thailand, THA
25.3, 1992, Feb Average, Thailand, THA
28.2, 1992, Mar Average, Thailand, THA
30.5, 1992, Apr Average, Thailand, THA
30.0, 1992, May Average, Thailand, THA
28.4, 1992, Jun Average, Thailand, THA
27.5, 1992, Jul Average, Thailand, THA
27.3, 1992, Aug Average, Thailand, THA
27.3, 1992, Sep Average, Thailand, THA
25.5, 1992, Oct Average, Thailand, THA
23.8, 1992, Nov Average, Thailand, THA
23.3, 1992, Dec Average, Thailand, THA
23.4, 1993, Jan Average, Thailand, THA
24.8, 1993, Feb Average, Thailand, THA
27.7, 1993, Mar Average, Thailand, THA
29.1, 1993, Apr Average, Thailand, THA
29.1, 1993, May Average, Thailand, THA
28.6, 1993, Jun Average, Thailand, THA
28.2, 1993, Jul Average, Thailand, THA
27.3, 1993, Aug Average, Thailand, THA
27.2, 1993, Sep Average, Thailand, THA
26.5, 1993, Oct Average, Thailand, THA
25.2, 1993, Nov Average, Thailand, THA
23.1, 1993, Dec Average, Thailand, THA
24.5, 1994, Jan Average, Thailand, THA
27.0, 1994, Feb Average, Thailand, THA
27.0, 1994, Mar Average, Thailand, THA
29.6, 1994, Apr Average, Thailand, THA
28.6, 1994, May Average, Thailand, THA
27.5, 1994, Jun Average, Thailand, THA
27.2, 1994, Jul Average, Thailand, THA
27.0, 1994, Aug Average, Thailand, THA
27.2, 1994, Sep Average, Thailand, THA
25.9, 1994, Oct Average, Thailand, THA
24.8, 1994, Nov Average, Thailand, THA
24.7, 1994, Dec Average, Thailand, THA
24.1, 1995, Jan Average, Thailand, THA
24.7, 1995, Feb Average, Thailand, THA
28.0, 1995, Mar Average, Thailand, THA
29.8, 1995, Apr Average, Thailand, THA
28.9, 1995, May Average, Thailand, THA
28.5, 1995, Jun Average, Thailand, THA
27.4, 1995, Jul Average, Thailand, THA
26.8, 1995, Aug Average, Thailand, THA
27.2, 1995, Sep Average, Thailand, THA
26.5, 1995, Oct Average, Thailand, THA
25.1, 1995, Nov Average, Thailand, THA
22.7, 1995, Dec Average, Thailand, THA
23.9, 1996, Jan Average, Thailand, THA
24.1, 1996, Feb Average, Thailand, THA
27.7, 1996, Mar Average, Thailand, THA
28.3, 1996, Apr Average, Thailand, THA
27.8, 1996, May Average, Thailand, THA
27.6, 1996, Jun Average, Thailand, THA
27.3, 1996, Jul Average, Thailand, THA
27.2, 1996, Aug Average, Thailand, THA
26.6, 1996, Sep Average, Thailand, THA
26.3, 1996, Oct Average, Thailand, THA
25.4, 1996, Nov Average, Thailand, THA
22.7, 1996, Dec Average, Thailand, THA
23.1, 1997, Jan Average, Thailand, THA
25.2, 1997, Feb Average, Thailand, THA
27.3, 1997, Mar Average, Thailand, THA
27.9, 1997, Apr Average, Thailand, THA
29.0, 1997, May Average, Thailand, THA
28.6, 1997, Jun Average, Thailand, THA
27.7, 1997, Jul Average, Thailand, THA
27.4, 1997, Aug Average, Thailand, THA
27.1, 1997, Sep Average, Thailand, THA
27.0, 1997, Oct Average, Thailand, THA
25.9, 1997, Nov Average, Thailand, THA
25.3, 1997, Dec Average, Thailand, THA
25.4, 1998, Jan Average, Thailand, THA
27.0, 1998, Feb Average, Thailand, THA
29.0, 1998, Mar Average, Thailand, THA
30.0, 1998, Apr Average, Thailand, THA
29.8, 1998, May Average, Thailand, THA
28.8, 1998, Jun Average, Thailand, THA
28.1, 1998, Jul Average, Thailand, THA
27.7, 1998, Aug Average, Thailand, THA
27.1, 1998, Sep Average, Thailand, THA
27.0, 1998, Oct Average, Thailand, THA
25.4, 1998, Nov Average, Thailand, THA
24.1, 1998, Dec Average, Thailand, THA
24.2, 1999, Jan Average, Thailand, THA
25.7, 1999, Feb Average, Thailand, THA
28.1, 1999, Mar Average, Thailand, THA
28.0, 1999, Apr Average, Thailand, THA
27.2, 1999, May Average, Thailand, THA
27.3, 1999, Jun Average, Thailand, THA
27.4, 1999, Jul Average, Thailand, THA
27.2, 1999, Aug Average, Thailand, THA
26.9, 1999, Sep Average, Thailand, THA
26.4, 1999, Oct Average, Thailand, THA
25.1, 1999, Nov Average, Thailand, THA
21.4, 1999, Dec Average, Thailand, THA
24.5, 2000, Jan Average, Thailand, THA
24.8, 2000, Feb Average, Thailand, THA
27.4, 2000, Mar Average, Thailand, THA
28.2, 2000, Apr Average, Thailand, THA
27.8, 2000, May Average, Thailand, THA
27.3, 2000, Jun Average, Thailand, THA
27.2, 2000, Jul Average, Thailand, THA
27.4, 2000, Aug Average, Thailand, THA
26.8, 2000, Sep Average, Thailand, THA
26.7, 2000, Oct Average, Thailand, THA
24.7, 2000, Nov Average, Thailand, THA
24.6, 2000, Dec Average, Thailand, THA
25.3, 2001, Jan Average, Thailand, THA
26.1, 2001, Feb Average, Thailand, THA
27.1, 2001, Mar Average, Thailand, THA
30.4, 2001, Apr Average, Thailand, THA
27.8, 2001, May Average, Thailand, THA
27.4, 2001, Jun Average, Thailand, THA
27.4, 2001, Jul Average, Thailand, THA
27.2, 2001, Aug Average, Thailand, THA
27.3, 2001, Sep Average, Thailand, THA
26.7, 2001, Oct Average, Thailand, THA
23.6, 2001, Nov Average, Thailand, THA
23.5, 2001, Dec Average, Thailand, THA
23.6, 2002, Jan Average, Thailand, THA
26.0, 2002, Feb Average, Thailand, THA
27.7, 2002, Mar Average, Thailand, THA
29.3, 2002, Apr Average, Thailand, THA
28.1, 2002, May Average, Thailand, THA
27.9, 2002, Jun Average, Thailand, THA
27.8, 2002, Jul Average, Thailand, THA
26.9, 2002, Aug Average, Thailand, THA
26.5, 2002, Sep Average, Thailand, THA
26.6, 2002, Oct Average, Thailand, THA
25.5, 2002, Nov Average, Thailand, THA
25.1, 2002, Dec Average, Thailand, THA
23.4, 2003, Jan Average, Thailand, THA
25.7, 2003, Feb Average, Thailand, THA
27.0, 2003, Mar Average, Thailand, THA
29.4, 2003, Apr Average, Thailand, THA
28.9, 2003, May Average, Thailand, THA
27.8, 2003, Jun Average, Thailand, THA
27.3, 2003, Jul Average, Thailand, THA
27.4, 2003, Aug Average, Thailand, THA
26.9, 2003, Sep Average, Thailand, THA
26.8, 2003, Oct Average, Thailand, THA
26.0, 2003, Nov Average, Thailand, THA
23.2, 2003, Dec Average, Thailand, THA
24.0, 2004, Jan Average, Thailand, THA
24.7, 2004, Feb Average, Thailand, THA
28.2, 2004, Mar Average, Thailand, THA
29.7, 2004, Apr Average, Thailand, THA
28.3, 2004, May Average, Thailand, THA
27.4, 2004, Jun Average, Thailand, THA
27.1, 2004, Jul Average, Thailand, THA
27.2, 2004, Aug Average, Thailand, THA
26.8, 2004, Sep Average, Thailand, THA
26.4, 2004, Oct Average, Thailand, THA
25.9, 2004, Nov Average, Thailand, THA
23.0, 2004, Dec Average, Thailand, THA
23.8, 2005, Jan Average, Thailand, THA
27.0, 2005, Feb Average, Thailand, THA
27.4, 2005, Mar Average, Thailand, THA
29.3, 2005, Apr Average, Thailand, THA
29.0, 2005, May Average, Thailand, THA
28.0, 2005, Jun Average, Thailand, THA
27.4, 2005, Jul Average, Thailand, THA
27.2, 2005, Aug Average, Thailand, THA
26.9, 2005, Sep Average, Thailand, THA
26.7, 2005, Oct Average, Thailand, THA
25.5, 2005, Nov Average, Thailand, THA
23.3, 2005, Dec Average, Thailand, THA
23.9, 2006, Jan Average, Thailand, THA
26.2, 2006, Feb Average, Thailand, THA
28.0, 2006, Mar Average, Thailand, THA
28.7, 2006, Apr Average, Thailand, THA
27.6, 2006, May Average, Thailand, THA
27.8, 2006, Jun Average, Thailand, THA
27.3, 2006, Jul Average, Thailand, THA
27.0, 2006, Aug Average, Thailand, THA
26.9, 2006, Sep Average, Thailand, THA
26.8, 2006, Oct Average, Thailand, THA
26.3, 2006, Nov Average, Thailand, THA
23.8, 2006, Dec Average, Thailand, THA
23.8, 2007, Jan Average, Thailand, THA
25.6, 2007, Feb Average, Thailand, THA
28.2, 2007, Mar Average, Thailand, THA
29.0, 2007, Apr Average, Thailand, THA
27.5, 2007, May Average, Thailand, THA
28.2, 2007, Jun Average, Thailand, THA
